Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
50,tt0048434,2025-08-22,2025-08-22,,Night and Fog,Nuit et brouillard,https://www.imdb.com/title/tt0048434/,Short,8.6,32,1956,"Documentary, Short, History, War",22862,1/1/1956,Alain Resnais,,
70,tt4093826,2025-08-22,2025-08-22,,Twin Peaks,Twin Peaks,https://www.imdb.com/title/tt4093826/,TV Series,8.5,60,2017,"Crime, Drama, Horror, Mystery",84848,5/21/2017,,,
22,tt0098573,2025-08-22,2025-08-22,,Don't Let Them Shoot the Kite,Uçurtmayi Vurmasinlar,https://www.imdb.com/title/tt0098573/,Movie,8.2,90,1989,Drama,7988,11/7/1989,Tunç Basaran,,
30,tt0056119,2025-08-22,2025-08-22,,La Jetée,La jetée,https://www.imdb.com/title/tt0056119/,Short,8.2,28,1962,"Short, Drama, Romance, Sci-Fi",38999,2/16/1962,Chris Marker,,
40,tt0094625,2025-08-22,2025-08-22,,Akira,Akira,https://www.imdb.com/title/tt0094625/,Movie,8,124,1988,"Animation, Action, Drama, Fantasy, Sci-Fi",219092,7/16/1988,Katsuhiro Ôtomo,,
52,tt0276919,2025-08-22,2025-08-22,,Dogville,Dogville,https://www.imdb.com/title/tt0276919/,Movie,8,171,2003,"Crime, Drama",165489,4/23/2004,Lars von Trier,,
28,tt13562678,2025-08-22,2025-08-22,,Tripping with Nils Frahm,Tripping with Nils Frahm,https://www.imdb.com/title/tt13562678/,Movie,7.9,87,2020,"Documentary, Music",828,12/3/2020,Benoit Toulemonde,,
13,tt26347358,2025-08-22,2025-08-22,,Our Body,Notre corps,https://www.imdb.com/title/tt26347358/,Movie,7.8,168,2023,Documentary,399,10/4/2023,Claire Simon,,
20,tt3800560,2025-08-22,2025-08-22,,Tempestad,Tempestad,https://www.imdb.com/title/tt3800560/,Movie,7.8,105,2016,Documentary,979,5/19/2017,Tatiana Huezo,,
29,tt0460791,2025-08-22,2025-08-22,,The Fall,The Fall,https://www.imdb.com/title/tt0460791/,Movie,7.8,117,2006,"Adventure, Drama, Fantasy",124568,5/30/2008,Tarsem Singh,,
35,tt0459242,2025-08-22,2025-08-22,,Crossing the Bridge: The Sound of Istanbul,Crossing the Bridge: The Sound of Istanbul,https://www.imdb.com/title/tt0459242/,Movie,7.8,90,2005,"Documentary, History, Music",7528,5/27/2005,Fatih Akin,,
42,tt0052893,2025-08-22,2025-08-22,,Hiroshima Mon Amour,Hiroshima mon amour,https://www.imdb.com/title/tt0052893/,Movie,7.8,90,1959,"Drama, Romance",38327,5/16/1960,Alain Resnais,,
5,tt0070061,2025-08-22,2025-08-22,,Love & Anarchy,"Film d'amore e d'anarchia, ovvero 'stamattina alle 10 in via dei Fiori nella nota casa di tolleranza...'",https://www.imdb.com/title/tt0070061/,Movie,7.7,120,1973,"Comedy, Drama, Romance",3766,2/22/1973,Lina Wertmüller,,
26,tt0084628,2025-08-22,2025-08-22,,Sans Soleil,Sans soleil,https://www.imdb.com/title/tt0084628/,Movie,7.7,100,1983,"Documentary, Drama",12777,3/2/1983,Chris Marker,,
27,tt3829254,2025-08-22,2025-08-22,,Bear Story,Historia de un oso,https://www.imdb.com/title/tt3829254/,Short,7.7,11,2014,"Animation, Short, Adventure, Drama, Family",3829,2/23/2016,Gabriel Osorio Vargas,,
79,tt0090756,2025-08-22,2025-08-22,,Blue Velvet,Blue Velvet,https://www.imdb.com/title/tt0090756/,Movie,7.7,120,1986,"Crime, Drama, Mystery, Thriller",235358,10/23/1986,David Lynch,,
21,tt13429870,2025-08-22,2025-08-22,,Robot Dreams,Robot Dreams,https://www.imdb.com/title/tt13429870/,Movie,7.6,103,2023,"Animation, Comedy, Drama, Family",22436,6/7/2024,Pablo Berger,,
66,tt0107736,2025-08-22,2025-08-22,,Moving,Ohikkoshi,https://www.imdb.com/title/tt0107736/,Movie,7.6,125,1993,Drama,1355,3/20/1993,Shinji Sômai,,
6,tt0022183,2025-08-22,2025-08-22,,Mädchen in Uniform,Mädchen in Uniform,https://www.imdb.com/title/tt0022183/,Movie,7.5,87,1931,"Drama, Romance",4151,11/27/1931,"Leontine Sagan, Carl Froelich",,
10,tt0105750,2025-08-22,2025-08-22,,The Bohemian Life,La vie de bohème,https://www.imdb.com/title/tt0105750/,Movie,7.5,103,1992,"Comedy, Drama, Romance",6970,7/29/1993,Aki Kaurismäki,,
15,tt3499048,2025-08-22,2025-08-22,,Gueros,Güeros,https://www.imdb.com/title/tt3499048/,Movie,7.5,106,2014,"Comedy, Drama",5632,3/20/2015,Alonso Ruizpalacios,,
17,tt0055715,2025-08-22,2025-08-22,,Valparaiso,...A Valparaíso,https://www.imdb.com/title/tt0055715/,Short,7.5,27,1963,"Documentary, Short",1535,9/1/1964,Joris Ivens,,
23,tt14775784,2025-08-22,2025-08-22,,Great Freedom,Große Freiheit,https://www.imdb.com/title/tt14775784/,Movie,7.5,116,2021,Drama,8418,5/6/2022,Sebastian Meise,9,2023-01-29
49,tt0938341,2025-08-22,2025-08-22,,Tokyo Sonata,Tokyo Sonata,https://www.imdb.com/title/tt0938341/,Movie,7.5,120,2008,Drama,13199,9/27/2008,Kiyoshi Kurosawa,,
57,tt5334704,2025-08-22,2025-08-22,,Twin Peaks: The Missing Pieces,Twin Peaks: The Missing Pieces,https://www.imdb.com/title/tt5334704/,Movie,7.5,91,2014,"Drama, Horror, Mystery, Thriller",14620,8/1/2014,David Lynch,,
63,tt0112913,2025-08-22,2025-08-22,,Fallen Angels,Do lok tin si,https://www.imdb.com/title/tt0112913/,Movie,7.5,99,1995,"Comedy, Crime, Drama, Romance",57450,1/30/1998,Wong Kar-Wai,9,2021-12-12
69,tt0110630,2025-08-22,2025-08-22,,Natsu no niwa: The Friends,Natsu no niwa: The Friends,https://www.imdb.com/title/tt0110630/,Movie,7.5,113,1994,"Comedy, Drama",465,4/9/1994,Shinji Sômai,,
82,tt0254686,2025-08-22,2025-08-22,,The Piano Teacher,La pianiste,https://www.imdb.com/title/tt0254686/,Movie,7.5,131,2001,"Drama, Music",77241,8/31/2001,Michael Haneke,,
8,tt0088784,2025-08-22,2025-08-22,,The Kiss,O Beijo No Asfalto,https://www.imdb.com/title/tt0088784/,Movie,7.4,80,1981,"Crime, Drama, Mystery",606,6/2/1981,Bruno Barreto,,
