Film (Year),Director,Country / Language,M/F Narrative,Main Awards & Recognition,Keywords / Tags,Notable Critiques / Context
Terminator 2: Judgment Day (1991),James Cameron,USA / English,Male (John & Terminator's bond),Won 4 Oscars (all technical),"Sci-Fi Action, AI, Cyborg, Apocalypse, Mother-Son","Female Strength: Sarah Connor is reimagined as a iconic, muscular action hero and fierce protector."
Suicide Squad (2016),David Ayer,USA / English,Ensemble,Won Oscar for Best Makeup & Hairstyling,"DC Comics, Supervillains, Task Force X, Antiheroes",Male Gazey: Harley Quinn's characterization and costuming were widely criticized for being overly sexualized for a male gaze.
Jaws (1975),Steven Spielberg,USA / English,Male (Trio of men vs. shark),"Won 3 Oscars (Editing, Sound, Score)","Summer, Shark, Thriller, Blockbuster, Amity",Female Roles: Ellen Brody is a supportive wife; the island and the shark are often analyzed as feminine threats to the male world.
Star Wars: Episode V - The Empire Strikes Back (1980),Irvin Kershner,USA / English,Ensemble,"Won Oscar for Best Sound, Special Achievement (Visual)","Space Opera, Rebellion, ""I am your father"", Dagobah, Hoth","Proactive Female: Princess Leia is a leader, strategist, and active participant in the fight, not a passive damsel."
E.T. the Extra-Terrestrial (1982),Steven Spielberg,USA / English,Male (Elliot's perspective),"Won 4 Oscars (Score, Visual, Sound, Sound Editing)","Alien, Friendship, Childhood, Divorce, ""Phone home""","Maternal Figure: The mother (Dee Wallace) is a caring, present, and grounding force in the children's lives."
Skyfall (2012),Sam Mendes,UK / English,Male (James Bond),"Won 2 Oscars (Sound Editing, Original Song)","James Bond, MI6, Betrayal, Revenge, Silva",Complex Women: M is the central maternal/authority figure; Severine is a tragic victim; Eve Moneypenny is a capable field agent.
American Sniper (2014),Clint Eastwood,USA / English,Male (Chris Kyle's story),"Nominated for 6 Oscars, inc. Best Picture","Iraq War, Biopic, Sniper, PTSD, Navy SEAL",Domestic Perspective: Taya Kyle's role provides the home-front anguish and critique of the war's psychological toll.
Aladdin (1992),"Ron Clements, John Musker",USA / English,Male (Aladdin's journey),"Won 2 Oscars (Score, Original Song)","Disney Renaissance, Arabian Nights, Genie, ""A Whole New World""",Proactive Princess: Jasmine actively rejects her arranged marriage and seeks a life of freedom and agency.
King Kong (2005),Peter Jackson,USA / English,Female (Ann Darrow's experience),"Won 3 Oscars (Sound, Sound Editing, Visual)","Monster, Remake, Skull Island, Adventure, Epic","Female Gaze?: While centered on a woman, the film still revolves around the trope of a powerful beast captivated by female beauty."
Spectre (2015),Sam Mendes,UK / English,Male (James Bond),Won Oscar for Original Song,"James Bond, SPECTRE, Blofeld, Brotherhood","Problematic Ex: Madeleine Swann is a capable doctor, but the ""Bond's long-lost foster brother"" plot undermines her agency."
Tarzan (1999),"Chris Buck, Kevin Lima",USA / English,Male (Tarzan's identity crisis),"Won Oscar for Original Song (""You'll Be in My Heart"")","Disney, Jungle, Identity, Ape Man, Family","Female Agency: Jane Porter is a intelligent, curious scientist who challenges her father's Victorian worldview."
The Jungle Book (2016),Jon Favreau,USA / English,Male (Mowgli's journey),Won Oscar for Best Visual Effects,"Live-Action CGI, Jungle, ""Man Cub"", Bare Necessities","Largely Male World: The key parental and mentor figures (Bagheera, Baloo, Shere Khan) are all male. Raksha the wolf mother has a small but emotional role."
Film (Year),Director,Country / Language,M/F Narrative,Main Awards & Recognition,Keywords / Tags,Notable Critiques / Context
Terminator 2: Judgment Day (1991),James Cameron,USA / English,Male (John & Terminator's bond),Won 4 Oscars (all technical),"Sci-Fi Action, AI, Cyborg, Apocalypse, Mother-Son","Female Strength: Sarah Connor is reimagined as a iconic, muscular action hero and fierce protector."
Suicide Squad (2016),David Ayer,USA / English,Ensemble,Won Oscar for Best Makeup & Hairstyling,"DC Comics, Supervillains, Task Force X, Antiheroes",Male Gazey: Harley Quinn's characterization and costuming were widely criticized for being overly sexualized for a male gaze.
Jaws (1975),Steven Spielberg,USA / English,Male (Trio of men vs. shark),"Won 3 Oscars (Editing, Sound, Score)","Summer, Shark, Thriller, Blockbuster, Amity",Female Roles: Ellen Brody is a supportive wife; the island and the shark are often analyzed as feminine threats to the male world.
Star Wars: Episode V - The Empire Strikes Back (1980),Irvin Kershner,USA / English,Ensemble,"Won Oscar for Best Sound, Special Achievement (Visual)","Space Opera, Rebellion, ""I am your father"", Dagobah, Hoth","Proactive Female: Princess Leia is a leader, strategist, and active participant in the fight, not a passive damsel."
E.T. the Extra-Terrestrial (1982),Steven Spielberg,USA / English,Male (Elliot's perspective),"Won 4 Oscars (Score, Visual, Sound, Sound Editing)","Alien, Friendship, Childhood, Divorce, ""Phone home""","Maternal Figure: The mother (Dee Wallace) is a caring, present, and grounding force in the children's lives."
Skyfall (2012),Sam Mendes,UK / English,Male (James Bond),"Won 2 Oscars (Sound Editing, Original Song)","James Bond, MI6, Betrayal, Revenge, Silva",Complex Women: M is the central maternal/authority figure; Severine is a tragic victim; Eve Moneypenny is a capable field agent.
American Sniper (2014),Clint Eastwood,USA / English,Male (Chris Kyle's story),"Nominated for 6 Oscars, inc. Best Picture","Iraq War, Biopic, Sniper, PTSD, Navy SEAL",Domestic Perspective: Taya Kyle's role provides the home-front anguish and critique of the war's psychological toll.
Aladdin (1992),"Ron Clements, John Musker",USA / English,Male (Aladdin's journey),"Won 2 Oscars (Score, Original Song)","Disney Renaissance, Arabian Nights, Genie, ""A Whole New World""",Proactive Princess: Jasmine actively rejects her arranged marriage and seeks a life of freedom and agency.
King Kong (2005),Peter Jackson,USA / English,Female (Ann Darrow's experience),"Won 3 Oscars (Sound, Sound Editing, Visual)","Monster, Remake, Skull Island, Adventure, Epic","Female Gaze?: While centered on a woman, the film still revolves around the trope of a powerful beast captivated by female beauty."
Spectre (2015),Sam Mendes,UK / English,Male (James Bond),Won Oscar for Original Song,"James Bond, SPECTRE, Blofeld, Brotherhood","Problematic Ex: Madeleine Swann is a capable doctor, but the ""Bond's long-lost foster brother"" plot undermines her agency."
Tarzan (1999),"Chris Buck, Kevin Lima",USA / English,Male (Tarzan's identity crisis),"Won Oscar for Original Song (""You'll Be in My Heart"")","Disney, Jungle, Identity, Ape Man, Family","Female Agency: Jane Porter is a intelligent, curious scientist who challenges her father's Victorian worldview."
The Jungle Book (2016),Jon Favreau,USA / English,Male (Mowgli's journey),Won Oscar for Best Visual Effects,"Live-Action CGI, Jungle, ""Man Cub"", Bare Necessities","Largely Male World: The key parental and mentor figures (Bagheera, Baloo, Shere Khan) are all male. Raksha the wolf mother has a small but emotional role."
One Battle After Another (2025),Paul Thomas Anderson,USA / English,Male (Likely),N/A (Upcoming Film),"Drama, 1970s, Student Filmmaker",
Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle (2025),Haruo Sotozaki,Japan / Japanese,Male (Tanjiro Kamado),N/A (Upcoming Film),"Anime, Shonen, Demons, Hashira, Final Battle",
Shutter Island (2010),Martin Scorsese,USA / English,Male (Teddy Daniels),Nominated for Saturns (Thriller),"Psychological Thriller, Asylum, Reality vs. Delusion, Mystery",
The Sting (1973),George Roy Hill,USA / English,Male,"Won 7 Oscars, inc. Best Picture","Con Artists, Great Depression, Buddy Comedy, Paul Newman",
Avengers: Endgame (2019),Anthony & Joe Russo,USA / English,Ensemble,Nominated for 1 Oscar (Visual Effects),"Marvel, Superheroes, Time Heist, Final Battle, Epic",
Back to the Future (1985),Robert Zemeckis,USA / English,Male (Marty McFly),Won Oscar (Sound Editing),"Time Travel, 1950s, Comedy, Family, ""Great Scott!""",
Memento (2000),Christopher Nolan,USA / English,Male (Leonard),"Nominated for 2 Oscars (Editing, Screenplay)","Neo-Noir, Amnesia, Reverse Chronology, Revenge, Unreliable Narrator",
The Truman Show (1998),Peter Weir,USA / English,Male (Truman Burbank),Nominated for 3 Oscars,"Reality TV, Satire, Existential Crisis, Dystopia, Jim Carrey",
Hamilton (2020),Thomas Kail,USA / English,Male (Alexander Hamilton),N/A (Stage Recording),"Musical, Founding Fathers, Hip-Hop, Biopic, Lin-Manuel Miranda",
The Hunt (2012),Thomas Vinterberg,Denmark / Danish,Male (Lucas),Nominated for Oscar (Int'l Film),"False Accusation, Witch Hunt, Community, Paranoia, Drama",
Snatch (2000),Guy Ritchie,UK / English,Male (Ensemble),N/A,"Crime Comedy, Boxing, Diamonds, Gangs, ""Pikeys"", Fast-Talking",
Spider-Man: No Way Home (2021),Jon Watts,USA / English,Male (Peter Parker),Nominated for 1 Oscar (Visual Effects),"Marvel, Multiverse, Sacrifice, Legacy Villains, Coming-of-Age",
Avengers: Infinity War (2018),Anthony & Joe Russo,USA / English,Ensemble,Nominated for 1 Oscar (Visual Effects),"Marvel, Superheroes, Thanos, Cosmic Threat, Cliffhanger",
Aliens (1986),James Cameron,USA / English,Female (Ellen Ripley),"Won 2 Oscars (Visual, Sound Editing)","Sci-Fi Action, Colonial Marines, Maternal Protection, ""Get away from her, you bitch!""",
Die Hard (1988),John McTiernan,USA / English,Male (John McClane),Nominated for 4 Oscars,"Action, Christmas, ""One Man Army"", Nakatomi Plaza, Bruce Willis",
