Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt6155172,2025-06-11,2025-06-11,,"Roma","Roma",https://www.imdb.com/title/tt6155172/,Movie,7.6,135,2018,"Drama",175842,2018-12-14,"Alfonso Cuarón",9,2020-07-12
2,tt0457430,2025-06-11,2025-06-11,,"Pan's Labyrinth","El laberinto del fauno",https://www.imdb.com/title/tt0457430/,Movie,8.2,118,2006,"Drama, Fantasy, War",733118,2007-01-19,"Guillermo del Toro",8,2020-07-22
3,tt0185125,2025-06-11,2025-06-11,,"All About My Mother","Todo sobre mi madre",https://www.imdb.com/title/tt0185125/,Movie,7.8,101,1999,"Comedy, Drama, Romance",107991,2000-03-31,"Pedro Almodóvar",10,2020-07-12
4,tt0240419,2025-06-11,2025-06-11,,"The Swamp","La Ciénaga",https://www.imdb.com/title/tt0240419/,Movie,7.0,103,2001,"Comedy, Drama",8811,2001-04-12,"Lucrecia Martel",,
5,tt0059719,2025-06-11,2025-06-11,,"Simon of the Desert","Simón del desierto",https://www.imdb.com/title/tt0059719/,Movie,7.8,45,1965,"Comedy, Drama, Fantasy",11520,1970-02-09,"Luis Buñuel",,
6,tt8291806,2025-06-11,2025-06-11,,"Pain and Glory","Dolor y gloria",https://www.imdb.com/title/tt8291806/,Movie,7.5,113,2019,"Drama",66218,2019-10-04,"Pedro Almodóvar",10,2020-07-12
7,tt0058604,2025-06-11,2025-06-11,,"I Am Cuba","Soy Cuba",https://www.imdb.com/title/tt0058604/,Movie,8.2,141,1964,"Drama",11787,1995-12,"Mikhail Kalatozov",,
8,tt8331988,2025-06-11,2025-06-11,,"The Chambermaid","La camarista",https://www.imdb.com/title/tt8331988/,Movie,7.0,102,2018,"Drama",2233,2019-08-02,"Lila Avilés",,
9,tt2425486,2025-06-11,2025-06-11,,"Gloria","Gloria",https://www.imdb.com/title/tt2425486/,Movie,6.9,110,2013,"Comedy, Drama, Romance",9801,2013-05-09,"Sebastián Lelio",,
10,tt0048394,2025-06-11,2025-06-11,,"Death of a Cyclist","Muerte de un ciclista",https://www.imdb.com/title/tt0048394/,Movie,7.6,88,1955,"Crime, Drama",4759,1955-09-07,"Juan Antonio Bardem",,
11,tt0085482,2025-06-11,2025-06-11,,"El Norte","El Norte",https://www.imdb.com/title/tt0085482/,Movie,7.7,141,1983,"Adventure, Drama",5941,1984-01-27,"Gregory Nava",,
12,tt0074360,2025-06-11,2025-06-11,,"Cría Cuervos","Cría cuervos",https://www.imdb.com/title/tt0074360/,Movie,7.9,105,1976,"Drama",12009,1977-05-18,"Carlos Saura",,
13,tt0070040,2025-06-11,2025-06-11,,"The Spirit of the Beehive","El espíritu de la colmena",https://www.imdb.com/title/tt0070040/,Movie,7.7,98,1973,"Drama, Fantasy",22128,1975-03-14,"Víctor Erice",9,2025-08-05
