Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0279901,2025-06-11,2025-06-11,,"A Fugitive from the Past","Kiga kaikyô",https://www.imdb.com/title/tt0279901/,Movie,7.9,183,1965,"Crime, Drama, Mystery, Thriller",1470,1965-01-15,"Tomu Uchida",,
2,tt0046478,2025-06-11,2025-06-11,,"Ugetsu","Ugetsu monogatari",https://www.imdb.com/title/tt0046478/,Movie,8.1,96,1953,"Drama, Fantasy, War",27631,1954-09-07,"Kenji Mizoguchi",,
3,tt0056058,2025-06-11,2025-06-11,,"Harakiri","Seppuku",https://www.imdb.com/title/tt0056058/,Movie,8.6,133,1962,"Drama, Mystery",83423,1964-08-04,"Masaki Kobayashi",8,2025-09-29
4,tt0042876,2025-06-11,2025-06-11,,"Rashomon","Rashômon",https://www.imdb.com/title/tt0042876/,Movie,8.1,88,1950,"Crime, Drama, Mystery",192427,1951-12-26,"Akira Kurosawa",9,2025-08-10
5,tt0045112,2025-06-11,2025-06-11,,"The Life of Oharu","Saikaku ichidai onna",https://www.imdb.com/title/tt0045112/,Movie,8.1,133,1952,"Drama",8129,1964-04-20,"Kenji Mizoguchi",,
6,tt0079182,2025-06-11,2025-06-11,,"Vengeance Is Mine","Fukushû suru wa ware ni ari",https://www.imdb.com/title/tt0079182/,Movie,7.7,139,1979,"Crime, Drama",7818,1979-10-17,"Shôhei Imamura",,
7,tt0047478,2025-06-11,2025-06-11,,"Seven Samurai","Shichinin no samurai",https://www.imdb.com/title/tt0047478/,Movie,8.6,207,1954,"Action, Drama",391088,1956-11-19,"Akira Kurosawa",7,2020-12-26
8,tt0061882,2025-06-11,2025-06-11,,"Branded to Kill","Koroshi no rakuin",https://www.imdb.com/title/tt0061882/,Movie,7.2,91,1967,"Action, Crime, Drama, Thriller",10841,1967-06-15,"Seijun Suzuki",,
9,tt0187119,2025-06-11,2025-06-11,,"Hero of the Red-Light District","Yôtô monogatari: hana no Yoshiwara hyakunin-giri",https://www.imdb.com/title/tt0187119/,Movie,7.6,109,1960,"Action, Fantasy",339,1960-09-04,"Tomu Uchida",,
10,tt0063173,2025-06-11,2025-06-11,,"Profound Desires of the Gods","Kamigami no fukaki yokubô",https://www.imdb.com/title/tt0063173/,Movie,7.5,173,1968,"Drama",2090,1970-07-22,"Shôhei Imamura",,
