Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt7282468,2025-06-11,2025-06-11,,"Burning","Beoning",https://www.imdb.com/title/tt7282468/,Movie,7.4,148,2018,"Drama, Mystery, Thriller",83357,2018-05-17,"Lee Chang-dong",9,2020-07-12
2,tt0364569,2025-06-11,2025-06-11,,"Oldboy","Oldeuboi",https://www.imdb.com/title/tt0364569/,Movie,8.3,120,2003,"Action, Drama, Mystery, Thriller",694915,2003-11-21,"Park Chan-wook",9,2024-10-29
3,tt4016934,2025-06-11,2025-06-11,,"The Handmaiden","Ah-ga-ssi",https://www.imdb.com/title/tt4016934/,Movie,8.1,145,2016,"Drama, Romance, Thriller",193984,2017-09-02,"Park Chan-wook",10,2024-12-28
4,tt5700672,2025-06-11,2025-06-11,,"Train to Busan","Busanhaeng",https://www.imdb.com/title/tt5700672/,Movie,7.6,118,2016,"Action, Horror, Thriller",293733,2025-05-02,"Yeon Sang-ho",,
5,tt6931414,2025-06-11,2025-06-11,,"The Great Battle","Ansisung",https://www.imdb.com/title/tt6931414/,Movie,7.0,136,2018,"Action, Drama, History, War",6626,2018-09-21,"Kwang-shik Kim",,
6,tt5215952,2025-06-11,2025-06-11,,"The Wailing","Gokseong",https://www.imdb.com/title/tt5215952/,Movie,7.4,156,2016,"Drama, Horror",93990,2016-06-03,"Na Hong-jin",,
7,tt1588170,2025-06-11,2025-06-11,,"I Saw the Devil","Angmareul boatda",https://www.imdb.com/title/tt1588170/,Movie,7.8,144,2010,"Action, Thriller",159964,2010-08-12,"Kim Jee-woon",,
8,tt0353969,2025-06-11,2025-06-11,,"Memories of Murder","Salinui chueok",https://www.imdb.com/title/tt0353969/,Movie,8.1,132,2003,"Crime, Drama, Mystery, Thriller",252184,2003-05-02,"Bong Joon Ho",9,2024-12-28
9,tt6751668,2025-06-11,2025-06-11,,"Parasite","Gisaengchung",https://www.imdb.com/title/tt6751668/,Movie,8.5,132,2019,"Drama, Thriller",1103699,2019-11-08,"Bong Joon Ho",10,2020-07-12
10,tt8850222,2025-06-11,2025-06-11,,"Peninsula","Bando",https://www.imdb.com/title/tt8850222/,Movie,5.5,116,2020,"Action, Drama, Horror, Thriller",42021,2020-08-07,"Yeon Sang-ho",,
11,tt8574252,2025-06-11,2025-06-11,,"The Witch: Part 1 - The Subversion","Manyeo",https://www.imdb.com/title/tt8574252/,Movie,7.1,125,2018,"Action, Mystery, Sci-Fi",21226,2020-03-10,"Park Hoon-jung",,
12,tt0468492,2025-06-11,2025-06-11,,"The Host","Goemool",https://www.imdb.com/title/tt0468492/,Movie,7.1,120,2006,"Drama, Horror, Sci-Fi",140489,2007-03-30,"Bong Joon Ho",,
13,tt0762073,2025-06-11,2025-06-11,,"Thirst","Bakjwi",https://www.imdb.com/title/tt0762073/,Movie,7.1,134,2009,"Drama, Fantasy, Horror, Romance",53721,2009-04-30,"Park Chan-wook",8,2025-09-05
14,tt8290698,2025-06-11,2025-06-11,,"The Spy Gone North","Gongjak",https://www.imdb.com/title/tt8290698/,Movie,7.4,137,2018,"Drama, Thriller",7039,2018-08-17,"Yoon Jong-bin",,
15,tt0365376,2025-06-11,2025-06-11,,"A Tale of Two Sisters","Janghwa, Hongryeon",https://www.imdb.com/title/tt0365376/,Movie,7.1,114,2003,"Drama, Horror, Mystery, Thriller",72444,2003-06-13,"Kim Jee-woon",,
16,tt6777338,2025-06-11,2025-06-11,,"The Villainess","Aknyeo",https://www.imdb.com/title/tt6777338/,Movie,6.6,124,2017,"Action, Thriller",18090,2017-06-08,"Jung Byung-gil",,
17,tt1527788,2025-06-11,2025-06-11,,"The Man from Nowhere","Ajeossi",https://www.imdb.com/title/tt1527788/,Movie,7.7,119,2010,"Action, Crime, Drama, Thriller",78955,2010-08-05,"Lee Jeong-beom",,
18,tt9426186,2025-06-11,2025-06-11,,"Revenger","Revenger",https://www.imdb.com/title/tt9426186/,Movie,5.7,101,2018,"Action, Crime, Thriller",4945,2019-01-15,"Lee Seung-won",,
19,tt6927152,2025-06-11,2025-06-11,,"Rampant","Chang-gwol",https://www.imdb.com/title/tt6927152/,Movie,6.3,121,2018,"Action, Drama, History, Horror, Thriller",5285,2018-11-02,"Kim Sung-hoon",,
20,tt1190539,2025-06-11,2025-06-11,,"The Chaser","Chugyeokja",https://www.imdb.com/title/tt1190539/,Movie,7.8,125,2008,"Action, Crime, Drama, Thriller",78159,2008-02-14,"Na Hong-jin",,
