Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt2140519,2025-08-04,2025-08-04,,"The Farmer's Wife","The Farmer's Wife",https://www.imdb.com/title/tt2140519/,Short,7.6,18,2012,"Short, Drama",22,2012-06-20,"Francis Lee",,
2,tt0423866,2025-08-04,2025-08-04,,"3-Iron","Binjip",https://www.imdb.com/title/tt0423866/,Movie,7.9,88,2004,"Crime, Drama, Romance",60456,2004-10-15,"Kim Ki-duk",,
3,tt0118564,2025-08-04,2025-08-04,,"Affliction","Affliction",https://www.imdb.com/title/tt0118564/,Movie,6.9,114,1997,"Drama, Mystery, Thriller",21008,1999-02-19,"Paul Schrader",,
4,tt2024519,2025-08-04,2025-08-04,,"The Broken Circle Breakdown","The Broken Circle Breakdown",https://www.imdb.com/title/tt2024519/,Movie,7.7,111,2012,"Drama, Music, Romance",44749,2012-10-10,"Felix van Groeningen",,
5,tt0111341,2025-08-04,2025-08-04,,"Satantango","Sátántangó",https://www.imdb.com/title/tt0111341/,Movie,8.2,439,1994,"Drama",13502,1994-04-28,"Béla Tarr",9,2025-09-04
6,tt0095475,2025-08-04,2025-08-04,,"Damnation","Kárhozat",https://www.imdb.com/title/tt0095475/,Movie,7.6,120,1988,"Crime, Drama, Romance",7232,1988-10-20,"Béla Tarr",,
7,tt0249241,2025-08-04,2025-08-04,,"Werckmeister Harmonies","Werckmeister harmóniák",https://www.imdb.com/title/tt0249241/,Movie,7.9,145,2000,"Drama, Mystery",17198,2001-02-01,"Béla Tarr, Ágnes Hranitzky",,
8,tt7095482,2025-08-04,2025-08-04,,"The Candidate","El reino",https://www.imdb.com/title/tt7095482/,Movie,7.1,132,2018,"Drama, Mystery, Thriller",10048,2018-09-28,"Rodrigo Sorogoyen",,
9,tt1663321,2025-08-04,2025-08-04,,"Chicken with Plums","Poulet aux prunes",https://www.imdb.com/title/tt1663321/,Movie,7.0,93,2011,"Comedy, Drama",10255,2011-10-26,"Vincent Paronnaud, Marjane Satrapi",,
10,tt4057480,2025-08-04,2025-08-04,,"Tashi Delek!","Tashi Delek!",https://www.imdb.com/title/tt4057480/,Movie,7.7,55,2016,"Documentary",22,2016-05,"Peeter Rebane",,
11,tt0117039,2025-08-04,2025-08-04,,"Michael Collins","Michael Collins",https://www.imdb.com/title/tt0117039/,Movie,7.1,133,1996,"Biography, Drama, History, Thriller, War",35514,1996-10-25,"Neil Jordan",,
12,tt0488905,2025-08-04,2025-08-04,,"The Banishment","Izgnanie",https://www.imdb.com/title/tt0488905/,Movie,7.5,157,2007,"Drama, Romance",9429,2018-01-18,"Andrey Zvyagintsev",,
13,tt1193507,2025-08-04,2025-08-04,,"My Own Love Song","My Own Love Song",https://www.imdb.com/title/tt1193507/,Movie,5.7,102,2010,"Adventure, Comedy, Drama",1898,2010-04-07,"Olivier Dahan",,
14,tt26342791,2025-08-04,2025-08-04,,"Animal","Animal",https://www.imdb.com/title/tt26342791/,Movie,6.5,116,2023,"Drama",936,2024-02-08,"Sofia Exarchou",,
15,tt0315983,2025-08-04,2025-08-04,,"House of Sand and Fog","House of Sand and Fog",https://www.imdb.com/title/tt0315983/,Movie,7.5,126,2003,"Crime, Drama",74950,2004-01-09,"Vadim Perelman",,
16,tt0095037,2025-08-04,2025-08-04,,"Distant Voices, Still Lives","Distant Voices, Still Lives",https://www.imdb.com/title/tt0095037/,Movie,7.4,84,1988,"Drama, Music",5571,1989-03-31,"Terence Davies",,
17,tt1232790,2025-08-04,2025-08-04,,"Of Time and the City","Of Time and the City",https://www.imdb.com/title/tt1232790/,Movie,7.2,74,2008,"Documentary, Biography",2356,2008-10-31,"Terence Davies",,
18,tt24244436,2025-08-04,2025-08-04,,"Housekeeping for Beginners","Domakinstvo za pocetnici",https://www.imdb.com/title/tt24244436/,Movie,6.9,107,2023,"Comedy, Drama",1244,2024-06-07,"Goran Stolevski",,
19,tt4298958,2025-08-04,2025-08-04,,"Sweet Bean","An",https://www.imdb.com/title/tt4298958/,Movie,7.4,113,2015,"Drama",13794,2015-05-30,"Naomi Kawase",,
20,tt0119687,2025-08-04,2025-08-04,,"Suzaku","Moe no Suzaku",https://www.imdb.com/title/tt0119687/,Movie,7.3,95,1997,"Drama",1607,1997-11-01,"Naomi Kawase",,
21,tt3230162,2025-08-04,2025-08-04,,"Still the Water","Futatsume no mado",https://www.imdb.com/title/tt3230162/,Movie,6.7,121,2014,"Drama, Romance",3197,2014-07-26,"Naomi Kawase",,
22,tt0140791,2025-08-04,2025-08-04,,"Affair Play","Affair Play",https://www.imdb.com/title/tt0140791/,Movie,6.1,95,1995,"Romance, Thriller",73,1995-05-24,"Roeland Kerbosch",,
