Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt10554898,2024-03-19,2024-03-19,,"The Untamed","Chen qing ling",https://www.imdb.com/title/tt10554898/,TV Series,8.7,50,2019,"Action, Adventure, Drama, Fantasy, Horror, Mystery, Romance",15255,2019-06-25,,,
2,tt0245929,2024-03-19,2024-03-19,,"Devils on the Doorstep","Guizi lai le",https://www.imdb.com/title/tt0245929/,Movie,8.2,139,2000,"Comedy, Drama, War",9180,2001-03-14,"Wen Jiang",8,2024-12-02
3,tt0111786,2024-03-19,2024-03-19,,"In the Heat of the Sun","Yang guang can lan de ri zi",https://www.imdb.com/title/tt0111786/,Movie,8.0,134,1994,"Drama, Romance",6088,1995-08-21,"Wen Jiang",,
4,tt8690890,2024-03-19,2024-03-19,,"Meteor Garden","Liu xing hua yuan",https://www.imdb.com/title/tt8690890/,TV Series,7.8,45,2018,"Drama, Romance",6067,2018-07-13,,,
5,tt8020896,2024-03-19,2024-03-19,,"An Elephant Sitting Still","Da xiang xi di er zuo",https://www.imdb.com/title/tt8020896/,Movie,7.8,230,2018,"Crime, Drama",8880,2019-03-08,"Bo Hu",9,2025-06-23
6,tt7362036,2024-03-19,2024-03-19,,"Dying to Survive","Wo bu shi yao shen",https://www.imdb.com/title/tt7362036/,Movie,7.8,117,2018,"Comedy, Drama",8829,2019-08-09,"Muye Wen",,
7,tt0235060,2024-03-19,2024-03-19,,"The Road Home","Wo de fu qin mu qin",https://www.imdb.com/title/tt0235060/,Movie,7.7,89,1999,"Drama, Romance",14356,2001-06-15,"Yimou Zhang",10,2025-06-23
8,tt0093389,2024-03-19,2024-03-19,,"The Last Emperor","The Last Emperor",https://www.imdb.com/title/tt0093389/,Movie,7.7,163,1987,"Biography, Drama, History",117288,1988-04-15,"Bernardo Bertolucci",8,2024-08-09
9,tt1124052,2024-03-19,2024-03-19,,"City of Life and Death","Nanjing! Nanjing!",https://www.imdb.com/title/tt1124052/,Movie,7.7,133,2009,"Drama, History, War",12263,2009-04-22,"Chuan Lu",,
10,tt9581076,2024-03-19,2024-03-19,,"So Long, My Son","Di jiu tian chang",https://www.imdb.com/title/tt9581076/,Movie,7.7,185,2019,"Drama",5917,2019-03-22,"Xiaoshuai Wang",,
11,tt0209189,2024-03-19,2024-03-19,,"Not One Less","Yi ge dou bu neng shao",https://www.imdb.com/title/tt0209189/,Movie,7.7,106,1999,"Drama",9698,1999-10-30,"Yimou Zhang",,
12,tt9586294,2024-03-19,2024-03-19,,"Better Days","Shaonian de ni",https://www.imdb.com/title/tt9586294/,Movie,7.6,135,2019,"Crime, Drama, Romance, Thriller",15988,2019-10-25,"Derek Tsang",9,2024-06-27
13,tt0446059,2024-03-19,2024-03-19,,"Fearless","Huo Yuan Jia",https://www.imdb.com/title/tt0446059/,Movie,7.6,104,2006,"Action, Biography, Drama",80516,2006-09-22,"Ronny Yu",8,2024-07-04
14,tt0105197,2024-03-19,2024-03-19,,"The Story of Qiu Ju","Qiu Ju da guan si",https://www.imdb.com/title/tt0105197/,Movie,7.5,100,1992,"Comedy, Drama",7050,1993-04-16,"Yimou Zhang",8,2024-09-10
15,tt0106332,2024-03-19,2024-03-19,,"Farewell My Concubine","Ba wang bie ji",https://www.imdb.com/title/tt0106332/,Movie,8.1,171,1993,"Drama, Music, Romance",35863,1993-10-15,"Kaige Chen",10,2025-02-25
16,tt3560686,2024-03-19,2024-03-19,,"The Fool","Durak",https://www.imdb.com/title/tt3560686/,Movie,8.0,116,2014,"Crime, Drama, Thriller",17810,2015-09-16,"Yuriy Bykov",9,2024-12-28
17,tt0376968,2024-03-19,2024-03-19,,"The Return","Vozvrashchenie",https://www.imdb.com/title/tt0376968/,Movie,7.9,110,2003,"Drama",48933,2003-06-25,"Andrey Zvyagintsev",9,2024-09-27
18,tt0111579,2024-03-19,2024-03-19,,"Burnt by the Sun","Utomlennye solntsem",https://www.imdb.com/title/tt0111579/,Movie,7.8,135,1994,"Drama, War",16990,1995-04-21,"Nikita Mikhalkov",9,2024-09-27
19,tt0851577,2024-03-19,2024-03-19,,"The Island","Ostrov",https://www.imdb.com/title/tt0851577/,Movie,7.8,112,2006,"Comedy, Drama",13076,2006-11-23,"Pavel Lungin",,
20,tt0120125,2024-03-19,2024-03-19,,"The Barber of Siberia","Sibirskiy tsiryulnik",https://www.imdb.com/title/tt0120125/,Movie,7.6,180,1998,"Comedy, Drama, History, Romance",13188,1999-02-20,"Nikita Mikhalkov",,
21,tt0308476,2024-03-19,2024-03-19,,"The Cuckoo","Kukushka",https://www.imdb.com/title/tt0308476/,Movie,7.7,99,2002,"Comedy, Drama, War",8183,2002-09-12,"Aleksandr Rogozhkin",,
22,tt2802154,2024-03-19,2024-03-19,,"Leviathan","Leviathan",https://www.imdb.com/title/tt2802154/,Movie,7.6,140,2014,"Crime, Drama",59070,2015-02-05,"Andrey Zvyagintsev",9,2025-08-05
23,tt6304162,2024-03-19,2024-03-19,,"Loveless","Nelyubov",https://www.imdb.com/title/tt6304162/,Movie,7.6,127,2017,"Drama",36996,2017-06-01,"Andrey Zvyagintsev",10,2024-07-05
24,tt0488478,2024-03-19,2024-03-19,,"12","12",https://www.imdb.com/title/tt0488478/,Movie,7.5,159,2007,"Crime, Drama, Thriller",15801,2007-09-20,"Nikita Mikhalkov",,
25,tt0124207,2024-03-19,2024-03-19,,"The Thief","Vor",https://www.imdb.com/title/tt0124207/,Movie,7.6,96,1997,"Crime, Drama",5863,1998-07-17,"Pavel Chukhray",9,2024-07-24
26,tt0238883,2024-03-19,2024-03-19,,"Brat 2","Brat 2",https://www.imdb.com/title/tt0238883/,Movie,7.6,122,2000,"Action, Crime, Drama, Thriller",19403,2000-05-11,"Aleksey Balabanov",8,2024-07-10
27,tt0488905,2024-03-19,2024-03-19,,"The Banishment","Izgnanie",https://www.imdb.com/title/tt0488905/,Movie,7.5,157,2007,"Drama, Romance",9429,2018-01-18,"Andrey Zvyagintsev",,
28,tt0309047,2024-03-19,2024-03-19,,"War","Voyna",https://www.imdb.com/title/tt0309047/,Movie,7.5,120,2002,"Action, Drama, War",5880,2002-03-14,"Aleksey Balabanov",,
29,tt1595366,2024-03-19,2024-03-19,,"What Men Talk About","O chyom govoryat muzhchiny",https://www.imdb.com/title/tt1595366/,Movie,7.5,93,2010,"Adventure, Comedy",7167,2010-03-04,"Dmitriy Dyachenko",,
30,tt11833648,2024-03-19,2024-03-19,,"The Book of Sun","Shams Al-Ma'arif",https://www.imdb.com/title/tt11833648/,Movie,7.9,120,2020,"Comedy",12359,2020-09-03,"Faris Godus",,
31,tt23642740,2024-03-19,2024-03-19,,"Night Courier","Mandoob",https://www.imdb.com/title/tt23642740/,Movie,7.3,110,2023,"Comedy, Crime, Drama, Thriller",5560,2024-10-31,"Ali Kalthami",,
32,tt2258858,2024-03-19,2024-03-19,,"Wadjda","Wadjda",https://www.imdb.com/title/tt2258858/,Movie,7.5,98,2012,"Comedy, Drama",22080,2013-05-16,"Haifaa Al-Mansour",10,2025-06-23
33,tt25366998,2024-03-19,2024-03-19,,"Alhamour H.A.","Alhamour H.A.",https://www.imdb.com/title/tt25366998/,Movie,7.1,120,2023,"Biography, Comedy, Crime, Drama",2272,2023-01-18,"Abdulelah Alqurashi",,
34,tt0271383,2024-03-19,2024-03-19,,"A Dog's Will","O Auto da Compadecida",https://www.imdb.com/title/tt0271383/,Movie,8.6,104,2000,"Comedy, Drama, Fantasy",20783,2000-09-10,"Guel Arraes",9,2020-08-29
35,tt13458600,2024-03-19,2024-03-19,,"Emicida: AmarElo - It's All for Yesterday","Emicida: AmarElo - It's All for Yesterday",https://www.imdb.com/title/tt13458600/,Movie,8.5,89,2020,"Documentary, Music",1701,2020-12-08,"Fred Ouro Preto",,
36,tt1165293,2024-03-19,2024-03-19,,"Jogo de cena","Jogo de cena",https://www.imdb.com/title/tt1165293/,Movie,8.4,100,2007,"Documentary, Drama",1530,2007,"Eduardo Coutinho",9,2024-10-29
37,tt0134402,2024-03-19,2024-03-19,,"Twenty Years Later","Cabra Marcado Para Morrer",https://www.imdb.com/title/tt0134402/,Movie,8.3,119,1984,"Documentary, History",1987,1984-12-06,"Eduardo Coutinho",,
38,tt0056322,2024-03-19,2024-03-19,,"The Given Word","O Pagador de Promessas",https://www.imdb.com/title/tt0056322/,Movie,8.3,98,1962,"Drama",4437,1962-04-17,"Anselmo Duarte",,
39,tt0333388,2024-03-19,2024-03-19,,"Edifício Master","Edifício Master",https://www.imdb.com/title/tt0333388/,Movie,8.3,110,2002,"Documentary",1909,2002-11-22,"Eduardo Coutinho",,
40,tt0082317,2024-03-19,2024-03-19,,"They Don't Wear Black Tie","Eles Não Usam Black-Tie",https://www.imdb.com/title/tt0082317/,Movie,8.2,120,1981,"Drama",2103,1982-04-18,"Leon Hirszman",9,2024-12-02
41,tt22988228,2024-03-19,2024-03-19,,"Racionais MC's: From the Streets of São Paulo","Racionais MC's: From the Streets of Sao Paulo",https://www.imdb.com/title/tt22988228/,Movie,8.2,116,2022,"Documentary, Music",1215,2022-11-16,"Juliana Vicente",,
42,tt0861739,2024-03-19,2024-03-19,,"Elite Squad","Tropa de Elite",https://www.imdb.com/title/tt0861739/,Movie,8.0,115,2007,"Action, Crime, Drama, Thriller",116431,2007-10-12,"José Padilha",9,2024-01-05
43,tt0140888,2024-03-19,2024-03-19,,"Central Station","Central do Brasil",https://www.imdb.com/title/tt0140888/,Movie,8.0,110,1998,"Drama",48989,1998-11-20,"Walter Salles",10,2025-02-25
44,tt1555149,2024-03-19,2024-03-19,,"Elite Squad 2: The Enemy Within","Tropa de Elite 2: O Inimigo Agora é Outro",https://www.imdb.com/title/tt1555149/,Movie,8.0,115,2010,"Crime, Drama, Thriller",90429,2010-10-08,"José Padilha",9,2024-01-05
45,tt0082912,2024-03-19,2024-03-19,,"Pixote","Pixote: A Lei do Mais Fraco",https://www.imdb.com/title/tt0082912/,Movie,7.9,128,1980,"Crime, Drama",10267,1981-09-18,"Hector Babenco",,
46,tt1702014,2024-03-19,2024-03-19,,"The Way He Looks","Hoje Eu Quero Voltar Sozinho",https://www.imdb.com/title/tt1702014/,Movie,7.9,96,2014,"Drama, Romance",29016,2014-11-07,"Daniel Ribeiro",8,2020-07-13
47,tt6293516,2024-03-19,2024-03-19,,"Bingo: The King of the Mornings","Bingo: O Rei das Manhãs",https://www.imdb.com/title/tt6293516/,Movie,7.9,113,2017,"Biography, Comedy, Drama",6542,2017-08-24,"Daniel Rezende",,
48,tt27502227,2024-03-19,2024-03-19,,"Pictures of Ghosts","Retratos Fantasmas",https://www.imdb.com/title/tt27502227/,Movie,7.6,93,2023,"Documentary",2188,2023-08-24,"Kleber Mendonça Filho",,
49,tt1039960,2024-03-19,2024-03-19,,"Estômago","Estômago",https://www.imdb.com/title/tt1039960/,Movie,7.8,113,2007,"Comedy, Crime, Drama",9544,2008-04-11,"Marcos Jorge",,
50,tt0340468,2024-03-19,2024-03-19,,"Bus 174","Ônibus 174",https://www.imdb.com/title/tt0340468/,Movie,7.8,122,2002,"Documentary, Crime",8890,2003-08-30,"José Padilha, Felipe Lacerda",,
51,tt0090015,2024-03-22,2024-03-22,,"Shoah","Shoah",https://www.imdb.com/title/tt0090015/,Movie,8.7,566,1985,"Documentary, History, War",11284,1985-11,"Claude Lanzmann",8,2024-12-02
52,tt3327994,2024-03-22,2024-03-22,,"Human","Human",https://www.imdb.com/title/tt3327994/,Movie,8.6,263,2015,"Documentary",9104,2015-09-12,"Yann Arthus-Bertrand",,
53,tt0110413,2024-03-22,2024-03-22,,"Léon: The Professional","Léon",https://www.imdb.com/title/tt0110413/,Movie,8.5,110,1994,"Action, Crime, Drama, Thriller",1321467,1994-11-18,"Luc Besson",9,2024-01-24
54,tt0253474,2024-03-22,2024-03-22,,"The Pianist","The Pianist",https://www.imdb.com/title/tt0253474/,Movie,8.5,150,2002,"Biography, Drama, Music, War",985379,2003-03-28,"Roman Polanski",9,2025-08-16
55,tt1675434,2024-03-22,2024-03-22,,"The Intouchables","Intouchables",https://www.imdb.com/title/tt1675434/,Movie,8.5,112,2011,"Comedy, Drama",996034,2011-11-02,"Olivier Nakache, Éric Toledano",7,2020-08-21
56,tt0054407,2024-03-22,2024-03-22,,"The Hole","Le trou",https://www.imdb.com/title/tt0054407/,Movie,8.5,131,1960,"Crime, Drama, Thriller",22565,1997-02-14,"Jacques Becker",,
57,tt1014762,2024-03-22,2024-03-22,,"Home","Home",https://www.imdb.com/title/tt1014762/,Movie,8.5,118,2009,"Documentary, Family",23366,2009-06-05,"Yann Arthus-Bertrand",,
58,tt3674140,2024-03-22,2024-03-22,,"The Salt of the Earth","The Salt of the Earth",https://www.imdb.com/title/tt3674140/,Movie,8.4,110,2014,"Documentary, Biography, History",24870,2014-10-15,"Juliano Ribeiro Salgado, Wim Wenders",,
