Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt3404140,2025-06-11,2025-06-11,,"The Attorney","Byeon-ho-in",https://www.imdb.com/title/tt3404140/,Movie,7.7,127,2013,"Crime, Drama, History",8277,2014-02-07,"Woo-seok Yang",,
2,tt6493286,2025-06-11,2025-06-11,,"1987: When the Day Comes","1987",https://www.imdb.com/title/tt6493286/,Movie,7.8,129,2017,"Drama, History, Thriller",7682,2018-01-12,"Jang Joon-hwan",7,2025-09-04
3,tt6878038,2025-06-11,2025-06-11,,"A Taxi Driver","Taeksi woonjunsa",https://www.imdb.com/title/tt6878038/,Movie,7.9,137,2017,"Action, Drama, History",36303,2017-08-11,"Hun Jang",7,2025-08-16
4,tt0765432,2025-06-11,2025-06-11,,"The Baader Meinhof Complex","Der Baader Meinhof Komplex",https://www.imdb.com/title/tt0765432/,Movie,7.3,150,2008,"Action, Biography, Crime, Drama, History, Thriller",41234,2008-09-25,"Uli Edel",,
5,tt2178941,2025-06-11,2025-06-11,,"Barbara","Barbara",https://www.imdb.com/title/tt2178941/,Movie,7.2,105,2012,"Drama",16823,2012-03-08,"Christian Petzold",,
6,tt6576556,2025-06-11,2025-06-11,,"The Silent Revolution","Das schweigende Klassenzimmer",https://www.imdb.com/title/tt6576556/,Movie,7.4,111,2018,"Drama, History",6394,2019-10-22,"Lars Kraume",,
7,tt8359816,2025-06-11,2025-06-11,,"Sorry We Missed You","Sorry We Missed You",https://www.imdb.com/title/tt8359816/,Movie,7.6,101,2019,"Drama",27659,2020-03-06,"Ken Loach",9,2025-08-05
8,tt0460989,2025-06-11,2025-06-11,,"The Wind that Shakes the Barley","The Wind That Shakes the Barley",https://www.imdb.com/title/tt0460989/,Movie,7.5,127,2006,"Drama, War",57697,2007-03-23,"Ken Loach",,
9,tt10324144,2025-06-11,2025-06-11,,"Article 15","Article 15",https://www.imdb.com/title/tt10324144/,Movie,8.1,130,2019,"Crime, Drama, Mystery, Thriller",39734,2019-06-28,"Anubhav Sinha",7,2025-08-05
10,tt1447508,2025-06-11,2025-06-11,,"Peepli [Live]","Peepli [Live]",https://www.imdb.com/title/tt1447508/,Movie,7.4,95,2010,"Comedy, Drama",13042,2010-08-13,"Anusha Rizvi, Mahmood Farooqui",,
11,tt10280296,2025-06-11,2025-06-11,,"Sardar Udham","Sardar Udham",https://www.imdb.com/title/tt10280296/,Movie,8.3,164,2021,"Crime, Drama, History",49799,2021-10-16,"Shoojit Sircar",9,2025-08-05
12,tt0929425,2025-06-11,2025-06-11,,"Gomorrah","Gomorra",https://www.imdb.com/title/tt0929425/,Movie,7.0,137,2008,"Crime, Drama",52630,2009-04-10,"Matteo Garrone",,
13,tt11697690,2025-06-11,2025-06-11,,"The Woman Who Ran","Domangchin yeoja",https://www.imdb.com/title/tt11697690/,Movie,6.7,77,2020,"Drama",3908,2021-07-09,"Hong Sang-soo",,
14,tt6412864,2025-06-11,2025-06-11,,"On the Beach at Night Alone","Bamui haebyun-eoseo honja",https://www.imdb.com/title/tt6412864/,Movie,6.8,101,2017,"Drama, Romance",5229,2017-03-23,"Hong Sang-soo",,
15,tt4768776,2025-06-11,2025-06-11,,"Right Now, Wrong Then","Ji-geum-eun-mat-go-geu-ddae-neun-teul-li-da",https://www.imdb.com/title/tt4768776/,Movie,7.1,121,2015,"Drama, Romance",5338,2015-09-24,"Hong Sang-soo",,
16,tt0093191,2025-06-11,2025-06-11,,"Wings of Desire","Der Himmel über Berlin",https://www.imdb.com/title/tt0093191/,Movie,7.9,128,1987,"Drama, Fantasy, Romance",82169,1988-05-06,"Wim Wenders",9,2025-06-23
17,tt0083946,2025-06-11,2025-06-11,,"Fitzcarraldo","Fitzcarraldo",https://www.imdb.com/title/tt0083946/,Movie,7.9,158,1982,"Adventure, Drama, Music",41602,1982-10-10,"Werner Herzog",,
18,tt0010323,2025-06-11,2025-06-11,,"The Cabinet of Dr. Caligari","Das Cabinet des Dr. Caligari",https://www.imdb.com/title/tt0010323/,Movie,8.0,67,1920,"Horror, Mystery, Thriller",74447,1920-02-27,"Robert Wiene",9,2025-06-23
19,tt1037163,2025-06-11,2025-06-11,,"The Time That Remains","The Time That Remains",https://www.imdb.com/title/tt1037163/,Movie,7.1,109,2009,"Drama, History",3070,2009-08-12,"Elia Suleiman",,
