Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt14905854,2025-09-27,2025-09-27,,"Hamnet","Hamnet",https://www.imdb.com/title/tt14905854/,Movie,8.4,125,2025,"Biography, Drama, History",340,2025-12-12,"Chloé Zhao",,
2,tt31193180,2025-09-27,2025-09-27,,"Sinners","Sinners",https://www.imdb.com/title/tt31193180/,Movie,7.6,137,2025,"Action, Drama, Horror, Music, Thriller",285275,2025-04-18,"Ryan Coogler",8,2025-09-29
3,tt30144839,2025-09-27,2025-09-27,,"One Battle After Another","One Battle After Another",https://www.imdb.com/title/tt30144839/,Movie,8.4,161,2025,"Action, Crime, Drama, Thriller",57234,2025-09-26,"Paul Thomas Anderson",,
4,tt1312221,2025-09-27,2025-09-27,,"Frankenstein","Frankenstein",https://www.imdb.com/title/tt1312221/,Movie,7.3,149,2025,"Drama, Fantasy, Horror, Sci-Fi",1083,2025-11-07,"Guillermo del Toro",,
5,tt27714581,2025-09-27,2025-09-27,,"Sentimental Value","Affeksjonsverdi",https://www.imdb.com/title/tt27714581/,Movie,7.9,133,2025,"Drama",3133,2025-08-20,"Joachim Trier",,
6,tt12300742,2025-09-27,2025-09-27,,"Bugonia","Bugonia",https://www.imdb.com/title/tt12300742/,Movie,7.1,120,2025,"Comedy, Crime, Sci-Fi",954,2025-10-31,"Yorgos Lanthimos",,
7,tt30446847,2025-09-27,2025-09-27,,"Jay Kelly","Jay Kelly",https://www.imdb.com/title/tt30446847/,Movie,6.1,132,2025,"Comedy, Drama",362,2025-12-05,"Noah Baumbach",,
8,tt32916440,2025-09-27,2025-09-27,,"Marty Supreme","Marty Supreme",https://www.imdb.com/title/tt32916440/,Movie,,155,2025,"Comedy",0,2025-12-25,"Josh Safdie",,
9,tt11214558,2025-09-27,2025-09-27,,"The Smashing Machine","The Smashing Machine",https://www.imdb.com/title/tt11214558/,Movie,7.0,123,2025,"Action, Biography, Drama, History, Sport",12972,2025-10-03,"Benny Safdie",,
10,tt19847976,2025-09-27,2025-09-27,,"Wicked: For Good","Wicked: For Good",https://www.imdb.com/title/tt19847976/,Movie,,138,2025,"Family, Fantasy, Musical, Romance",0,2025-11-21,"Jon M. Chu",,
11,tt31923069,2025-09-27,2025-09-27,,"Springsteen: Deliver Me from Nowhere","Springsteen: Deliver Me from Nowhere",https://www.imdb.com/title/tt31923069/,Movie,5.7,120,2025,"Biography, Drama, Music",406,2025-10-22,"Scott Cooper",,
12,tt32376165,2025-09-27,2025-09-27,,"A House of Dynamite","A House of Dynamite",https://www.imdb.com/title/tt32376165/,Movie,6.9,112,2025,"Drama, Thriller",432,2025-10-24,"Kathryn Bigelow",,
13,tt34819091,2025-09-27,2025-09-27,,"The Testament of Ann Lee","The Testament of Ann Lee",https://www.imdb.com/title/tt34819091/,Movie,6.7,137,2025,"Biography, Drama, History, Musical",194,2025-09-29,"Mona Fastvold",,
14,tt31189315,2025-09-27,2025-09-27,,"Father Mother Sister Brother","Father Mother Sister Brother",https://www.imdb.com/title/tt31189315/,Movie,6.6,110,2025,"Comedy, Drama",394,2025-12-24,"Jim Jarmusch",,
15,tt32063098,2025-09-27,2025-09-27,,"Ballad of a Small Player","Ballad of a Small Player",https://www.imdb.com/title/tt32063098/,Movie,6.0,101,2025,"Crime, Drama, Mystery, Thriller",214,2025-10-29,"Edward Berger",,
16,tt1757678,2025-09-27,2025-09-27,,"Avatar: Fire and Ash","Avatar: Fire and Ash",https://www.imdb.com/title/tt1757678/,Movie,,192,2025,"Action, Adventure, Fantasy, Sci-Fi, Thriller",0,2025-12-19,"James Cameron",,
17,tt36491653,2025-09-27,2025-09-27,,"It Was Just an Accident","Yek tasadef sadeh",https://www.imdb.com/title/tt36491653/,Movie,7.7,105,2025,"Action, Adventure, Crime, Drama, Mystery, Thriller",1163,2025-10-15,"Jafar Panahi",,
18,tt14142060,2025-09-27,2025-09-27,,"Rental Family","Rental Family",https://www.imdb.com/title/tt14142060/,Movie,7.7,103,2025,"Comedy, Drama",140,2025-11-21,"Hikari",,
19,tt27847051,2025-09-27,2025-09-27,,"The Secret Agent","O Agente Secreto",https://www.imdb.com/title/tt27847051/,Movie,7.7,158,2025,"Crime, Drama, Fantasy, History, Mystery, Thriller",1075,2025-12-05,"Kleber Mendonça Filho",,
20,tt14364480,2025-09-27,2025-09-27,,"Wake Up Dead Man: A Knives Out Mystery","Wake Up Dead Man",https://www.imdb.com/title/tt14364480/,Movie,,140,2025,"Comedy, Crime, Drama, Mystery, Thriller",0,2025-12-12,"Rian Johnson",,
21,tt28083456,2025-09-27,2025-09-27,,"Is This Thing On?","Is This Thing On?",https://www.imdb.com/title/tt28083456/,Movie,,124,2025,"Comedy, Drama",0,2025-12-19,"Bradley Cooper",,
22,tt32159989,2025-09-27,2025-09-27,,"After the Hunt","After the Hunt",https://www.imdb.com/title/tt32159989/,Movie,6.0,139,2025,"Crime, Drama, Thriller",445,2025-10-17,"Luca Guadagnino",,
23,tt32536315,2025-09-27,2025-09-27,,"Blue Moon","Blue Moon",https://www.imdb.com/title/tt32536315/,Movie,7.3,100,2025,"Biography, Comedy, Drama, History, Music, Romance",471,2025-10-24,"Richard Linklater",,
24,tt31688586,2025-09-27,2025-09-27,,"Nouvelle Vague","Nouvelle Vague",https://www.imdb.com/title/tt31688586/,Movie,7.4,106,2025,"Biography, Comedy, Drama, History, Western",614,2025-11-14,"Richard Linklater",,
25,tt33549447,2025-09-27,2025-09-27,,"Anemone","Anemone",https://www.imdb.com/title/tt33549447/,Movie,6.5,121,2025,"Drama",212,2025-10-03,"Ronan Day-Lewis",,
26,tt12908150,2025-09-27,2025-09-27,,"The Life of Chuck","The Life of Chuck",https://www.imdb.com/title/tt12908150/,Movie,7.3,111,2024,"Drama, Fantasy, Sci-Fi",34899,2025-06-13,"Mike Flanagan",,
