Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0396171,2021-08-23,2021-08-23,,"Perfume: The Story of a Murderer","Perfume: The Story of a Murderer",https://www.imdb.com/title/tt0396171/,Movie,7.5,147,2006,"Crime, Drama, Fantasy",275338,2007-01-05,"Tom Tykwer",,
2,tt3548874,2021-09-09,2021-09-09,,"The Pink Cloud","A Nuvem Rosa",https://www.imdb.com/title/tt3548874/,Movie,5.9,105,2021,"Drama, Sci-Fi",1030,2021-01-29,"Iuli Gerbase",,
3,tt0066319,2021-10-24,2021-10-24,,"Ryan's Daughter","Ryan's Daughter",https://www.imdb.com/title/tt0066319/,Movie,7.4,200,1970,"Drama, Romance",11370,1970-12-10,"David Lean",10,2021-10-22
4,tt8173728,2021-10-24,2021-10-24,,"The Wolf House","La casa lobo",https://www.imdb.com/title/tt8173728/,Movie,7.5,75,2018,"Animation, Drama, Horror",5617,2020-03-20,"Joaquín Cociña, Cristóbal León",9,2021-10-24
5,tt2078648,2021-10-24,2021-10-24,,"It's Such a Beautiful Day","It's Such a Beautiful Day",https://www.imdb.com/title/tt2078648/,Short,8.5,23,2011,"Animation, Short, Drama, Fantasy",3420,2012,"Don Hertzfeldt",,
6,tt0887734,2021-10-24,2021-10-24,,"Everything Will Be Ok","Everything Will Be Ok",https://www.imdb.com/title/tt0887734/,Short,8.0,17,2006,"Animation, Short, Comedy, Drama, Fantasy",3238,2006-10-07,"Don Hertzfeldt",,
7,tt12837488,2021-10-24,2021-10-24,,"World of Tomorrow Episode Three: The Absent Destinations of David Prime","World of Tomorrow Episode Three: The Absent Destinations of David Prime",https://www.imdb.com/title/tt12837488/,Short,8.2,34,2020,"Animation, Short, Comedy, Drama, Fantasy, Mystery, Sci-Fi",775,2020-10-09,"Don Hertzfeldt",,
8,tt0121431,2021-10-24,2021-10-24,,"Johnny Corncob","János vitéz",https://www.imdb.com/title/tt0121431/,Movie,7.5,74,1973,"Animation, Adventure, Comedy, Fantasy, Romance",1448,1973-05-01,"Marcell Jankovics",,
9,tt0083931,2021-10-24,2021-10-24,,"Son of the White Mare","Fehérlófia",https://www.imdb.com/title/tt0083931/,Movie,7.8,86,1981,"Animation, Adventure, Drama, Fantasy, Romance",3405,1983-07-13,"Marcell Jankovics",,
10,tt0455211,2021-10-24,2021-10-24,,"SuperOutro","SuperOutro",https://www.imdb.com/title/tt0455211/,Movie,7.2,46,1989,"Comedy",193,,"Edgard Navarro",,
11,tt0075995,2024-10-22,2024-10-22,"Absolute must !","Equus","Equus",https://www.imdb.com/title/tt0075995/,Movie,7.1,137,1977,"Drama, Mystery",9130,1977-10-20,"Sidney Lumet",,
12,tt0055998,2024-10-22,2024-10-22,,"Freud","Freud",https://www.imdb.com/title/tt0055998/,Movie,7.2,140,1962,"Biography, Drama",3645,1962-12-12,"John Huston",,
13,tt0040806,2024-10-22,2024-10-22,"Classic psy movie","The Snake Pit","The Snake Pit",https://www.imdb.com/title/tt0040806/,Movie,7.5,108,1948,"Drama, Mystery",8933,1948-11-13,"Anatole Litvak",,
14,tt0094663,2024-10-22,2024-10-22,"One of the most interesting portrait of a psychoanalyst","Another Woman","Another Woman",https://www.imdb.com/title/tt0094663/,Movie,7.2,81,1988,"Drama",15917,1988-11-18,"Woody Allen",,
