Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt2076220,2025-09-19,2025-09-19,,"Holy Motors","Holy Motors",https://www.imdb.com/title/tt2076220/,Movie,7.0,115,2012,"Drama, Fantasy",50676,2012-07-04,"Leos Carax",,
2,tt0112682,2025-09-19,2025-09-19,,"The City of Lost Children","La cité des enfants perdus",https://www.imdb.com/title/tt0112682/,Movie,7.4,112,1995,"Adventure, Drama, Fantasy, Sci-Fi",74023,1995-12-15,"Marc Caro, Jean-Pierre Jeunet",,
3,tt0344510,2025-09-19,2025-09-19,,"A Very Long Engagement","Un long dimanche de fiançailles",https://www.imdb.com/title/tt0344510/,Movie,7.6,133,2004,"Drama, Mystery, Romance, War",77326,2005-01-14,"Jean-Pierre Jeunet",,
4,tt0101700,2025-09-19,2025-09-19,,"Delicatessen","Delicatessen",https://www.imdb.com/title/tt0101700/,Movie,7.5,99,1991,"Comedy, Crime",93045,1992-04-03,"Marc Caro, Jean-Pierre Jeunet",,
5,tt8652728,2025-09-19,2025-09-19,,"Waves","Waves",https://www.imdb.com/title/tt8652728/,Movie,7.5,135,2019,"Drama, Romance, Sport",36115,2019-12-06,"Trey Edward Shults",,
6,tt2101383,2025-09-19,2025-09-19,,"Knight of Cups","Knight of Cups",https://www.imdb.com/title/tt2101383/,Movie,5.6,118,2015,"Drama, Fantasy, Romance",31148,2016-03-04,"Terrence Malick",,
7,tt2042568,2025-09-19,2025-09-19,,"Inside Llewyn Davis","Inside Llewyn Davis",https://www.imdb.com/title/tt2042568/,Movie,7.4,104,2013,"Drama, Music",169497,2014-01-10,"Ethan Coen, Joel Coen",,
8,tt0217505,2025-09-19,2025-09-19,,"Gangs of New York","Gangs of New York",https://www.imdb.com/title/tt0217505/,Movie,7.5,167,2002,"Crime, Drama",494251,2002-12-20,"Martin Scorsese",,
9,tt2059255,2025-09-19,2025-09-19,,"No","No",https://www.imdb.com/title/tt2059255/,Movie,7.4,118,2012,"Drama, History",26900,2012-08-09,"Pablo Larraín",,
10,tt4375438,2025-09-19,2025-09-19,,"The Club","El club",https://www.imdb.com/title/tt4375438/,Movie,7.2,98,2015,"Drama, Mystery, Thriller",12478,2015-05-28,"Pablo Larraín",,
11,tt1226837,2025-09-19,2025-09-19,,"Beautiful Boy","Beautiful Boy",https://www.imdb.com/title/tt1226837/,Movie,7.4,120,2018,"Biography, Drama",119997,2018-10-25,"Felix van Groeningen",,
12,tt0050825,2025-09-19,2025-09-19,,"Paths of Glory","Paths of Glory",https://www.imdb.com/title/tt0050825/,Movie,8.4,88,1957,"Drama, War",230748,1957-12-25,"Stanley Kubrick",6,2025-09-27
13,tt0409459,2025-09-19,2025-09-19,,"Watchmen","Watchmen",https://www.imdb.com/title/tt0409459/,Movie,7.6,162,2009,"Action, Drama, Mystery, Sci-Fi",603677,2009-03-06,"Zack Snyder",,
14,tt0402399,2025-09-19,2025-09-19,,"The New World","The New World",https://www.imdb.com/title/tt0402399/,Movie,6.7,135,2005,"Biography, Drama, History, Romance",92797,2006-01-20,"Terrence Malick",,
15,tt28082769,2025-09-19,2025-09-19,,"September 5","September 5",https://www.imdb.com/title/tt28082769/,Movie,7.1,95,2024,"Drama, History, Thriller",31063,2025-02-25,"Tim Fehlbaum",,
16,tt0052893,2025-09-19,2025-09-19,,"Hiroshima Mon Amour","Hiroshima mon amour",https://www.imdb.com/title/tt0052893/,Movie,7.8,90,1959,"Drama, Romance",38482,1960-05-16,"Alain Resnais",,
17,tt0401792,2025-09-19,2025-09-19,,"Sin City","Sin City",https://www.imdb.com/title/tt0401792/,Movie,8.0,124,2005,"Crime, Thriller",813319,2005-04-01,"Frank Miller, Quentin Tarantino, Robert Rodriguez",,
18,tt11448830,2025-09-19,2025-09-19,,"Falcon Lake","Falcon Lake",https://www.imdb.com/title/tt11448830/,Movie,7.0,100,2022,"Drama, Fantasy, Romance",3782,2022-10-14,"Charlotte Le Bon",,
19,tt1979320,2025-09-19,2025-09-19,,"Rush","Rush",https://www.imdb.com/title/tt1979320/,Movie,8.1,123,2013,"Biography, Drama, Sport",546064,2013-09-27,"Ron Howard",5,2025-09-27
20,tt0097372,2025-09-19,2025-09-19,,"For All Mankind","For All Mankind",https://www.imdb.com/title/tt0097372/,Movie,8.1,80,1989,"Documentary, History",6988,1989-05-19,"Al Reinert",5,2025-09-28
21,tt0265086,2025-09-19,2025-09-19,,"Black Hawk Down","Black Hawk Down",https://www.imdb.com/title/tt0265086/,Movie,7.7,144,2001,"Action, Drama, History, War",445657,2002-01-18,"Ridley Scott",,
22,tt13702796,2025-09-19,2025-09-19,,"Pacifiction","Pacifiction",https://www.imdb.com/title/tt13702796/,Movie,6.3,165,2022,"Drama, Thriller",3986,2023-06-23,"Albert Serra",,
23,tt0108399,2025-09-19,2025-09-19,,"True Romance","True Romance",https://www.imdb.com/title/tt0108399/,Movie,7.9,119,1993,"Crime, Drama, Romance, Thriller",255869,1993-09-10,"Tony Scott",,
24,tt11992694,2025-09-19,2025-09-19,,"Corsage","Corsage",https://www.imdb.com/title/tt11992694/,Movie,6.5,114,2022,"Biography, Drama, History",11177,2023-09-10,"Marie Kreutzer",,
25,tt1103275,2025-09-19,2025-09-19,,"Two Lovers","Two Lovers",https://www.imdb.com/title/tt1103275/,Movie,7.0,110,2008,"Drama, Romance",45228,2009-03-20,"James Gray",,
26,tt0091497,2025-09-19,2025-09-19,,"Bad Blood","Mauvais sang",https://www.imdb.com/title/tt0091497/,Movie,7.2,105,1986,"Crime, Drama, Romance, Thriller",9876,1986-11-26,"Leos Carax",,
27,tt0976060,2025-09-19,2025-09-19,,"Tokyo!","Tokyo!",https://www.imdb.com/title/tt0976060/,Movie,7.0,112,2008,"Comedy, Drama, Fantasy",12498,2008-08-16,"Leos Carax, Michel Gondry, Bong Joon Ho",,
28,tt0113277,2025-09-19,2025-09-19,,"Heat","Heat",https://www.imdb.com/title/tt0113277/,Movie,8.3,170,1995,"Action, Crime, Drama",775307,1995-12-15,"Michael Mann",6,2025-09-27
29,tt0083658,2025-09-19,2025-09-19,,"Blade Runner","Blade Runner",https://www.imdb.com/title/tt0083658/,Movie,8.1,117,1982,"Action, Drama, Sci-Fi, Thriller",865192,1982-06-25,"Ridley Scott",6,2025-09-27
30,tt0120663,2025-09-19,2025-09-19,,"Eyes Wide Shut","Eyes Wide Shut",https://www.imdb.com/title/tt0120663/,Movie,7.5,159,1999,"Drama, Mystery, Thriller",408519,1999-07-16,"Stanley Kubrick",,
31,tt0112159,2025-09-19,2025-09-19,,"Neon Genesis Evangelion","Shinseiki Evangelion",https://www.imdb.com/title/tt0112159/,TV Series,8.5,24,1995,"Animation, Action, Drama, Sci-Fi",102518,1997-08-20,,,
32,tt3032476,2025-09-19,2025-09-19,,"Better Call Saul","Better Call Saul",https://www.imdb.com/title/tt3032476/,TV Series,9.0,45,2015,"Crime, Drama",766747,2015-02-08,,,
33,tt0061398,2025-09-19,2025-09-19,,"Berserk","Berserk",https://www.imdb.com/title/tt0061398/,Movie,5.4,96,1967,"Horror, Mystery, Thriller",2896,1968-01-11,"Jim O'Connolly",,
34,tt0021571,2025-09-19,2025-09-19,,"Earth","Zemlya",https://www.imdb.com/title/tt0021571/,Movie,7.2,75,1930,"Drama",6812,1930-10-17,"Aleksandr Dovzhenko",,
35,tt0072684,2025-09-19,2025-09-19,,"Barry Lyndon","Barry Lyndon",https://www.imdb.com/title/tt0072684/,Movie,8.1,185,1975,"Adventure, Drama, War",197850,1975-12-18,"Stanley Kubrick",7,2025-09-27
36,tt0359950,2025-09-19,2025-09-19,,"The Secret Life of Walter Mitty","The Secret Life of Walter Mitty",https://www.imdb.com/title/tt0359950/,Movie,7.3,114,2013,"Adventure, Comedy, Drama, Fantasy, Romance",361959,2013-12-25,"Ben Stiller",,
37,tt0112641,2025-09-19,2025-09-19,,"Casino","Casino",https://www.imdb.com/title/tt0112641/,Movie,8.2,178,1995,"Crime, Drama",603053,1995-11-22,"Martin Scorsese",6,2025-09-27
38,tt0478304,2025-09-19,2025-09-19,,"The Tree of Life","The Tree of Life",https://www.imdb.com/title/tt0478304/,Movie,6.8,139,2011,"Drama, Fantasy",190166,2011-05-17,"Terrence Malick",,
39,tt15239678,2025-09-19,2025-09-19,,"Dune: Part Two","Dune: Part Two",https://www.imdb.com/title/tt15239678/,Movie,8.5,166,2024,"Action, Adventure, Drama, Sci-Fi",669911,2024-03-01,"Denis Villeneuve",7,2024-11-22
40,tt0369339,2025-09-19,2025-09-19,,"Collateral","Collateral",https://www.imdb.com/title/tt0369339/,Movie,7.5,120,2004,"Action, Crime, Drama, Thriller",457305,2004-08-06,"Michael Mann",,
41,tt0078788,2025-09-19,2025-09-19,,"Apocalypse Now","Apocalypse Now",https://www.imdb.com/title/tt0078788/,Movie,8.4,147,1979,"Drama, Mystery, War",752765,1979-08-15,"Francis Ford Coppola",7,2025-09-20
42,tt0056172,2025-09-19,2025-09-19,,"Lawrence of Arabia","Lawrence of Arabia",https://www.imdb.com/title/tt0056172/,Movie,8.3,227,1962,"Adventure, Biography, Drama, War",334059,2013-04-02,"David Lean",8,2025-09-27
43,tt1817273,2025-09-19,2025-09-19,,"The Place Beyond the Pines","The Place Beyond the Pines",https://www.imdb.com/title/tt1817273/,Movie,7.3,140,2012,"Crime, Drama, Thriller",303651,2013-04-19,"Derek Cianfrance",,
44,tt7286456,2025-09-19,2025-09-19,,"Joker","Joker",https://www.imdb.com/title/tt7286456/,Movie,8.3,122,2019,"Crime, Drama, Thriller",1643725,2019-10-04,"Todd Phillips",8,2021-01-10
45,tt22176242,2025-09-19,2025-09-19,,"Rogue One","Rogue One",https://www.imdb.com/title/tt22176242/,Movie,8.0,,2017,"Action, Adventure, Comedy, Drama, Sci-Fi",31,2017-05-04,,,
46,tt7651352,2025-09-19,2025-09-19,,"Ghost of Tsushima","Ghost of Tsushima",https://www.imdb.com/title/tt7651352/,Video Game,9.2,,2020,"Action, Adventure, Drama, History, War",21669,2020-07-17,"Nate Fox",,
47,tt0075314,2025-09-19,2025-09-19,,"Taxi Driver","Taxi Driver",https://www.imdb.com/title/tt0075314/,Movie,8.2,114,1976,"Crime, Drama",997684,1976-02-09,"Martin Scorsese",7,2025-09-27
48,tt0106226,2025-09-19,2025-09-19,,"The Age of Innocence","The Age of Innocence",https://www.imdb.com/title/tt0106226/,Movie,7.2,139,1993,"Drama, Romance",72506,1993-10-01,"Martin Scorsese",,
49,tt2911666,2025-09-19,2025-09-19,,"John Wick","John Wick",https://www.imdb.com/title/tt2911666/,Movie,7.5,101,2014,"Action, Crime, Thriller",801934,2014-10-24,"Chad Stahelski",,
50,tt0081398,2025-09-19,2025-09-19,,"Raging Bull","Raging Bull",https://www.imdb.com/title/tt0081398/,Movie,8.1,129,1980,"Biography, Drama, Sport",401397,1980-12-19,"Martin Scorsese",6,2025-09-27
51,tt0093058,2025-09-19,2025-09-19,,"Full Metal Jacket","Full Metal Jacket",https://www.imdb.com/title/tt0093058/,Movie,8.2,116,1987,"Drama, War",833948,1987-07-10,"Stanley Kubrick",6,2025-09-27
52,tt1074638,2025-09-19,2025-09-19,,"Skyfall","Skyfall",https://www.imdb.com/title/tt1074638/,Movie,7.8,143,2012,"Action, Adventure, Thriller",758125,2012-11-09,"Sam Mendes",,
53,tt12361974,2025-09-19,2025-09-19,,"Zack Snyder's Justice League","Zack Snyder's Justice League",https://www.imdb.com/title/tt12361974/,Movie,7.9,242,2021,"Action, Adventure, Fantasy, Sci-Fi",464509,2021-03-18,"Zack Snyder",,
54,tt0475784,2025-09-19,2025-09-19,,"Westworld","Westworld",https://www.imdb.com/title/tt0475784/,TV Series,8.4,60,2016,"Drama, Mystery, Sci-Fi",551959,2016-10-02,,,
