Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0810819,2025-06-13,2025-06-13,,"The Danish Girl","The Danish Girl",https://www.imdb.com/title/tt0810819/,Movie,7.1,119,2015,"Biography, Drama",204742,2016-01-22,"Tom Hooper",9,2025-08-15
2,tt3007302,2025-06-13,2025-06-13,,"Boy Meets Girl","Boy Meets Girl",https://www.imdb.com/title/tt3007302/,Movie,7.1,95,2014,"Comedy, Drama, Romance",5161,2015-02-06,"Eric Schaeffer",,
3,tt0104036,2025-06-13,2025-06-13,,"The Crying Game","The Crying Game",https://www.imdb.com/title/tt0104036/,Movie,7.2,112,1992,"Crime, Drama, Romance, Thriller",62498,1993-02-19,"Neil Jordan",6,2025-05-01
4,tt0338290,2025-06-13,2025-06-13,,"Normal","Normal",https://www.imdb.com/title/tt0338290/,TV Movie,7.1,110,2003,"Drama",3582,2003-03-16,"Jane Anderson",,
5,tt0434124,2025-06-13,2025-06-13,,"Kinky Boots","Kinky Boots",https://www.imdb.com/title/tt0434124/,Movie,7.1,107,2005,"Comedy, Drama, Music",22416,2006-05-26,"Julian Jarrold",,
6,tt0324013,2025-06-13,2025-06-13,,"Soldier's Girl","Soldier's Girl",https://www.imdb.com/title/tt0324013/,TV Movie,7.8,112,2003,"Biography, Crime, Drama, Romance",7524,2003-05-31,"Frank Pierson",,
7,tt0401248,2025-06-13,2025-06-13,,"Beautiful Boxer","Beautiful Boxer",https://www.imdb.com/title/tt0401248/,Movie,7.1,118,2003,"Action, Biography, Drama, Sport",3366,2003-11-26,"Ekachai Uekrongtham",,
8,tt0171804,2025-06-13,2025-06-13,,"Boys Don't Cry","Boys Don't Cry",https://www.imdb.com/title/tt0171804/,Movie,7.5,118,1999,"Biography, Crime, Drama, Romance",106672,2000-03-31,"Kimberly Peirce",8,2020-07-13
9,tt0407265,2025-06-13,2025-06-13,,"Transamerica","Transamerica",https://www.imdb.com/title/tt0407265/,Movie,7.3,103,2005,"Adventure, Comedy, Drama",43072,2006-03-03,"Duncan Tucker",,
10,tt0109045,2025-06-13,2025-06-13,,"The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert",https://www.imdb.com/title/tt0109045/,Movie,7.5,104,1994,"Comedy, Music",59992,1994-08-10,"Stephan Elliott",,
11,tt0114682,2025-06-13,2025-06-13,,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo Thanks for Everything, Julie Newmar",https://www.imdb.com/title/tt0114682/,Movie,6.8,109,1995,"Comedy, Drama",40000,1995-09-08,"Beeban Kidron",,
12,tt2252856,2025-06-13,2025-06-13,,"Taboo: Changing Gender","Taboo: Changing Gender",https://www.imdb.com/title/tt2252856/,TV Episode,3.0,,2012,"Documentary",41,2012-09-30,,,
13,tt0248845,2025-06-13,2025-06-13,,"Hedwig and the Angry Inch","Hedwig and the Angry Inch",https://www.imdb.com/title/tt0248845/,Movie,7.7,95,2001,"Comedy, Drama, Music, Musical",38736,2001-08-31,"John Cameron Mitchell",,
14,tt1579378,2025-06-13,2025-06-13,,"Dancing in Isolation","Dancing in Isolation",https://www.imdb.com/title/tt1579378/,Movie,2.4,50,2010,"Drama",22,,"Tonjia Atomic",,
15,tt0421528,2025-06-13,2025-06-13,,"20 centímetros","20 centímetros",https://www.imdb.com/title/tt0421528/,Movie,6.6,112,2005,"Comedy, Musical",1994,2005-06-10,"Ramón Salazar",,
16,tt1847731,2025-06-13,2025-06-13,,"Tomboy","Tomboy",https://www.imdb.com/title/tt1847731/,Movie,7.4,82,2011,"Drama",23061,2011-04-20,"Céline Sciamma",,
17,tt0482527,2025-06-13,2025-06-13,,"It's a Boy Girl Thing","It's a Boy Girl Thing",https://www.imdb.com/title/tt0482527/,Movie,6.2,95,2006,"Comedy, Fantasy, Romance",44147,2006-12-26,"Nick Hurran",,
18,tt0155711,2025-06-13,2025-06-13,,"Flawless","Flawless",https://www.imdb.com/title/tt0155711/,Movie,6.4,112,1999,"Crime, Drama",20906,1999-11-24,"Joel Schumacher",,
19,tt1462506,2025-06-13,2025-06-13,,"Identity Theft","Identity Theft",https://www.imdb.com/title/tt1462506/,Movie,7.0,66,2009,"Action, Comedy, Fantasy, Horror, Thriller",141,2009,"James A. Ward",,
20,tt0168449,2025-06-13,2025-06-13,,"The Adventures of Sebastian Cole","The Adventures of Sebastian Cole",https://www.imdb.com/title/tt0168449/,Movie,6.6,99,1998,"Comedy, Drama",2050,1999-01-23,"Tod Williams",,
21,tt2331107,2025-06-13,2025-06-13,,"The Coffee Shop","The Coffee Shop",https://www.imdb.com/title/tt2331107/,Movie,3.5,90,2014,"Comedy, Romance",121,2014,"A.J. Mattioli",,
22,tt1284579,2025-06-13,2025-06-13,,"Khastegi","Khastegi",https://www.imdb.com/title/tt1284579/,Movie,6.2,76,2008,"Drama",86,2008-09,"Bahman Motamedian",,
