Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0375233,2025-08-04,2025-08-04,,"Innocence","Innocence",https://www.imdb.com/title/tt0375233/,Movie,6.8,122,2004,"Drama, Mystery",6838,2005-01-12,"Lucile Hadzihalilovic",,
2,tt0314009,2025-08-04,2025-08-04,,"Durval Discos","Durval Discos",https://www.imdb.com/title/tt0314009/,Movie,7.1,96,2002,"Comedy, Drama, Music, Thriller",1413,2003-03-28,"Anna Muylaert",,
3,tt0848596,2025-08-04,2025-08-04,,"Mutum","Mutum",https://www.imdb.com/title/tt0848596/,Movie,7.0,95,2007,"Drama",597,2007-11-15,"Sandra Kogut",,
4,tt0977642,2025-08-04,2025-08-04,,"Chega de Saudade","Chega de Saudade",https://www.imdb.com/title/tt0977642/,Movie,7.2,95,2007,"Drama, Musical, Romance",537,2008-03-21,"Laís Bodanzky",,
5,tt0114651,2025-08-04,2025-08-04,,"Foreign Land","Terra Estrangeira",https://www.imdb.com/title/tt0114651/,Movie,7.4,110,1995,"Action, Crime, Drama, Romance, Thriller",2564,1995,"Walter Salles, Daniela Thomas",,
6,tt2199543,2025-08-04,2025-08-04,,"Futuro Beach","Praia do Futuro",https://www.imdb.com/title/tt2199543/,Movie,6.3,106,2014,"Drama, Romance",3550,2015-02-27,"Karim Aïnouz",9,2025-08-13
7,tt6390668,2025-08-04,2025-08-04,,"Invisible Life","A Vida Invisível de Eurídice Gusmão",https://www.imdb.com/title/tt6390668/,Movie,7.7,139,2019,"Drama",10505,2019-12-20,"Karim Aïnouz",,
8,tt0115999,2025-08-04,2025-08-04,,"A Starry Sky","Um Céu de Estrelas",https://www.imdb.com/title/tt0115999/,Movie,7.1,70,1996,"Drama",144,1996-09-08,"Tata Amaral",,
9,tt1312241,2025-08-04,2025-08-04,,"Palavra (en)cantada","Palavra (en)cantada",https://www.imdb.com/title/tt1312241/,Movie,7.9,86,2008,"Documentary",108,2009-03-13,"Helena Solberg",,
10,tt2650414,2025-08-04,2025-08-04,,"Love, Plastic and Noise","Amor, Plástico e Barulho",https://www.imdb.com/title/tt2650414/,Movie,6.5,85,2013,"Drama, Music, Musical, Romance",200,2015-01-22,"Renata Pinheiro",,
11,tt9031644,2025-08-04,2025-08-04,,"Luna","Luna",https://www.imdb.com/title/tt9031644/,Movie,6.4,90,2018,"Drama",19,2018-09-17,"Cris Azzi",,
12,tt2043879,2025-08-04,2025-08-04,,"Found Memories","Histórias que Só Existem Quando Lembradas",https://www.imdb.com/title/tt2043879/,Movie,7.2,98,2011,"Drama",967,2012-06-01,"Júlia Murat",,
