Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0013807,2025-06-11,2025-06-11,,"Lao gong zhi ai qing","Lao gong zhi ai qing",https://www.imdb.com/title/tt0013807/,Short,6.4,30,1922,"Short, Comedy, Romance",321,1922-03-08,"Shichuan Zhang",,
2,tt0121890,2025-06-11,2025-06-11,,"Xiao Wanyi","Xiao Wanyi",https://www.imdb.com/title/tt0121890/,Movie,7.0,114,1933,"Drama, War",242,1933-10-10,"Yu Sun",,
3,tt0209510,2025-06-11,2025-06-11,,"Twin Sisters","Zi mei hua",https://www.imdb.com/title/tt0209510/,Movie,6.1,82,1934,"Drama",113,1934-02-13,"Zhengqiu Zheng",,
4,tt0195256,2025-06-11,2025-06-11,,"The Goddess","Shen nu",https://www.imdb.com/title/tt0195256/,Movie,7.7,85,1934,"Drama",2712,1934,"Yonggang Wu",,
5,tt1002784,2025-06-11,2025-06-11,,"Yu guang qu","Yu guang qu",https://www.imdb.com/title/tt1002784/,Movie,6.4,56,1934,"Drama",151,1934-06-14,"Chusheng Cai",,
6,tt0121180,2025-06-11,2025-06-11,,"The Big Road","Dalu",https://www.imdb.com/title/tt0121180/,Movie,6.6,104,1935,"Comedy, Musical, Drama, War",349,2016-05-31,"Yu Sun",,
7,tt0183828,2025-06-11,2025-06-11,,"Street Angel","Ma lu tian shi",https://www.imdb.com/title/tt0183828/,Movie,7.0,91,1937,"Comedy, Drama",997,1937,"Muzhi Yuan",,
8,tt0206442,2025-06-11,2025-06-11,,"Song at Midnight","Ye ban ge sheng",https://www.imdb.com/title/tt0206442/,Movie,6.1,124,1937,"Horror, Romance",1032,1937-03-25,"Weibang Ma-Xu",,
9,tt0195260,2025-06-11,2025-06-11,,"Crossroads","Shi zi jie tou",https://www.imdb.com/title/tt0195260/,Movie,6.7,110,1937,"Comedy, Drama, Romance",193,1937-04-15,"Xiling Shen",,
10,tt0040009,2025-06-11,2025-06-11,,"The Spring River Flows East","Yi jiang chun shui xiang dong liu",https://www.imdb.com/title/tt0040009/,Movie,7.3,192,1947,"Drama, War",394,1947,"Chusheng Cai, Junli Zheng",,
11,tt0477890,2025-06-11,2025-06-11,,"Long Live the Missus!","Taitai Wansui",https://www.imdb.com/title/tt0477890/,Movie,7.1,112,1947,"Comedy, Drama, Romance",196,1947,"Hu Sang",,
12,tt0189219,2025-06-11,2025-06-11,,"Spring in a Small Town","Xiao cheng zhi chun",https://www.imdb.com/title/tt0189219/,Movie,7.3,98,1948,"Drama, Romance",3612,1948,"Mu Fei",,
13,tt0195402,2025-06-11,2025-06-11,,"Wanjia denghuo","Wanjia denghuo",https://www.imdb.com/title/tt0195402/,Movie,7.1,124,1948,"Drama",164,1948,"Fu Shen",,
14,tt0042054,2025-06-11,2025-06-11,,"Crows and Sparrows","Wuya yu maque",https://www.imdb.com/title/tt0042054/,Movie,7.2,113,1949,"Drama",351,1949-01-11,"Junli Zheng",,
15,tt0470084,2025-06-11,2025-06-11,,"The Winter of Three Hairs","San Mao liu lang ji",https://www.imdb.com/title/tt0470084/,Movie,6.6,74,1949,"Comedy, Drama",207,1949-12,"Gong Yan, Ming Zhao",,
16,tt0205345,2025-06-11,2025-06-11,,"Sorrows of the Forbidden City","Qing gong mi shi",https://www.imdb.com/title/tt0205345/,Movie,6.9,120,1948,"Drama, History",69,1948-11-11,"Shilin Zhu",,
17,tt0043139,2025-06-11,2025-06-11,,"Life of a Beijing Policeman","Wo zhe yi bei zi",https://www.imdb.com/title/tt0043139/,Movie,7.3,120,1950,"Drama, History",231,1950-10,"Hui Shi",,
18,tt0457630,2025-06-11,2025-06-11,,"The Life of Wu Xun","Wu Xun zhuan",https://www.imdb.com/title/tt0457630/,Movie,6.9,208,1951,"Drama",70,1951-02-21,"Yu Sun",,
19,tt0193622,2025-06-11,2025-06-11,,"In the Face of Demolition","Wei lou chun xiao",https://www.imdb.com/title/tt0193622/,Movie,6.6,130,1953,"Drama",73,1953-11-27,"Tit Lee",,
20,tt0049979,2025-06-11,2025-06-11,,"New Year Sacrifice","Zhu Fu",https://www.imdb.com/title/tt0049979/,Movie,6.8,100,1956,"Drama",189,1956-10-19,"Hu Sang",,
21,tt0211498,2025-06-11,2025-06-11,,"Mambo Girl","Man Bo nu lang",https://www.imdb.com/title/tt0211498/,Movie,6.1,91,1957,"Drama, Romance",125,1957-03-06,"Wen Yi",,
22,tt0205116,2025-06-11,2025-06-11,,"Hao men ye yan","Hao men ye yan",https://www.imdb.com/title/tt0205116/,Movie,6.1,,1959,"Comedy",9,1959-07-15,"Chi-Hung Law, Sun-Fung Lee, Tit Lee, Wui Ng",,
23,tt0053010,2025-06-11,2025-06-11,,"Lin Zexu","Lin Zexu",https://www.imdb.com/title/tt0053010/,Movie,6.3,102,1959,"Drama, History, War",133,1959-09-25,"Fan Cen, Junli Zheng",,
24,tt0470423,2025-06-11,2025-06-11,,"The Lin Family Shop","Lin jia pu zi",https://www.imdb.com/title/tt0470423/,Movie,7.2,85,1959,"Drama",170,1959-10-06,"Choui Khoua",,
25,tt0199156,2025-06-11,2025-06-11,,"The Wild, Wild Rose","Ye mei gui zhi lian",https://www.imdb.com/title/tt0199156/,Movie,7.1,128,1960,"Musical",217,1960-10-04,"Tian-Lin Wang",,
26,tt0053878,2025-06-11,2025-06-11,,"The Great Devotion","Ke lian tian xia fu mu xin",https://www.imdb.com/title/tt0053878/,Movie,7.2,98,1960,"Drama",44,1960-08-04,"Yuen Chor",,
27,tt0054034,2025-06-11,2025-06-11,,"Third Sister Liu","Liu san jie",https://www.imdb.com/title/tt0054034/,Movie,7.4,117,1962,"Musical",220,1962-07-12,"Li Su",,
