Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0211915,2025-06-11,2025-06-11,,"Amélie","Le fabuleux destin d'Amélie Poulain",https://www.imdb.com/title/tt0211915/,Movie,8.3,122,2001,"Comedy, Romance",826661,2002-02-08,"Jean-Pierre Jeunet",9,2020-07-13
2,tt0092593,2025-06-11,2025-06-11,,"Au Revoir les Enfants","Au revoir les enfants",https://www.imdb.com/title/tt0092593/,Movie,8.0,104,1987,"Drama, War",37855,1988-02-12,"Louis Malle",10,2020-07-27
3,tt0061395,2025-06-11,2025-06-11,,"Belle de Jour","Belle de jour",https://www.imdb.com/title/tt0061395/,Movie,7.6,100,1967,"Drama, Romance",52321,1968-04-10,"Luis Buñuel",8,2025-09-04
4,tt0053472,2025-06-11,2025-06-11,,"Breathless","À bout de souffle",https://www.imdb.com/title/tt0053472/,Movie,7.7,90,1960,"Crime, Drama",92191,1961-02-07,"Jean-Luc Godard",,
5,tt0387898,2025-06-11,2025-06-11,,"Caché","Caché",https://www.imdb.com/title/tt0387898/,Movie,7.3,117,2005,"Drama, Mystery, Thriller",88874,2006-02-17,"Michael Haneke",,
6,tt0099334,2025-06-11,2025-06-11,,"Cyrano de Bergerac","Cyrano de Bergerac",https://www.imdb.com/title/tt0099334/,Movie,7.5,137,1990,"Comedy, Drama, History, Romance",27087,1990-12-01,"Jean-Paul Rappeneau",,
7,tt0070460,2025-06-11,2025-06-11,,"Day for Night","La nuit américaine",https://www.imdb.com/title/tt0070460/,Movie,8.0,116,1973,"Comedy, Drama, Romance",25885,1973-09-07,"François Truffaut",8,2025-08-16
8,tt0068361,2025-06-11,2025-06-11,,"The Discreet Charm of the Bourgeoisie","Le charme discret de la bourgeoisie",https://www.imdb.com/title/tt0068361/,Movie,7.7,102,1972,"Comedy, Drama, Fantasy",49615,1972-10-22,"Luis Buñuel",7,2020-08-21
9,tt0053198,2025-06-11,2025-06-11,,"The 400 Blows","Les quatre cents coups",https://www.imdb.com/title/tt0053198/,Movie,8.0,99,1959,"Crime, Drama",132543,1959-11-16,"François Truffaut",10,2020-08-18
10,tt0028950,2025-06-11,2025-06-11,,"La grande illusion","La grande illusion",https://www.imdb.com/title/tt0028950/,Movie,8.1,113,1937,"Drama, War",40510,1938-09-12,"Jean Renoir",,
