Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0169102,2025-06-11,2025-06-11,,"Lagaan: Once Upon a Time in India","Lagaan: Once Upon a Time in India",https://www.imdb.com/title/tt0169102/,Movie,8.1,224,2001,"Drama, Musical, Sport",126241,2001-06-15,"Ashutosh Gowariker",,
2,tt1954470,2025-06-11,2025-06-11,"The Asian Godfather","Gangs of Wasseypur","Gangs of Wasseypur",https://www.imdb.com/title/tt1954470/,Movie,8.2,321,2012,"Action, Comedy, Crime, Drama, Thriller",110426,2012-06-22,"Anurag Kashyap",,
3,tt0405508,2025-06-11,2025-06-11,,"Rang De Basanti","Rang De Basanti",https://www.imdb.com/title/tt0405508/,Movie,8.1,167,2006,"Comedy, Crime, Drama",125246,2006-01-26,"Rakeysh Omprakash Mehra",,
4,tt0054098,2025-06-11,2025-06-11,,"Mughal-E-Azam","Mughal-E-Azam",https://www.imdb.com/title/tt0054098/,Movie,8.1,197,1960,"Drama, Romance, War",9379,1960-08-05,"K. Asif",,
5,tt0079938,2025-06-11,2025-06-11,,"The Touch","Sparsh",https://www.imdb.com/title/tt0079938/,Movie,7.9,145,1980,"Drama, Romance",1049,1980-01-30,"Sai Paranjpye",,
6,tt0215911,2025-06-11,2025-06-11,,"Koshish","Koshish",https://www.imdb.com/title/tt0215911/,Movie,8.4,125,1972,"Drama",1845,1972-11-27,"Gulzar",,
7,tt1187043,2025-06-11,2025-06-11,,"3 Idiots","3 Idiots",https://www.imdb.com/title/tt1187043/,Movie,8.4,170,2009,"Comedy, Drama",468478,2009-12-25,"Rajkumar Hirani",3,2020-09-26
8,tt10280296,2025-06-11,2025-06-11,,"Sardar Udham","Sardar Udham",https://www.imdb.com/title/tt10280296/,Movie,8.3,164,2021,"Crime, Drama, History",49799,2021-10-16,"Shoojit Sircar",9,2025-08-05
9,tt0367110,2025-06-11,2025-06-11,,"Swades","Swades: We, the People",https://www.imdb.com/title/tt0367110/,Movie,8.2,189,2004,"Drama, Musical",103766,2004-12-17,"Ashutosh Gowariker",7,2025-08-05
10,tt0986264,2025-06-11,2025-06-11,,"Like Stars on Earth","Taare Zameen Par",https://www.imdb.com/title/tt0986264/,Movie,8.3,162,2007,"Drama, Family",225005,2007-12-21,"Aamir Khan",,
11,tt0050870,2025-06-11,2025-06-11,,"Thirst","Pyaasa",https://www.imdb.com/title/tt0050870/,Movie,8.3,146,1957,"Drama, Musical, Romance",7974,1957-02-19,"Guru Dutt",,
12,tt10295212,2025-06-11,2025-06-11,,"Shershaah","Shershaah",https://www.imdb.com/title/tt10295212/,Movie,8.3,135,2021,"Action, Biography, Drama, War",133902,2021-08-12,"Vishnuvardhan",,
13,tt0066763,2025-06-11,2025-06-11,,"Anand","Anand",https://www.imdb.com/title/tt0066763/,Movie,8.1,122,1971,"Drama, Musical",36878,1971-03-12,"Hrishikesh Mukherjee",,
14,tt1280558,2025-06-11,2025-06-11,"The power of a Common man.","A Wednesday","A Wednesday",https://www.imdb.com/title/tt1280558/,Movie,8.1,104,2008,"Action, Crime, Drama, Mystery, Thriller",84880,2008-09-05,"Neeraj Pandey",,
15,tt0076696,2025-06-11,2025-06-11,,"The Chess Players","Shatranj Ke Khilari",https://www.imdb.com/title/tt0076696/,Movie,7.5,129,1977,"Comedy, Drama, History",4327,1977-10-03,"Satyajit Ray",,
16,tt0059246,2025-06-11,2025-06-11,,"Guide","Guide",https://www.imdb.com/title/tt0059246/,Movie,8.3,183,1965,"Drama, Romance",10152,1965-02-06,"Vijay Anand",,
17,tt2356180,2025-06-11,2025-06-11,,"Bhaag Milkha Bhaag","Bhaag Milkha Bhaag",https://www.imdb.com/title/tt2356180/,Movie,8.2,186,2013,"Biography, Drama, Sport",76264,2013-07-12,"Rakeysh Omprakash Mehra",,
18,tt5074352,2025-06-11,2025-06-11,,"Dangal","Dangal",https://www.imdb.com/title/tt5074352/,Movie,8.3,161,2016,"Action, Biography, Drama, Sport",232675,2016-12-21,"Nitesh Tiwari",,
19,tt1639426,2025-06-11,2025-06-11,,"Udaan","Udaan",https://www.imdb.com/title/tt1639426/,Movie,8.1,134,2010,"Drama",49068,2010-07-16,"Vikramaditya Motwane",,
20,tt0085743,2025-06-11,2025-06-11,,"Jaane Bhi Do Yaaro","Jaane Bhi Do Yaaro",https://www.imdb.com/title/tt0085743/,Movie,8.3,132,1983,"Comedy, Crime, Drama",16107,1983-08-12,"Kundan Shah",,
21,tt0400234,2025-06-11,2025-06-11,,"Black Friday","Black Friday",https://www.imdb.com/title/tt0400234/,Movie,8.4,143,2004,"Action, Crime, Drama, History",23820,2007-02-09,"Anurag Kashyap",,
22,tt8108198,2025-06-11,2025-06-11,,"Andhadhun","Andhadhun",https://www.imdb.com/title/tt8108198/,Movie,8.2,139,2018,"Crime, Mystery, Thriller",111466,2018-10-05,"Sriram Raghavan",,
23,tt15097216,2025-06-11,2025-06-11,,"Jai Bhim","Jai Bhim",https://www.imdb.com/title/tt15097216/,Movie,8.6,164,2021,"Crime, Drama",229585,2021-11-02,"T.J. Gnanavel",9,2024-03-22
24,tt0045693,2025-06-11,2025-06-11,,"Do Bigha Zamin","Do Bigha Zamin",https://www.imdb.com/title/tt0045693/,Movie,8.3,131,1953,"Drama",2449,1953-07-24,"Bimal Roy",,
25,tt1562872,2025-06-11,2025-06-11,,"Zindagi Na Milegi Dobara","Zindagi Na Milegi Dobara",https://www.imdb.com/title/tt1562872/,Movie,8.2,155,2011,"Comedy, Drama, Musical, Romance",93050,2011-07-15,"Zoya Akhtar",,
26,tt0157571,2025-06-11,2025-06-11,,"Ek Ruka Hua Faisla","Ek Ruka Hua Faisla",https://www.imdb.com/title/tt0157571/,TV Movie,8.3,127,1986,"Crime, Drama, Thriller",2180,1986-07-23,"Basu Chatterjee",,
27,tt3390572,2025-06-11,2025-06-11,,"Haider","Haider",https://www.imdb.com/title/tt3390572/,Movie,8.0,160,2014,"Action, Crime, Drama, Thriller",59962,2014-10-02,"Vishal Bhardwaj",,
28,tt2181831,2025-06-11,2025-06-11,,"Shahid","Shahid",https://www.imdb.com/title/tt2181831/,Movie,8.2,129,2012,"Biography, Drama",19957,2013-10-18,"Hansal Mehta",,
29,tt1620933,2025-06-11,2025-06-11,,"Paan Singh Tomar","Paan Singh Tomar",https://www.imdb.com/title/tt1620933/,Movie,8.2,135,2012,"Action, Biography, Crime, Sport, Thriller",39475,2012-03-02,"Tigmanshu Dhulia",,
30,tt0292490,2025-06-11,2025-06-11,,"Dil Chahta Hai","Dil Chahta Hai",https://www.imdb.com/title/tt0292490/,Movie,8.0,183,2001,"Comedy, Drama, Romance",78719,2001-08-10,"Farhan Akhtar",,
31,tt2377938,2025-06-11,2025-06-11,,"Special 26","Special Chabbis",https://www.imdb.com/title/tt2377938/,Movie,8.0,144,2013,"Crime, Drama, History, Thriller",61501,2013-02-08,"Neeraj Pandey",,
32,tt3322420,2025-06-11,2025-06-11,,"Queen","Queen",https://www.imdb.com/title/tt3322420/,Movie,8.1,146,2013,"Adventure, Comedy, Drama",70451,2014-03-07,"Vikas Bahl",,
33,tt4430212,2025-06-11,2025-06-11,,"Drishyam","Drishyam",https://www.imdb.com/title/tt4430212/,Movie,8.2,163,2015,"Crime, Drama, Mystery, Thriller",104197,2015-07-31,"Nishikant Kamat",,
34,tt2082197,2025-06-11,2025-06-11,,"Barfi!","Barfi!",https://www.imdb.com/title/tt2082197/,Movie,8.1,151,2012,"Comedy, Drama, Romance",91624,2012-09-14,"Anurag Basu",,
35,tt0499375,2025-06-11,2025-06-11,,"Guru","Guru",https://www.imdb.com/title/tt0499375/,Movie,7.7,166,2007,"Drama",25902,2007-01-12,"Mani Ratnam",,
36,tt0072777,2025-06-11,2025-06-11,,"Chhoti Si Baat","Chhoti Si Baat",https://www.imdb.com/title/tt0072777/,Movie,8.3,123,1976,"Comedy, Romance",4860,1976-01-09,"Basu Chatterjee",,
37,tt0871510,2025-06-11,2025-06-11,,"Chak De! India","Chak De! India",https://www.imdb.com/title/tt0871510/,Movie,8.1,153,2007,"Drama, Family, Sport",89062,2007-08-09,"Shimit Amin",,
38,tt0200087,2025-06-11,2025-06-11,,"Sarfarosh","Sarfarosh",https://www.imdb.com/title/tt0200087/,Movie,8.1,174,1999,"Action, Crime, Drama, Thriller",28314,1999-04-30,"John Mathew Matthan",,
39,tt2338151,2025-06-11,2025-06-11,,"PK","PK",https://www.imdb.com/title/tt2338151/,Movie,8.1,153,2014,"Comedy, Drama, Musical, Sci-Fi",215459,2014-12-19,"Rajkumar Hirani",,
40,tt0345177,2025-06-11,2025-06-11,,"Ek Doctor Ki Maut","Ek Doctor Ki Maut",https://www.imdb.com/title/tt0345177/,Movie,8.3,122,1990,"Biography, Drama",1704,1990,"Tapan Sinha",,
41,tt1821480,2025-06-11,2025-06-11,,"Kahaani","Kahaani",https://www.imdb.com/title/tt1821480/,Movie,8.1,122,2012,"Mystery, Thriller",68638,2012-03-09,"Sujoy Ghosh",,
42,tt0096028,2025-06-11,2025-06-11,,"Salaam Bombay!","Salaam Bombay!",https://www.imdb.com/title/tt0096028/,Movie,7.9,113,1988,"Crime, Drama",10747,1988-10-07,"Mira Nair",,
43,tt0375611,2025-06-11,2025-06-11,,"Black","Black",https://www.imdb.com/title/tt0375611/,Movie,8.1,122,2005,"Drama",37150,2005-02-04,"Sanjay Leela Bhansali",,
44,tt0043306,2025-06-11,2025-06-11,,"Awaara","Awaara",https://www.imdb.com/title/tt0043306/,Movie,7.8,168,1951,"Drama, Musical, Romance",4823,1956-04-07,"Raj Kapoor",,
45,tt0488414,2025-06-11,2025-06-11,,"Omkara","Omkara",https://www.imdb.com/title/tt0488414/,Movie,8.0,155,2006,"Action, Crime, Drama, Thriller",23365,2006-07-28,"Vishal Bhardwaj",,
46,tt0083578,2025-06-11,2025-06-11,,"Arth","Arth",https://www.imdb.com/title/tt0083578/,Movie,7.8,138,1982,"Drama, Romance",1671,1982-12-03,"Mahesh Bhatt",,
47,tt3863552,2025-06-11,2025-06-11,,"Bajrangi Bhaijaan","Bajrangi Bhaijaan",https://www.imdb.com/title/tt3863552/,Movie,8.1,163,2015,"Action, Adventure, Comedy, Drama",107379,2015-07-17,"Kabir Khan",,
48,tt1327035,2025-06-11,2025-06-11,,"Dev.D","Dev.D",https://www.imdb.com/title/tt1327035/,Movie,7.9,144,2009,"Comedy, Drama, Romance",33604,2009-02-06,"Anurag Kashyap",,
49,tt0050188,2025-06-11,2025-06-11,,"Mother India","Mother India",https://www.imdb.com/title/tt0050188/,Movie,7.8,172,1957,"Action, Comedy, Drama, Family, Musical",10262,1957-10-25,"Mehboob Khan",9,2024-09-28
50,tt1068956,2025-06-11,2025-06-11,,"In the Name of God","Khuda Kay Liye",https://www.imdb.com/title/tt1068956/,Movie,8.3,168,2007,"Drama",9711,2007-07-20,"Shoaib Mansoor",,
51,tt0052954,2025-06-11,2025-06-11,,"Paper Flowers","Kaagaz Ke Phool",https://www.imdb.com/title/tt0052954/,Movie,7.8,148,1959,"Romance",3017,1959-01-02,"Guru Dutt",,
52,tt0105271,2025-06-11,2025-06-11,,"Roja","Roja",https://www.imdb.com/title/tt0105271/,Movie,8.1,137,1992,"Drama, Musical, Romance, Thriller",14543,1992-08-15,"Mani Ratnam",,
53,tt1093370,2025-06-11,2025-06-11,,"Jab We Met","Jab We Met",https://www.imdb.com/title/tt1093370/,Movie,7.9,138,2007,"Comedy, Drama, Romance",63694,2007-10-26,"Imtiaz Ali",,
54,tt3848892,2025-06-11,2025-06-11,,"Baby","Baby",https://www.imdb.com/title/tt3848892/,Movie,7.9,159,2015,"Action, Thriller",62412,2015-01-23,"Neeraj Pandey",,
55,tt4387040,2025-06-11,2025-06-11,,"Airlift","Airlift",https://www.imdb.com/title/tt4387040/,Movie,7.9,130,2016,"Drama, History",60651,2016-01-22,"Raja Menon",,
56,tt0104561,2025-06-11,2025-06-11,,"Jo Jeeta Wohi Sikandar","Jo Jeeta Wohi Sikandar",https://www.imdb.com/title/tt0104561/,Movie,8.1,174,1992,"Comedy, Drama, Romance, Sport",26196,1992-05-22,"Mansoor Khan",,
57,tt1266583,2025-06-11,2025-06-11,,"Mumbai Meri Jaan","Mumbai Meri Jaan",https://www.imdb.com/title/tt1266583/,Movie,7.7,134,2008,"Drama",6707,2008-08-22,"Nishikant Kamat",,
58,tt3449292,2025-06-11,2025-06-11,,"Manjhi: The Mountain Man","Manjhi: The Mountain Man",https://www.imdb.com/title/tt3449292/,Movie,8.0,120,2015,"Biography, Drama",20869,2015-08-21,"Ketan Mehta",,
59,tt0079221,2025-06-11,2025-06-11,,"Gol Maal","Gol Maal",https://www.imdb.com/title/tt0079221/,Movie,8.5,120,1979,"Comedy, Romance",21703,1979-04-20,"Hrishikesh Mukherjee",,
60,tt0347304,2025-06-11,2025-06-11,,"Kal Ho Naa Ho","Kal Ho Naa Ho",https://www.imdb.com/title/tt0347304/,Movie,7.9,186,2003,"Comedy, Drama, Musical, Romance",80116,2003-11-28,"Nikkhil Advani",,
61,tt1230165,2025-06-11,2025-06-11,,"Rock On!!","Rock On!!",https://www.imdb.com/title/tt1230165/,Movie,7.7,145,2008,"Drama, Music",23308,2008-08-29,"Abhishek Kapoor",,
62,tt0112553,2025-06-11,2025-06-11,,"Bombay","Bombay",https://www.imdb.com/title/tt0112553/,Movie,8.1,130,1995,"Drama, Musical, Romance",14905,1995-03-10,"Mani Ratnam",,
63,tt0102636,2025-06-11,2025-06-11,,"Parinda","Parinda",https://www.imdb.com/title/tt0102636/,Movie,7.8,154,1989,"Action, Crime, Drama, Romance",4030,1989-11-03,"Vidhu Vinod Chopra",,
64,tt0088031,2025-06-11,2025-06-11,,"Saaransh","Saaransh",https://www.imdb.com/title/tt0088031/,Movie,8.1,137,1984,"Drama",2104,1984-05-25,"Mahesh Bhatt",,
65,tt3735246,2025-06-11,2025-06-11,,"Bajirao Mastani","Bajirao Mastani",https://www.imdb.com/title/tt3735246/,Movie,7.3,158,2015,"Action, Drama, History, Romance, War",40995,2015-12-18,"Sanjay Leela Bhansali",,
66,tt1188996,2025-06-11,2025-06-11,,"My Name Is Khan","My Name Is Khan",https://www.imdb.com/title/tt1188996/,Movie,7.9,165,2010,"Drama, Romance",121247,2010-02-12,"Karan Johar",,
67,tt0195231,2025-06-11,2025-06-11,,"Satya","Satya",https://www.imdb.com/title/tt0195231/,Movie,8.2,170,1998,"Action, Crime, Drama, Thriller",18002,1998-07-03,"Ram Gopal Varma",,
68,tt0050322,2025-06-11,2025-06-11,,"Do Ankhen Barah Haath","Do Ankhen Barah Haath",https://www.imdb.com/title/tt0050322/,Movie,8.4,143,1957,"Comedy, Crime, Drama, Thriller",1957,1957,"Shantaram Rajaram Vankudre",,
69,tt0920464,2025-06-11,2025-06-11,,"Manorama: Six Feet Under","Manorama: Six Feet Under",https://www.imdb.com/title/tt0920464/,Movie,7.5,137,2007,"Crime, Drama, Mystery, Thriller",9333,2007-09-21,"Navdeep Singh",,
70,tt0072783,2025-06-11,2025-06-11,,"Chupke Chupke","Chupke Chupke",https://www.imdb.com/title/tt0072783/,Movie,8.3,146,1975,"Comedy, Drama, Romance",13715,1975-04-11,"Hrishikesh Mukherjee",,
71,tt0319736,2025-06-11,2025-06-11,,"The Legend of Bhagat Singh","The Legend of Bhagat Singh",https://www.imdb.com/title/tt0319736/,Movie,8.1,155,2002,"Biography, Drama, History",17946,2002-06-07,"Rajkumar Santoshi",,
72,tt0164538,2025-06-11,2025-06-11,,"Dil Se..","Dil Se..",https://www.imdb.com/title/tt0164538/,Movie,7.5,163,1998,"Drama, Romance",32892,1998-08-21,"Mani Ratnam",,
73,tt0077451,2025-06-11,2025-06-11,,"Don","Don",https://www.imdb.com/title/tt0077451/,Movie,7.7,166,1978,"Action, Crime, Thriller",13299,1978-05-12,"Chandra Barot",,
74,tt2317337,2025-06-11,2025-06-11,,"Vicky Donor","Vicky Donor",https://www.imdb.com/title/tt2317337/,Movie,7.7,126,2012,"Comedy, Romance",46977,2012-04-20,"Shoojit Sircar",,
75,tt0066070,2025-06-11,2025-06-11,,"My Name Is Joker","Mera Naam Joker",https://www.imdb.com/title/tt0066070/,Movie,7.9,224,1970,"Comedy, Drama, Musical",5779,1970-12-18,"Raj Kapoor",,
76,tt0085913,2025-06-11,2025-06-11,,"Masoom","Masoom",https://www.imdb.com/title/tt0085913/,Movie,8.3,165,1983,"Drama, Family",4650,1983-10-22,"Shekhar Kapur",,
77,tt0112870,2025-06-11,2025-06-11,,"Dilwale Dulhania Le Jayenge","Dilwale Dulhania Le Jayenge",https://www.imdb.com/title/tt0112870/,Movie,8.0,181,1995,"Drama, Romance",82316,1995-10-20,"Aditya Chopra",,
78,tt5571734,2025-06-11,2025-06-11,,"Pink","Pink",https://www.imdb.com/title/tt5571734/,Movie,8.0,136,2016,"Crime, Drama, Thriller",51047,2016-09-16,"Aniruddha Roy Chowdhury",,
79,tt0071145,2025-06-11,2025-06-11,,"Ankur","Ankur",https://www.imdb.com/title/tt0071145/,Movie,7.7,131,1974,"Drama",1807,2019-01-02,"Shyam Benegal",,
80,tt5286444,2025-06-11,2025-06-11,,"Neerja","Neerja",https://www.imdb.com/title/tt5286444/,Movie,7.6,122,2016,"Biography, Drama, Thriller",24693,2016-02-19,"Ram Madhvani",,
81,tt0379370,2025-06-11,2025-06-11,,"Maqbool","Maqbool",https://www.imdb.com/title/tt0379370/,Movie,8.0,132,2003,"Crime, Drama, Thriller",13833,2004-01-30,"Vishal Bhardwaj",,
82,tt0073034,2025-06-11,2025-06-11,,"Garm Hava","Garm Hava",https://www.imdb.com/title/tt0073034/,Movie,8.0,146,1974,"Drama",905,1975-11,"M.S. Sathyu",,
83,tt2350496,2025-06-11,2025-06-11,,"The Lunchbox","The Lunchbox",https://www.imdb.com/title/tt2350496/,Movie,7.8,104,2013,"Drama, Romance",65274,2013-09-20,"Ritesh Batra",9,2024-12-28
84,tt0240200,2025-06-11,2025-06-11,,"Water","Water",https://www.imdb.com/title/tt0240200/,Movie,7.6,117,2005,"Drama",15679,2006-05-26,"Deepa Mehta",,
85,tt5946128,2025-06-11,2025-06-11,,"Dear Zindagi","Dear Zindagi",https://www.imdb.com/title/tt5946128/,Movie,7.4,151,2016,"Drama, Romance",46273,2016-11-23,"Gauri Shinde",,
86,tt0072860,2025-06-11,2025-06-11,,"Deewaar","Deewaar",https://www.imdb.com/title/tt0072860/,Movie,8.0,174,1975,"Action, Crime, Drama, Thriller",12664,1979-05,"Yash Chopra",,
87,tt1077248,2025-06-11,2025-06-11,,"Johnny Gaddaar","Johnny Gaddaar",https://www.imdb.com/title/tt1077248/,Movie,7.8,135,2007,"Crime, Drama, Thriller",13855,2007-09-28,"Sriram Raghavan",,
88,tt0420332,2025-06-11,2025-06-11,,"Veer-Zaara","Veer-Zaara",https://www.imdb.com/title/tt0420332/,Movie,7.8,192,2004,"Drama, Family, Musical, Romance",63789,2004-11-12,"Yash Chopra",7,2025-09-04
89,tt4434004,2025-06-11,2025-06-11,,"Udta Punjab","Udta Punjab",https://www.imdb.com/title/tt4434004/,Movie,7.7,148,2016,"Crime, Drama",33614,2016-06-17,"Abhishek Chaubey",,
90,tt0347779,2025-06-11,2025-06-11,,"Pinjar","Pinjar: Beyond Boundaries...",https://www.imdb.com/title/tt0347779/,Movie,7.9,188,2003,"Drama",3103,2003-10-24,"Chandra Prakash Dwivedi",,
91,tt0082162,2025-06-11,2025-06-11,,"Chashme Buddoor","Chashme Buddoor",https://www.imdb.com/title/tt0082162/,Movie,7.9,145,1981,"Comedy, Family, Romance",2804,1981-05-08,"Sai Paranjpye",,
