Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0102369,2025-06-11,2025-06-11,,"Mother","Madar",https://www.imdb.com/title/tt0102369/,Movie,8.5,108,1990,"Drama",5360,1990-02-01,"Ali Hatami",,
2,tt0416960,2025-06-11,2025-06-11,,"The Lizard","Marmoulak",https://www.imdb.com/title/tt0416960/,Movie,8.4,115,2004,"Comedy, Drama",24017,2005-02-24,"Kamal Tabrizi",,
3,tt0078299,2025-06-11,2025-06-11,,"Desiderium","Sooteh-Delan",https://www.imdb.com/title/tt0078299/,Movie,8.2,111,1978,"Drama, Romance",2299,1978,"Ali Hatami",,
4,tt1832382,2025-06-11,2025-06-11,,"A Separation","Jodaeiye Nader az Simin",https://www.imdb.com/title/tt1832382/,Movie,8.3,123,2011,"Drama",273001,2011-03-16,"Asghar Farhadi",10,2025-05-04
5,tt0118849,2025-06-11,2025-06-11,,"Children of Heaven","Bacheha-ye aseman",https://www.imdb.com/title/tt0118849/,Movie,8.2,89,1997,"Drama, Family, Sport",87665,1999-01-22,"Majid Majidi",,
6,tt0100234,2025-06-11,2025-06-11,,"Close-Up","Nema-ye nazdik",https://www.imdb.com/title/tt0100234/,Movie,8.2,98,1990,"Biography, Crime, Drama",25769,1991-10-30,"Abbas Kiarostami",,
7,tt0191043,2025-06-11,2025-06-11,,"The Color of Paradise","Rang-e khoda",https://www.imdb.com/title/tt0191043/,Movie,8.1,90,1999,"Drama, Family",19065,1999-02-08,"Majid Majidi",,
8,tt0064356,2025-06-11,2025-06-11,,"The Cow","Gaav",https://www.imdb.com/title/tt0064356/,Movie,7.8,104,1969,"Drama",8510,1974-12,"Dariush Mehrjui",,
9,tt0093342,2025-06-11,2025-06-11,,"Where Is the Friend's House?","Khane-ye doust kodjast?",https://www.imdb.com/title/tt0093342/,Movie,8.1,83,1987,"Adventure, Drama, Family",21631,1987,"Abbas Kiarostami",9,2025-06-09
10,tt0096894,2025-06-11,2025-06-11,,"Bashu, the Little Stranger","Bashu, gharibeye koochak",https://www.imdb.com/title/tt0096894/,Movie,8.0,120,1989,"Drama, War",3499,1991-04-03,"Bahram Beyzaie",,
11,tt0099729,2025-06-11,2025-06-11,,"Hamoun","Hamoun",https://www.imdb.com/title/tt0099729/,Movie,7.9,120,1990,"Drama",7605,1991-04,"Dariush Mehrjui",,
12,tt5460658,2025-06-11,2025-06-11,,"Life and a Day","Abad va yek rooz",https://www.imdb.com/title/tt5460658/,Movie,8.1,112,2016,"Drama",19134,2016-03-16,"Saeed Roustayi",,
13,tt0424227,2025-06-11,2025-06-11,,"Turtles Can Fly","Lakposhtha parvaz mikonand",https://www.imdb.com/title/tt0424227/,Movie,8.0,98,2004,"Drama, War",21873,2005-02-23,"Bahman Ghobadi",,
14,tt0780061,2025-06-11,2025-06-11,,"Redhat and Cousin","Kolah Ghermezi and Pesar Khale",https://www.imdb.com/title/tt0780061/,Movie,8.1,92,1995,"Adventure, Comedy, Family, Musical",5133,1995,"Iraj Tahmasb",,
15,tt1360860,2025-06-11,2025-06-11,,"About Elly","Darbareye Elly",https://www.imdb.com/title/tt1360860/,Movie,7.9,119,2009,"Drama, Mystery",59974,2009-06-06,"Asghar Farhadi",9,2025-09-09
16,tt0177511,2025-06-11,2025-06-11,,"The Glass Agency","Ajans-E Shisheh-I",https://www.imdb.com/title/tt0177511/,Movie,7.7,114,1998,"Action, Drama, Romance, Thriller, War",7561,1998,"Ebrahim Hatamikia",,
17,tt0997246,2025-06-11,2025-06-11,,"The Song of Sparrows","Avaze gonjeshk-ha",https://www.imdb.com/title/tt0997246/,Movie,7.9,96,2008,"Drama, Family",11679,2008-10-01,"Majid Majidi",,
18,tt0074565,2025-06-11,2025-06-11,,"The Deer","Gavaznha",https://www.imdb.com/title/tt0074565/,Movie,7.8,120,1974,"Drama, Family",3154,2021,"Masud Kimiai",,
19,tt1874522,2025-06-11,2025-06-11,,"Here Without Me","Inja bedoone man",https://www.imdb.com/title/tt1874522/,Movie,7.7,100,2011,"Drama",4834,2011-07-13,"Bahram Tavakoli",,
20,tt0117214,2025-06-11,2025-06-11,,"A Moment of Innocence","Noon o goldoon",https://www.imdb.com/title/tt0117214/,Movie,7.7,78,1996,"Comedy, Drama",4860,1997-04-09,"Mohsen Makhmalbaf",,
21,tt0105888,2025-06-11,2025-06-11,,"And Life Goes On","Zendegi va digar hich",https://www.imdb.com/title/tt0105888/,Movie,7.9,95,1992,"Adventure, Drama",8610,1992-10-21,"Abbas Kiarostami",,
22,tt9817070,2025-06-11,2025-06-11,,"Law of Tehran","Metri shesh va nim",https://www.imdb.com/title/tt9817070/,Movie,7.7,131,2019,"Action, Crime, Drama, Thriller",20489,2023-04-11,"Saeed Roustayi",,
23,tt0423166,2025-06-11,2025-06-11,,"White Nights","Shabhaye roshan",https://www.imdb.com/title/tt0423166/,Movie,7.6,103,2003,"Drama, Romance",1724,2003,"Farzad Motamen",,
24,tt0845439,2025-06-11,2025-06-11,,"Fireworks Wednesday","Chaharshanbe-soori",https://www.imdb.com/title/tt0845439/,Movie,7.6,102,2006,"Drama, Mystery, Romance, Thriller",14381,2016-03-16,"Asghar Farhadi",,
25,tt0278006,2025-06-11,2025-06-11,,"Killing Mad Dogs","Sagkoshi",https://www.imdb.com/title/tt0278006/,Movie,7.6,135,2001,"Drama, Mystery, Thriller",3148,2001-12-16,"Bahram Beyzaie",,
26,tt0099492,2025-06-11,2025-06-11,,"The Tenants","Ejareh-Nesheenha",https://www.imdb.com/title/tt0099492/,Movie,7.7,109,1987,"Comedy, Drama",2999,1987,"Dariush Mehrjui",,
27,tt0233841,2025-06-11,2025-06-11,,"Baran","Baran",https://www.imdb.com/title/tt0233841/,Movie,7.8,94,2001,"Drama, Romance",9303,2001-10-10,"Majid Majidi",,
28,tt5186714,2025-06-11,2025-06-11,,"The Salesman","Forooshande",https://www.imdb.com/title/tt5186714/,Movie,7.7,124,2016,"Drama, Thriller",67650,2016-08-31,"Asghar Farhadi",10,2025-05-04
29,tt0072248,2025-06-11,2025-06-11,,"Still Life","Tabiate bijan",https://www.imdb.com/title/tt0072248/,Movie,7.7,93,1974,"Drama",1481,1978-12-07,"Sohrab Shahid Saless",,
30,tt2404461,2025-06-11,2025-06-11,,"The Past","Le passé",https://www.imdb.com/title/tt2404461/,Movie,7.7,130,2013,"Drama, Mystery",52067,2013-05-17,"Asghar Farhadi",,
31,tt0424434,2025-06-11,2025-06-11,,"Beautiful City","Shahr-e ziba",https://www.imdb.com/title/tt0424434/,Movie,7.6,98,2004,"Drama, Romance",6667,2004-06-09,"Asghar Farhadi",,
32,tt0116852,2025-06-11,2025-06-11,,"Leily Is with Me","Leily Ba Man Ast",https://www.imdb.com/title/tt0116852/,Movie,7.5,95,1996,"Adventure, Comedy, Drama, Romance, War",5316,1996,"Kamal Tabrizi",,
33,tt0120265,2025-06-11,2025-06-11,,"Taste of Cherry","Ta'm e guilass",https://www.imdb.com/title/tt0120265/,Movie,7.7,95,1997,"Drama",41414,1997-11-26,"Abbas Kiarostami",8,2024-09-10
34,tt0112445,2025-06-11,2025-06-11,,"The White Balloon","Badkonake sefid",https://www.imdb.com/title/tt0112445/,Movie,7.6,85,1995,"Drama, Family",8732,1995,"Jafar Panahi",,
35,tt0122130,2025-06-11,2025-06-11,,"Brick and Mirror","Khesht va Ayeneh",https://www.imdb.com/title/tt0122130/,Movie,7.6,126,1966,"Drama",992,1966-01-19,"Ebrahim Golestan",,
36,tt0114329,2025-06-11,2025-06-11,,"Hello Cinema","Salam Cinema",https://www.imdb.com/title/tt0114329/,Movie,7.6,75,1995,"Comedy, Drama",2312,1995-04-14,"Mohsen Makhmalbaf",,
37,tt0259072,2025-06-11,2025-06-11,,"A Time for Drunken Horses","Zamani baray-e masti-e asbha",https://www.imdb.com/title/tt0259072/,Movie,7.7,80,2000,"Drama, War",9378,2000-09-13,"Bahman Ghobadi",,
38,tt0072254,2025-06-11,2025-06-11,,"Tight Spot","Tangsir",https://www.imdb.com/title/tt0072254/,Movie,7.7,114,1973,"Drama, Thriller",946,1973-01-31,"Amir Naderi",,
39,tt0187809,2025-06-11,2025-06-11,,"The Pear Tree","Derakhte Golabi",https://www.imdb.com/title/tt0187809/,Movie,7.4,95,1998,"Drama, Romance",1836,1998-10,"Dariush Mehrjui",,
40,tt0064368,2025-06-11,2025-06-11,,"Gheisar","Gheisar",https://www.imdb.com/title/tt0064368/,Movie,7.6,100,1969,"Crime, Drama",4015,1969-12-31,"Masud Kimiai",,
41,tt1509132,2025-06-11,2025-06-11,,"The White Meadows","Keshtzar haye sepid",https://www.imdb.com/title/tt1509132/,Movie,7.6,92,2009,"Drama",1243,2010-04-23,"Mohammad Rasoulof",,
42,tt0116851,2025-06-11,2025-06-11,,"Leila","Leila",https://www.imdb.com/title/tt0116851/,Movie,7.4,102,1997,"Drama, Family, Romance",4354,2017-12-06,"Dariush Mehrjui",,
43,tt0209463,2025-06-11,2025-06-11,,"The Wind Will Carry Us","Bad ma ra khahad bord",https://www.imdb.com/title/tt0209463/,Movie,7.4,118,1999,"Drama",13503,1999-11-24,"Abbas Kiarostami",,
44,tt0395461,2025-06-11,2025-06-11,,"Bab'Aziz: The Prince That Contemplated His Soul","Bab'Aziz",https://www.imdb.com/title/tt0395461/,Movie,7.5,96,2005,"Drama",3953,2006-05-11,"Nacer Khemir",,
