Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0021810,2025-06-11,2025-06-11,,"Labor on the Douro River","Douro, Faina Fluvial",https://www.imdb.com/title/tt0021810/,Short,7.2,20,1931,"Documentary, Short",804,1994-04-29,"Manoel de Oliveira",,
2,tt0033994,2025-06-11,2025-06-11,,"The Tyrant Father","O Pai Tirano",https://www.imdb.com/title/tt0033994/,Movie,7.8,114,1941,"Comedy",911,1941-09-19,"António Lopes Ribeiro",,
3,tt0034461,2025-06-11,2025-06-11,,"Aniki Bobo","Aniki Bóbó",https://www.imdb.com/title/tt0034461/,Movie,7.6,71,1942,"Drama, Family",1994,1942-12-18,"Manoel de Oliveira",,
4,tt0035228,2025-06-11,2025-06-11,,"The Courtyard of the Ballads","O Pátio das Cantigas",https://www.imdb.com/title/tt0035228/,Movie,7.8,121,1942,"Comedy, Musical",1333,1942-01-23,"Francisco Ribeiro",,
5,tt0057642,2025-06-11,2025-06-11,,"Os Verdes Anos","Os Verdes Anos",https://www.imdb.com/title/tt0057642/,Movie,7.4,91,1963,"Drama, Romance",1069,1963-11-29,"Paulo Rocha",,
6,tt0077159,2025-06-11,2025-06-11,,"Amor de Perdição: Memórias de uma Família","Amor de Perdição: Memórias de uma Família",https://www.imdb.com/title/tt0077159/,TV Mini Series,7.3,262,1978,"Drama, Romance",335,1978-11-12,,,
7,tt0076871,2025-06-11,2025-06-11,,"Trails","Veredas",https://www.imdb.com/title/tt0076871/,Movie,7.2,120,1978,"Drama, Fantasy",261,1978-05-19,"João César Monteiro",,
8,tt0082408,2025-06-11,2025-06-11,,"Francisca","Francisca",https://www.imdb.com/title/tt0082408/,Movie,6.9,166,1981,"Biography, Drama",686,1981-12-03,"Manoel de Oliveira",,
9,tt0083082,2025-06-11,2025-06-11,,"Silvestre","Silvestre",https://www.imdb.com/title/tt0083082/,Movie,7.2,120,1981,"Drama",399,1982-05-06,"João César Monteiro",,
10,tt0077722,2025-06-11,2025-06-11,,"Island of Loves","A Ilha dos Amores",https://www.imdb.com/title/tt0077722/,Movie,7.2,170,1982,"Biography, Drama, Romance",133,1983-03-12,"Paulo Rocha",,
11,tt0085400,2025-06-11,2025-06-11,,"In the White City","Dans la ville blanche",https://www.imdb.com/title/tt0085400/,Movie,7.3,108,1983,"Drama",1531,1983-04-21,"Alain Tanner",,
12,tt0089018,2025-06-11,2025-06-11,,"Manuel on the Island of Wonders","Manoel dans l'île des merveilles",https://www.imdb.com/title/tt0089018/,TV Mini Series,7.8,130,1984,"Adventure, Drama, Fantasy",289,1984,,,
13,tt0098252,2025-06-11,2025-06-11,,"Blood","O Sangue",https://www.imdb.com/title/tt0098252/,Movie,7.3,95,1989,"Drama, Mystery",1254,1990-12-07,"Pedro Costa",,
14,tt0092681,2025-06-11,2025-06-11,,"The Jester","O Bobo",https://www.imdb.com/title/tt0092681/,Movie,6.4,120,1987,"Drama",179,1988,"José Álvaro Morais",,
15,tt0098175,2025-06-11,2025-06-11,,"Recollections of the Yellow House","Recordações da Casa Amarela",https://www.imdb.com/title/tt0098175/,Movie,7.3,122,1989,"Adventure, Comedy, Drama",1529,1989-10-12,"João César Monteiro",,
16,tt0108471,2025-06-11,2025-06-11,,"Abraham's Valley","Vale Abraão",https://www.imdb.com/title/tt0108471/,Movie,7.3,187,1993,"Drama",1675,1994-01-21,"Manoel de Oliveira",,
17,tt0111508,2025-06-11,2025-06-11,,"Two Brothers, My Sister","Três Irmãos",https://www.imdb.com/title/tt0111508/,Movie,6.9,108,1994,"Drama",215,1994-11-04,"Teresa Villaverde",,
18,tt0120626,2025-06-11,2025-06-11,,"April Captains","Capitães de Abril",https://www.imdb.com/title/tt0120626/,Movie,7.1,123,2000,"Drama, History, War",3573,2000-04-21,"Maria de Medeiros",,
19,tt1081929,2025-06-11,2025-06-11,,"Our Beloved Month of August","Aquele Querido Mês de Agosto",https://www.imdb.com/title/tt1081929/,Movie,6.9,147,2008,"Music, Romance",1922,2010-09-03,"Miguel Gomes",,
20,tt1789810,2025-06-11,2025-06-11,,"José and Pilar","José e Pilar",https://www.imdb.com/title/tt1789810/,Movie,8.2,117,2010,"Documentary, Biography",2552,2012-04,"Miguel Gonçalves Mendes",,
21,tt1236371,2025-06-11,2025-06-11,,"Mysteries of Lisbon","Mistérios de Lisboa",https://www.imdb.com/title/tt1236371/,TV Mini Series,7.4,53,2011,"Drama, Mystery, Romance",3649,2020-05-22,,,
22,tt2331173,2025-06-11,2025-06-11,,"É na Terra não é na Lua","É na Terra não é na Lua",https://www.imdb.com/title/tt2331173/,Movie,7.4,180,2011,"Documentary, History",210,2012-03-29,"Gonçalo Tocha",,
23,tt2153963,2025-06-11,2025-06-11,,"Tabu","Tabu",https://www.imdb.com/title/tt2153963/,Movie,7.3,118,2012,"Drama, Romance",7857,2012-04-05,"Miguel Gomes",,
24,tt1555149,2025-06-11,2025-06-11,,"Elite Squad 2: The Enemy Within","Tropa de Elite 2: O Inimigo Agora é Outro",https://www.imdb.com/title/tt1555149/,Movie,8.0,115,2010,"Crime, Drama, Thriller",90429,2010-10-08,"José Padilha",9,2024-01-05
25,tt0861739,2025-06-11,2025-06-11,,"Elite Squad","Tropa de Elite",https://www.imdb.com/title/tt0861739/,Movie,8.0,115,2007,"Action, Crime, Drama, Thriller",116431,2007-10-12,"José Padilha",9,2024-01-05
26,tt0317248,2025-06-11,2025-06-11,,"City of God","Cidade de Deus",https://www.imdb.com/title/tt0317248/,Movie,8.6,130,2002,"Crime, Drama",850416,2004-02-13,"Fernando Meirelles, Kátia Lund",9,2024-01-05
27,tt0870090,2025-06-11,2025-06-11,,"City of Men","Cidade dos Homens",https://www.imdb.com/title/tt0870090/,Movie,7.2,106,2007,"Crime, Drama",16728,2007-08-31,"Paulo Morelli",9,2024-01-05
28,tt0367859,2025-06-11,2025-06-11,,"The Man Who Copied","O Homem que Copiava",https://www.imdb.com/title/tt0367859/,Movie,7.6,124,2003,"Comedy, Crime, Drama, Romance",12257,2003-06-13,"Jorge Furtado",,
29,tt0291003,2025-06-11,2025-06-11,,"Behind the Sun","Abril Despedaçado",https://www.imdb.com/title/tt0291003/,Movie,7.6,105,2001,"Drama",7720,2002-05-01,"Walter Salles",,
30,tt0293007,2025-06-11,2025-06-11,,"Carandiru","Carandiru",https://www.imdb.com/title/tt0293007/,Movie,7.6,145,2003,"Crime, Drama",23908,2003-04-11,"Hector Babenco",8,2025-08-13
31,tt0140888,2025-06-11,2025-06-11,,"Central Station","Central do Brasil",https://www.imdb.com/title/tt0140888/,Movie,8.0,110,1998,"Drama",48989,1998-11-20,"Walter Salles",10,2025-02-25
32,tt0095467,2025-06-11,2025-06-11,,"A Short Film About Love","Krótki film o milosci",https://www.imdb.com/title/tt0095467/,Movie,8.1,87,1988,"Drama, Romance",27583,1995-08-04,"Krzysztof Kieslowski",,
33,tt0053146,2025-06-11,2025-06-11,,"Black Orpheus","Orfeu Negro",https://www.imdb.com/title/tt0053146/,Movie,7.4,100,1959,"Drama, Musical, Romance",13140,1959-12-21,"Marcel Camus",,
34,tt1280567,2025-06-11,2025-06-11,,"Última Parada 174","Última Parada 174",https://www.imdb.com/title/tt1280567/,Movie,7.1,110,2008,"Crime, Drama, Thriller",5805,2008-10-24,"Bruno Barreto",,
35,tt0857355,2025-06-11,2025-06-11,,"The Year My Parents Went on Vacation","O Ano em que Meus Pais Saíram de Férias",https://www.imdb.com/title/tt0857355/,Movie,7.3,110,2006,"Drama",6831,2006-11-02,"Cao Hamburger",,
36,tt0271383,2025-06-11,2025-06-11,,"A Dog's Will","O Auto da Compadecida",https://www.imdb.com/title/tt0271383/,Movie,8.6,104,2000,"Comedy, Drama, Fantasy",20783,2000-09-10,"Guel Arraes",9,2020-08-29
37,tt0119815,2025-06-11,2025-06-11,,"Four Days in September","O Que é Isso, Companheiro?",https://www.imdb.com/title/tt0119815/,Movie,7.4,110,1997,"Action, Drama, History, Thriller",6162,1998-01-30,"Bruno Barreto",,
38,tt0082912,2025-06-11,2025-06-11,,"Pixote","Pixote: A Lei do Mais Fraco",https://www.imdb.com/title/tt0082912/,Movie,7.9,128,1980,"Crime, Drama",10267,1981-09-18,"Hector Babenco",,
39,tt1753722,2025-06-11,2025-06-11,,"Two Rabbits","2 Coelhos",https://www.imdb.com/title/tt1753722/,Movie,7.3,101,2012,"Action, Crime, Drama, Thriller",5661,2015-01-19,"Afonso Poyart",,
40,tt1092016,2025-06-11,2025-06-11,,"Meu Nome Não é Johnny","Meu Nome Não é Johnny",https://www.imdb.com/title/tt1092016/,Movie,7.2,124,2008,"Biography, Crime, Drama",8547,2008-01-04,"Mauro Lima",,
41,tt0489458,2025-06-11,2025-06-11,,"O Cheiro do Ralo","O Cheiro do Ralo",https://www.imdb.com/title/tt0489458/,Movie,7.3,112,2006,"Comedy, Drama",5890,2007-03-23,"Heitor Dhalia",,
42,tt0456899,2025-06-11,2025-06-11,,"Lower City","Cidade Baixa",https://www.imdb.com/title/tt0456899/,Movie,6.5,98,2005,"Drama",4707,2005-12-02,"Sergio Machado",,
43,tt1039960,2025-06-11,2025-06-11,,"Estômago","Estômago",https://www.imdb.com/title/tt1039960/,Movie,7.8,113,2007,"Comedy, Crime, Drama",9544,2008-04-11,"Marcos Jorge",,
