Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0096126,2025-06-11,2025-06-11,,"Heart of a Dog","Sobachye serdtse",https://www.imdb.com/title/tt0096126/,TV Movie,8.5,136,1988,"Comedy, Drama, Sci-Fi",10030,1988-11-20,"Vladimir Bortko",,
2,tt0234355,2025-06-11,2025-06-11,,"Well, Just You Wait!","Nu, pogodi!",https://www.imdb.com/title/tt0234355/,TV Series,8.5,10,1969,"Animation, Action, Adventure, Comedy, Family",6908,1969-05-06,,,
3,tt0078655,2025-06-11,2025-06-11,,"The Meeting Place Cannot Be Changed","Mesto vstrechi izmenit nelzya",https://www.imdb.com/title/tt0078655/,TV Mini Series,8.7,74,1979,"Action, Adventure, Crime, Drama, Mystery",5383,1979-11-11,,,
4,tt0069628,2025-06-11,2025-06-11,,"Seventeen Moments of Spring","Semnadtsat mgnoveniy vesny",https://www.imdb.com/title/tt0069628/,TV Series,8.7,,1973,"Drama, History, War",5332,1973-08-11,,,
5,tt0337898,2025-06-11,2025-06-11,,"Law of the Lawless","Brigada",https://www.imdb.com/title/tt0337898/,TV Series,8.2,52,2002,"Action, Crime, Drama",12466,2002-09-23,,,
6,tt0083100,2025-06-11,2025-06-11,,"The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles","Priklyucheniya Sherloka Kholmsa i doktora Vatsona: Sobaka Baskerviley",https://www.imdb.com/title/tt0083100/,TV Mini Series,8.5,77,1981,"Adventure, Crime, Mystery",6830,1981-07-25,,,
7,tt0073179,2025-06-11,2025-06-11,,"The Irony of Fate, or Enjoy Your Bath!","Ironiya sudby, ili S legkim parom!",https://www.imdb.com/title/tt0073179/,TV Movie,8.0,192,1976,"Comedy, Drama, Romance",14470,1976-01-01,"Eldar Ryazanov",,
8,tt0080037,2025-06-11,2025-06-11,,"The Very Same Munchhausen","Tot samyy Myunkhgauzen",https://www.imdb.com/title/tt0080037/,TV Movie,8.3,142,1980,"Comedy, Drama, Fantasy",4248,1980-01-01,"Mark Zakharov",,
9,tt0079902,2025-06-11,2025-06-11,,"Sherlock Holmes and Doctor Watson","Sherlok Kholms i doktor Vatson",https://www.imdb.com/title/tt0079902/,TV Mini Series,8.5,67,1980,"Crime, Mystery",4525,1980-03-22,,,
10,tt0229922,2025-06-11,2025-06-11,,"The Adventures of Sherlock Holmes and Dr. Watson: The Adventures of Sherlock Holmes and Doctor Watson: Mortal Fight","Priklyucheniya Sherloka Kholmsa i doktora Vatsona: Smertelnaya skhvatka",https://www.imdb.com/title/tt0229922/,TV Episode,8.4,64,1980,"Crime, Drama, Mystery",2590,1980-09,"Igor Maslennikov",,
11,tt0076727,2025-06-11,2025-06-11,,"Office Romance","Sluzhebnyy roman",https://www.imdb.com/title/tt0076727/,Movie,8.2,159,1977,"Comedy, Drama, Romance",11264,1977-10-26,"Eldar Ryazanov",,
