Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt31158593,2025-10-08,2025-10-08,,"GG Precinct","Zheng Gang Fen Ju",https://www.imdb.com/title/tt31158593/,TV Series,5.8,45,2024,"Action, Comedy, Crime, Drama, Fantasy, Horror, Mystery",459,2024-08-22,,,
2,tt13652552,2025-10-08,2025-10-08,,"Futmalls","Futmalls",https://www.imdb.com/title/tt13652552/,TV Series,6.5,42,2020,"Sci-Fi",251,2020-12-03,,,
3,tt32991372,2025-10-08,2025-10-08,,"I Am the Secret in Your Heart","Xia ri de ning meng cao",https://www.imdb.com/title/tt32991372/,Movie,6.1,112,2024,"Drama, Romance",245,2024-08-02,"Meng-Chieh Lai",,
4,tt13388018,2025-10-08,2025-10-08,,"Girl's Revenge","Hâ luô shàonû: Girl's Revenge",https://www.imdb.com/title/tt13388018/,Movie,5.9,81,2020,"Drama",337,2020-08-07,"Weica Wang",,
5,tt36593616,2025-10-08,2025-10-08,,"Organ Child","Qi zi",https://www.imdb.com/title/tt36593616/,Movie,5.4,108,2025,"Action, Crime, Drama",215,2025-04-11,"Shiue Bin Jian",,
6,tt9708598,2025-10-08,2025-10-08,,"Flavorful Origins","Flavorful Origins",https://www.imdb.com/title/tt9708598/,TV Series,7.6,12,2019,"Documentary",802,2019-02-11,,,
7,tt33361731,2025-10-08,2025-10-08,,"Qi Refining for 3000 Years","Qi Refining for 3000 Years",https://www.imdb.com/title/tt33361731/,TV Series,6.9,,2022,"Animation, Action, Adventure, Comedy, Fantasy",17,2022-09-07,,,
8,tt10732758,2025-10-08,2025-10-08,,"Til Death Do Us Part","Til Death Do Us Part",https://www.imdb.com/title/tt10732758/,TV Mini Series,6.2,,2019,"Sci-Fi, Thriller",241,2019-08-15,,,
9,tt22399058,2025-10-08,2025-10-08,,"Shards of Her","Shards of Her",https://www.imdb.com/title/tt22399058/,TV Mini Series,6.9,45,2022,"Crime, Drama, Mystery, Thriller",877,2022-10-28,,,
10,tt14288764,2025-10-08,2025-10-08,,"Hospital","Xinglin yiyuan",https://www.imdb.com/title/tt14288764/,Movie,3.3,89,2020,"Horror",650,2021-03-21,"Chia-Lin Chu",,
11,tt22476934,2025-10-08,2025-10-08,,"Bad Education","Hei de jiào yù",https://www.imdb.com/title/tt22476934/,Movie,6.3,77,2022,"Crime, Thriller",427,2023-03-10,"Kai Ko",,
12,tt13317376,2025-10-08,2025-10-08,,"The Devil Punisher","Tian Xun Zhe",https://www.imdb.com/title/tt13317376/,TV Series,5.7,68,2020,"Fantasy, Mystery, Romance",262,2020-10-25,,,
13,tt29362951,2025-10-08,2025-10-08,,"The Story of Pearl Girl","Zhu lian yu mu",https://www.imdb.com/title/tt29362951/,TV Series,7.4,,2024,"Drama, Romance",949,2024-11-01,,,
14,tt32484114,2025-10-08,2025-10-08,,"The Double","Mo yu yun jian",https://www.imdb.com/title/tt32484114/,TV Series,8.3,45,2024,"Comedy, Drama, Romance, Thriller",1659,2024-06-28,,,
15,tt11942052,2025-10-08,2025-10-08,,"J-Style Trip","J-Style Trip",https://www.imdb.com/title/tt11942052/,TV Series,4.9,,2020,"Reality-TV",137,2020-03-21,,,
16,tt30791203,2025-10-08,2025-10-08,,"Let's Talk About CHU","Let's Talk About CHU",https://www.imdb.com/title/tt30791203/,TV Series,7.1,50,2024,"Comedy, Drama, Romance",825,2024-02-02,,,
17,tt31887832,2025-10-08,2025-10-08,,"The First Frost","Nan hong",https://www.imdb.com/title/tt31887832/,TV Series,8.4,45,2025,"Drama, Romance",3315,2025-02-18,,,
18,tt32849226,2025-10-08,2025-10-08,,"Our Generation","Ying tao hu po",https://www.imdb.com/title/tt32849226/,TV Series,7.0,,2025,"Romance",328,2025-07-14,,,
19,tt30762431,2025-10-08,2025-10-08,,"Love Game in Eastern Fantasy","Yong ye xing he",https://www.imdb.com/title/tt30762431/,TV Series,7.5,,2024,"Action, Adventure, Drama, Fantasy, Mystery, Romance",1104,2024-11-01,,,
20,tt31158594,2025-10-08,2025-10-08,,"Born for the Spotlight","Ying hou",https://www.imdb.com/title/tt31158594/,TV Series,7.8,60,2024,"Drama",679,2024-11-07,,,
21,tt29476809,2025-10-08,2025-10-08,,"The Princess Royal","Du hua nian",https://www.imdb.com/title/tt29476809/,TV Series,7.4,,2024,"Drama",627,2024-07-03,,,
22,tt32679129,2025-10-08,2025-10-08,,"Kill Me Love Me","Chun Hua Yan",https://www.imdb.com/title/tt32679129/,TV Series,7.4,,2024,"Drama",660,2024-10-14,,,
23,tt35933611,2025-10-08,2025-10-08,,"Lovesick","You bing cai hui xi huan ni",https://www.imdb.com/title/tt35933611/,Movie,6.6,110,2025,"Drama, Romance",280,2025-04-02,"Fu-Hsiang Hsu",,
24,tt28131856,2025-10-08,2025-10-08,,"Everyone Loves Me","Bie dui wo dong xin",https://www.imdb.com/title/tt28131856/,TV Series,7.3,,2024,"Comedy, Drama, Romance",819,2024-03-01,,,
25,tt34896296,2025-10-08,2025-10-08,,"I Am Married...But!","Tong Hua Gu Shi Xia Ji",https://www.imdb.com/title/tt34896296/,TV Series,7.2,30,2025,"Comedy, Drama, Romance",508,2025-02-14,,,
26,tt17079606,2025-10-08,2025-10-08,,"Dead Talents Society","Gui cai zhi dao",https://www.imdb.com/title/tt17079606/,Movie,7.0,111,2024,"Comedy, Horror, Thriller",3078,2024-08-07,"John Hsu",,
