Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt3495030,2025-10-11,2025-10-11,,"My Big Fat Bride","Dum Laga Ke Haisha",https://www.imdb.com/title/tt3495030/,Movie,7.4,109,2015,"Comedy, Drama, Romance",21986,2015-02-27,"Sharat Katariya",,
2,tt28803079,2025-10-11,2025-10-11,,"As Though Nothing Happened","As Though Nothing Happened",https://www.imdb.com/title/tt28803079/,Movie,8.0,55,2022,"Documentary",16,2022-12-22,"Taim Karesly",,
3,tt35713227,2025-10-11,2025-10-11,,"Groom & Two Brides","Groom & Two Brides",https://www.imdb.com/title/tt35713227/,Movie,,,2025,"Comedy, Romance",0,2025-11-07,"Elie Semaan",,
4,tt28680960,2025-10-11,2025-10-11,,"Mar3y El Breemo","Marie El Primo",https://www.imdb.com/title/tt28680960/,Movie,2.9,106,2023,"Comedy",313,2023-08-02,"Saeed Hamed",,
5,tt26008162,2025-10-11,2025-10-11,,"Nabil El Gamil Dr. Tagmeel","Nabil El Gamil Dr. Tagmeel",https://www.imdb.com/title/tt26008162/,Movie,4.1,105,2022,"Comedy",750,2022-12-28,"Khaled Marei",,
6,tt21033938,2025-10-11,2025-10-11,,"My Brother Above in the Tree","Akhi Fok El Shagara",https://www.imdb.com/title/tt21033938/,Movie,4.0,102,2023,"Comedy",345,2023-01-18,"Mahmoud Karim",,
7,tt10696586,2025-10-11,2025-10-11,,"Marry Me Again?","El-Badh la Yadhhab lel-Madhoon Marratain",https://www.imdb.com/title/tt10696586/,Movie,5.3,100,2021,"Comedy",1596,2021-07-08,"Ahmed al-Gendy",,
8,tt17275958,2025-10-11,2025-10-11,,"Farq Khibrah","Farq Khibrah",https://www.imdb.com/title/tt17275958/,Movie,5.7,96,2021,"Drama, Romance",542,2021-11-03,"Sherif Nagib",,
9,tt11879338,2025-10-11,2025-10-11,,"Tasleem Ahaly","Taslim Ahali",https://www.imdb.com/title/tt11879338/,Movie,6.4,110,2022,"Comedy, Thriller",1364,2022-08-03,"Khaled El Halafawy",,
10,tt28054845,2025-10-11,2025-10-11,,"Face to Face","Face to Face",https://www.imdb.com/title/tt28054845/,Movie,,100,2023,"Drama",0,2023-07-19,"Robert Peters",,
11,tt31565654,2025-10-11,2025-10-11,,"Honeymoonish","Shahr zii aleasal",https://www.imdb.com/title/tt31565654/,Movie,5.3,100,2024,"Comedy, Romance",1648,2024-04-30,"Elie Semaan",,
12,tt27881699,2025-10-11,2025-10-11,,"Bogeyman","ElBo3bo3",https://www.imdb.com/title/tt27881699/,Movie,5.0,102,2023,"Action, Comedy",656,2023-06-28,"Husain El-Minbawi",,
13,tt22497824,2025-10-11,2025-10-11,,"The Matchmaker","The Matchmaker",https://www.imdb.com/title/tt22497824/,Movie,3.7,81,2023,"Drama, Mystery, Thriller",610,2023-04-27,"Abdulmohsen Aldhabaan",,
14,tt13043436,2025-10-11,2025-10-11,,"The Humans and the Mongoose","El Ens W El Nems",https://www.imdb.com/title/tt13043436/,Movie,5.1,120,2021,"Comedy, Fantasy, Horror",1717,2021-08-11,"Sherif Arafa",,
15,tt10832002,2025-10-11,2025-10-11,,"The Alleys","The Alleys",https://www.imdb.com/title/tt10832002/,Movie,7.1,116,2021,"Crime, Drama, Thriller",1002,2022-06-13,"Bassel Ghandour",,
16,tt30629563,2025-10-11,2025-10-11,,"From the Ashes","From the Ashes (Jaras Enzar)",https://www.imdb.com/title/tt30629563/,Movie,5.1,90,2024,"Drama, Thriller",1258,2024-01-18,"Khalid Fahad",,
17,tt22497768,2025-10-11,2025-10-11,,"Alkhallat+","Alkhallat+",https://www.imdb.com/title/tt22497768/,Movie,6.7,118,2022,"Comedy, Drama, Mystery, Thriller",4165,2023-01-19,"Fahad Alammari, Ayman Samman",,
18,tt19782940,2025-10-11,2025-10-11,,"The Master Plan","The Master Plan",https://www.imdb.com/title/tt19782940/,TV Special,,,2020,"Comedy, Drama, Thriller",0,2020-12-13,"Dada Nazrul, Mashfiq Rasel, Sejan, Abul Hayat",,
19,tt10765448,2025-10-11,2025-10-11,,"C Section","C Section",https://www.imdb.com/title/tt10765448/,Movie,6.8,100,2021,"Comedy, Drama",126,2021-12-02,"David Oryan",,
20,tt20420710,2025-10-11,2025-10-11,,"Basma","Basma",https://www.imdb.com/title/tt20420710/,Movie,4.3,105,2024,"Drama",550,2024-06-06,"Fatima AlBanawi",,
21,tt30784112,2025-10-11,2025-10-11,,"The Harouns","The Harouns",https://www.imdb.com/title/tt30784112/,Movie,4.3,79,2023,"Drama, Thriller",32,2023-12-26,"Moataz Hossam",,
22,tt14835308,2025-10-11,2025-10-11,,"Al Maht","Al Maht",https://www.imdb.com/title/tt14835308/,Movie,6.7,63,2021,"Animation, Comedy",527,2021-05-13,"Sayood",,
23,tt5435084,2025-10-11,2025-10-11,,"Barakah Meets Barakah","Barakah yoqabil Barakah",https://www.imdb.com/title/tt5435084/,Movie,6.2,88,2016,"Comedy, Romance",1966,2016-09-08,"Mahmoud Sabbagh",,
