Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt15360916,2025-10-11,2025-10-11,,"The Four of Us","Du Sie Er & Wir",https://www.imdb.com/title/tt15360916/,Movie,5.4,88,2021,"Comedy, Drama, Romance",1634,2021-10-15,"Florian Gottschick",,
2,tt5753856,2025-10-11,2025-10-11,,"Dark","Dark",https://www.imdb.com/title/tt5753856/,TV Series,8.7,60,2017,"Crime, Drama, Mystery, Sci-Fi, Thriller",509695,2017-12-01,,,
3,tt21092364,2025-10-11,2025-10-11,,"Too Hot to Handle: Germany","Too Hot to Handle: Germany",https://www.imdb.com/title/tt21092364/,TV Series,4.7,45,2023,"Game-Show, Reality-TV, Romance",607,2023-02-28,,,
4,tt31806050,2025-10-11,2025-10-11,,"Kaulitz & Kaulitz","Kaulitz & Kaulitz",https://www.imdb.com/title/tt31806050/,TV Series,7.1,45,2024,"Documentary, Biography, Music",1251,2024-06-25,,,
5,tt1016150,2025-10-11,2025-10-11,,"All Quiet on the Western Front","Im Westen nichts Neues",https://www.imdb.com/title/tt1016150/,Movie,7.8,148,2022,"Drama, History, War",284144,2022-10-28,"Edward Berger",8,2025-01-24
6,tt32543884,2025-10-11,2025-10-11,,"Fall for Me","Fall for Me",https://www.imdb.com/title/tt32543884/,Movie,4.8,103,2025,"Thriller",4091,2025-08-21,"Sherry Hormann",,
7,tt8667956,2025-10-11,2025-10-11,,"Freud","Freud",https://www.imdb.com/title/tt8667956/,TV Series,6.5,55,2020,"Crime, Thriller",13842,2020-03-23,,,
8,tt13720112,2025-10-11,2025-10-11,,"The Empress","The Empress",https://www.imdb.com/title/tt13720112/,TV Series,7.8,60,2022,"Drama, History, Romance",20458,2022-09-29,,,
9,tt11053220,2025-10-11,2025-10-11,,"We Are the Wave","Wir sind die Welle",https://www.imdb.com/title/tt11053220/,TV Series,6.2,50,2019,"Drama",3317,2019-11-01,,,
10,tt20863760,2025-10-11,2025-10-11,,"Dear Child","Liebes Kind",https://www.imdb.com/title/tt20863760/,TV Mini Series,7.3,48,2023,"Crime, Drama, Mystery, Thriller",32932,2023-09-07,,,
11,tt9184994,2025-10-11,2025-10-11,,"How to Sell Drugs Online (Fast)","How to Sell Drugs Online (Fast)",https://www.imdb.com/title/tt9184994/,TV Series,7.8,30,2019,"Comedy, Crime, Drama, Romance",45518,2019-05-31,,,
12,tt27719131,2025-10-11,2025-10-11,,"Love Is Blind: Germany","Love Is Blind: Germany",https://www.imdb.com/title/tt27719131/,TV Series,5.4,60,2025,"Reality-TV, Romance",384,2025-01-03,,,
13,tt9849210,2025-10-11,2025-10-11,,"Biohackers","Biohackers",https://www.imdb.com/title/tt9849210/,TV Series,6.8,44,2020,"Drama, Sci-Fi, Thriller",12222,2020-08-20,,,
14,tt14303612,2025-10-11,2025-10-11,,"Cassandra","Cassandra",https://www.imdb.com/title/tt14303612/,TV Mini Series,4.8,,2023,"Drama",24,2023-07-25,,,
15,tt26735172,2025-10-11,2025-10-11,,"Dudes","MANES",https://www.imdb.com/title/tt26735172/,TV Series,6.3,,2023,"Comedy, Drama",272,2023-02-15,,,
16,tt20256412,2025-10-11,2025-10-11,,"Hard Feelings","Hammerharte Jungs",https://www.imdb.com/title/tt20256412/,Movie,4.8,102,2023,"Comedy",3340,2023-05-24,"Granz Henman",,
17,tt30217222,2025-10-11,2025-10-11,,"Murder Mindfully","Achtsam Morden",https://www.imdb.com/title/tt30217222/,TV Series,7.4,30,2024,"Comedy, Crime, Mystery, Thriller",10711,2024-10-31,,,
18,tt21308888,2025-10-11,2025-10-11,,"Paradise","Paradise",https://www.imdb.com/title/tt21308888/,Movie,6.3,117,2023,"Action, Sci-Fi, Thriller",24607,2023-07-27,"Boris Kunz",,
19,tt31806049,2025-10-11,2025-10-11,,"Brick","Brick",https://www.imdb.com/title/tt31806049/,Movie,5.5,99,2025,"Drama, Mystery, Sci-Fi, Thriller",22265,2025-07-10,"Philip Koch",,
20,tt30876483,2025-10-11,2025-10-11,,"Exterritorial","Exterritorial",https://www.imdb.com/title/tt30876483/,Movie,5.8,109,2025,"Action, Mystery, Thriller",16397,2025-04-30,"Christian Zübert",,
21,tt15135104,2025-10-11,2025-10-11,,"Kleo","Kleo",https://www.imdb.com/title/tt15135104/,TV Series,7.5,44,2022,"Action, Crime, Drama, Mystery, Thriller",17387,2022-08-19,,,
22,tt12104930,2025-10-11,2025-10-11,,"Kitz","Kitz",https://www.imdb.com/title/tt12104930/,TV Series,5.8,45,2021,"Drama, Mystery, Thriller",3137,2021-12-30,,,
