Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt4535650,2025-10-11,2025-10-11,,"Dilwale","Dilwale",https://www.imdb.com/title/tt4535650/,Movie,5.1,158,2015,"Action, Comedy, Drama, Romance",41068,2015-12-18,"Rohit Shetty",,
2,tt35663887,2025-10-11,2025-10-11,,"Toaster","Toaster",https://www.imdb.com/title/tt35663887/,Movie,,,2025,"Comedy, Drama",0,2025,"Vivek Daschaudhary",,
3,tt3324810,2025-10-11,2025-10-11,,"Chhota Bheem and the Throne of Bali","Chhota Bheem and the Throne of Bali",https://www.imdb.com/title/tt3324810/,Movie,6.4,130,2013,"Animation, Action, Adventure, Comedy, Family, Fantasy",470,2013-05-03,"Rajiv Chilaka",,
4,tt28037987,2025-10-11,2025-10-11,,"Saiyaara","Saiyaara",https://www.imdb.com/title/tt28037987/,Movie,6.4,150,2025,"Drama, Musical, Romance",52330,2025-07-18,"Mohit Suri",,
5,tt29429860,2025-10-11,2025-10-11,,"Son of Sardaar 2","Son of Sardaar 2",https://www.imdb.com/title/tt29429860/,Movie,4.2,145,2025,"Comedy",37547,2025-08-01,"Vijay Kumar Arora",,
6,tt6356352,2025-10-11,2025-10-11,,"Chhota Bheem and Ganesh in the Amazing Odyssey","Chhota Bheem and Ganesh in the Amazing Odyssey",https://www.imdb.com/title/tt6356352/,Movie,7.2,68,2012,"Animation",136,2012-01-01,"Rajiv Chilaka",,
7,tt31712434,2025-10-11,2025-10-11,,"Sikandar","Sikandar",https://www.imdb.com/title/tt31712434/,Movie,3.6,148,2025,"Action, Drama, Thriller",52854,2025-03-30,"A.R. Murugadoss",,
8,tt28089700,2025-10-11,2025-10-11,,"Raid 2","Raid 2",https://www.imdb.com/title/tt28089700/,Movie,6.6,145,2025,"Crime, Drama, Thriller",32782,2025-05-01,"Raj Kumar Gupta",,
9,tt0248126,2025-10-11,2025-10-11,,"Kabhi Khushi Kabhie Gham...","Kabhi Khushi Kabhie Gham...",https://www.imdb.com/title/tt0248126/,Movie,7.4,210,2001,"Drama, Musical, Romance",61106,2001-12-14,"Karan Johar",,
10,tt21818782,2025-10-11,2025-10-11,,"Tehran","Tehran",https://www.imdb.com/title/tt21818782/,Movie,5.9,115,2025,"Action, Thriller",28389,2025-08-14,"Arun Gopalan",,
11,tt12327140,2025-10-11,2025-10-11,,"What are the Odds?","What are the Odds?",https://www.imdb.com/title/tt12327140/,Movie,5.3,92,2019,"Drama",906,2020-05-20,"Megha Ramaswamy",,
12,tt30219110,2025-10-11,2025-10-11,,"Chhota Bheem: Shakti Astra Ki Khoj","Chhota Bheem: Shakti Astra Ki Khoj",https://www.imdb.com/title/tt30219110/,TV Movie,7.1,,2023,"Animation, Action, Adventure, Comedy, Family, Fantasy",35,2023-11-11,,,
13,tt2178470,2025-10-11,2025-10-11,,"Yeh Jawaani Hai Deewani","Yeh Jawaani Hai Deewani",https://www.imdb.com/title/tt2178470/,Movie,7.3,160,2013,"Comedy, Drama, Musical, Romance",56294,2013-05-31,"Ayan Mukerji",,
14,tt0172684,2025-10-11,2025-10-11,,"Kuch Kuch Hota Hai","Kuch Kuch Hota Hai",https://www.imdb.com/title/tt0172684/,Movie,7.5,185,1998,"Comedy, Drama, Musical, Romance",61252,1998-10-16,"Karan Johar",,
15,tt21626284,2025-10-11,2025-10-11,,"Lost Ladies","Laapataa Ladies",https://www.imdb.com/title/tt21626284/,Movie,8.3,122,2023,"Comedy, Drama",55057,2024-03-01,"Kiran Rao",,
16,tt3863552,2025-10-11,2025-10-11,,"Bajrangi Bhaijaan","Bajrangi Bhaijaan",https://www.imdb.com/title/tt3863552/,Movie,8.1,163,2015,"Action, Adventure, Comedy, Drama",107512,2015-07-17,"Kabir Khan",,
17,tt26229612,2025-10-11,2025-10-11,,"The Diplomat","The Diplomat",https://www.imdb.com/title/tt26229612/,Movie,7.0,130,2025,"Drama, Thriller",15069,2025-03-14,"Shivam Nair",,
18,tt27852049,2025-10-11,2025-10-11,,"Deva","Deva",https://www.imdb.com/title/tt27852049/,Movie,6.6,156,2025,"Action, Crime, Drama, Mystery, Thriller",28234,2025-01-31,"Rosshan Andrrews",,
19,tt13451410,2025-10-11,2025-10-11,,"Dhadak 2","Dhadak 2",https://www.imdb.com/title/tt13451410/,Movie,6.8,142,2025,"Drama, Mystery, Romance, Thriller",17885,2025-08-01,"Shazia Iqbal",,
20,tt35076553,2025-10-11,2025-10-11,,"Inspector Zende","Inspector Zende",https://www.imdb.com/title/tt35076553/,Movie,5.7,112,2025,"Comedy, Crime",2434,2025-09-05,"Chinmay Mandlekar",,
21,tt6417830,2025-10-11,2025-10-11,,"Chhota Bheem and the ShiNobi Secret","Chhota Bheem and the ShiNobi Secret",https://www.imdb.com/title/tt6417830/,Movie,7.9,63,2013,"Animation",77,2013,"Rajiv Chilaka",,
22,tt26932223,2025-10-11,2025-10-11,,"Bhool Bhulaiyaa 3","Bhool Bhulaiyaa 3",https://www.imdb.com/title/tt26932223/,Movie,4.6,158,2024,"Comedy, Fantasy, Horror",78326,2024-11-01,"Anees Bazmee",,
23,tt30422937,2025-10-11,2025-10-11,,"Nadaaniyan","Naadaniyaan",https://www.imdb.com/title/tt30422937/,Movie,3.0,119,2025,"Drama, Romance",15609,2025-03-07,"Shauna Gautam",,
24,tt0347473,2025-10-11,2025-10-11,,"Main Hoon Na","Main Hoon Na",https://www.imdb.com/title/tt0347473/,Movie,7.1,182,2004,"Action, Comedy, Drama, Musical, Romance, Thriller",43687,2004-04-30,"Farah Khan",,
25,tt27922706,2025-10-11,2025-10-11,,"Chhaava","Chhaava",https://www.imdb.com/title/tt27922706/,Movie,7.3,161,2025,"Action, Drama, History",37641,2025-02-14,"Laxman Utekar",,
26,tt6442774,2025-10-11,2025-10-11,,"Chhota Bheem: Dholakpur to Kathmandu","Chhota Bheem: Dholakpur to Kathmandu",https://www.imdb.com/title/tt6442774/,Movie,7.7,69,2012,"Animation",248,2021-07-22,"Rajiv Chilaka",,
27,tt10896026,2025-10-11,2025-10-11,,"First Ladies","First Ladies",https://www.imdb.com/title/tt10896026/,TV Series,7.3,,2020,"Documentary, Biography",471,2020-10-04,,,
28,tt30496762,2025-10-11,2025-10-11,,"Maa","Maa",https://www.imdb.com/title/tt30496762/,Movie,5.0,133,2025,"Horror",18288,2025-06-27,"Vishal Furia",,
