Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt34896285,2025-10-11,2025-10-11,,"The Love Scam","Mica è colpa mia",https://www.imdb.com/title/tt34896285/,Movie,6.1,101,2025,"Comedy, Romance",1623,2025-01-01,"Umberto Riccioni Carteni",,
2,tt16604332,2025-10-11,2025-10-11,,"The Hand of God: Through the Eyes of Sorrentino","The Hand of God: Through the Eyes of Sorrentino",https://www.imdb.com/title/tt16604332/,Short,6.4,8,2021,"Documentary, Short",145,2021-12-03,,,
3,tt30494321,2025-10-11,2025-10-11,,"The Price of Nonna's Inheritance","Ricchi a tutti i costi",https://www.imdb.com/title/tt30494321/,Movie,5.3,90,2024,"Comedy",1247,2024-06-04,"Giovanni Bognetti",,
4,tt12680684,2025-10-11,2025-10-11,,"The Hand of God","È stata la mano di Dio",https://www.imdb.com/title/tt12680684/,Movie,7.3,130,2021,"Drama",52962,2021-12-15,"Paolo Sorrentino",,
5,tt19119646,2025-10-11,2025-10-11,,"A breath of fresh air","Una boccata d'aria",https://www.imdb.com/title/tt19119646/,Movie,5.8,90,2022,"Comedy, Drama",475,2022-07-07,"Alessio Lauria",,
6,tt18394610,2025-10-11,2025-10-11,,"Nuovo Olimpo","Nuovo Olimpo",https://www.imdb.com/title/tt18394610/,Movie,7.2,113,2023,"Drama, Romance",6911,2023-11-01,"Ferzan Özpetek",8,2024-03-19
7,tt6752992,2025-10-11,2025-10-11,,"Happy as Lazzaro","Lazzaro felice",https://www.imdb.com/title/tt6752992/,Movie,7.5,128,2018,"Drama, Fantasy, Mystery",22689,2018-11-30,"Alice Rohrwacher",,
8,tt22001304,2025-10-11,2025-10-11,,"Adagio","Adagio",https://www.imdb.com/title/tt22001304/,Movie,6.6,127,2023,"Action, Crime, Thriller",3170,2024-05-13,"Stefano Sollima",,
9,tt29242846,2025-10-11,2025-10-11,,"The Children's Train","Il treno dei bambini",https://www.imdb.com/title/tt29242846/,Movie,7.4,106,2024,"Drama, History",8829,2024-12-04,"Cristina Comencini",,
10,tt21149522,2025-10-11,2025-10-11,,"The Price of Family","Natale a tutti i costi",https://www.imdb.com/title/tt21149522/,Movie,5.9,90,2022,"Comedy",2108,2023-01-25,"Giovanni Bognetti",,
11,tt14247286,2025-10-11,2025-10-11,,"Four to Dinner","4 metà",https://www.imdb.com/title/tt14247286/,Movie,6.3,105,2022,"Comedy, Romance",4048,2022-01-05,"Alessio Maria Federici",,
12,tt35574419,2025-10-11,2025-10-11,,"Miss Italy Must Not Die","Miss Italia non deve morire",https://www.imdb.com/title/tt35574419/,Movie,5.2,98,2025,"Documentary",193,2025-02-26,"Pietro Daviddi, David Gallerano, Leah Patterson",,
13,tt10627584,2025-10-11,2025-10-11,,"The Life Ahead","La vita davanti a sé",https://www.imdb.com/title/tt10627584/,Movie,6.8,94,2020,"Drama",16129,2020-11-13,"Edoardo Ponti",,
14,tt15311262,2025-10-11,2025-10-11,,"Under the Amalfi Sun","Sotto il sole di Amalfi",https://www.imdb.com/title/tt15311262/,Movie,5.4,95,2022,"Comedy, Drama, Romance",1593,2022-07-13,"Martina Pastori, Valeria Zunzun",,
15,tt15206378,2025-10-11,2025-10-11,,"7 Women and a Murder","7 donne e un mistero",https://www.imdb.com/title/tt15206378/,Movie,5.4,82,2021,"Comedy, Crime, Mystery",7284,2022-12-28,"Alessandro Genovesi",,
16,tt15654800,2025-10-11,2025-10-11,,"Still Time","Era ora",https://www.imdb.com/title/tt15654800/,Movie,6.6,109,2022,"Comedy, Drama, Fantasy",4794,2023-03-16,"Alessandro Aronadio",,
17,tt13003996,2025-10-11,2025-10-11,,"My Brother, My Sister","Mio fratello mia sorella",https://www.imdb.com/title/tt13003996/,Movie,6.1,110,2021,"Drama",1279,2021-10-08,"Roberto Capucci",,
18,tt11428926,2025-10-11,2025-10-11,,"L'ultimo paradiso","L'ultimo paradiso",https://www.imdb.com/title/tt11428926/,Movie,5.7,107,2021,"Drama, Romance",1780,2021-02-05,"Rocco Ricciardulli",,
19,tt10345782,2025-10-11,2025-10-11,,"The Catholic School","La scuola cattolica",https://www.imdb.com/title/tt10345782/,Movie,5.7,106,2021,"Drama",4026,2022-09-14,"Stefano Mordini",,
20,tt14270848,2025-10-11,2025-10-11,,"Robbing Mussolini","Rapiniamo il Duce",https://www.imdb.com/title/tt14270848/,Movie,5.4,90,2022,"Action, Comedy, Crime, Drama, History, Thriller, War",2916,2022-10-26,"Renato De Maria",,
21,tt22071864,2025-10-11,2025-10-11,,"Jumping from High Places","Per lanciarsi dalle stelle",https://www.imdb.com/title/tt22071864/,Movie,5.8,88,2022,"Comedy, Drama, Romance",1373,2022-10-05,"Andrea Jublin",,
22,tt9239888,2025-10-11,2025-10-11,,"The Ruthless","Lo spietato",https://www.imdb.com/title/tt9239888/,Movie,6.2,111,2019,"Crime, Drama",7320,2019-04-08,"Renato De Maria",,
23,tt13320784,2025-10-11,2025-10-11,,"Five Star Christmas","Five Star Christmas",https://www.imdb.com/title/tt13320784/,TV Movie,6.9,84,2020,"Comedy, Romance",2961,2020-11-27,"Christie Will Wolf",,
24,tt10287954,2025-10-11,2025-10-11,,"Rose Island","L'incredibile storia dell'isola delle rose",https://www.imdb.com/title/tt10287954/,Movie,7.0,117,2020,"Adventure, Biography, Comedy, Drama",26989,2020-12-09,"Sydney Sibilia",,
25,tt12780384,2025-10-11,2025-10-11,,"Holidays on Mars","In vacanza su Marte",https://www.imdb.com/title/tt12780384/,Movie,2.7,94,2020,"Comedy, Sci-Fi",781,2020-12-13,"Neri Parenti",,
26,tt28690443,2025-10-11,2025-10-11,,"Beautiful Rebel","Sei nell'anima",https://www.imdb.com/title/tt28690443/,Movie,6.3,112,2024,"Biography, Drama, Music",1075,2024-05-02,"Cinzia TH Torrini",,
27,tt25404102,2025-10-11,2025-10-11,,"The Players","The Players",https://www.imdb.com/title/tt25404102/,Movie,5.4,94,2025,"Drama",81,2025-04-12,"Sarah Galea-Davis",,
28,tt10941528,2025-10-11,2025-10-11,,"Under the Riccione Sun","Sotto il sole di Riccione",https://www.imdb.com/title/tt10941528/,Movie,5.6,101,2020,"Comedy, Drama, Romance",3453,2020-07-01,"Younuts",,
