Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0245429,2025-10-11,2025-10-11,,"Spirited Away","Sen to Chihiro no kamikakushi",https://www.imdb.com/title/tt0245429/,Movie,8.6,124,2001,"Animation, Adventure, Family, Fantasy, Mystery",933864,2003-03-28,"Hayao Miyazaki",10,2020-07-13
2,tt0096283,2025-10-11,2025-10-11,,"My Neighbor Totoro","Tonari no Totoro",https://www.imdb.com/title/tt0096283/,Movie,8.1,86,1988,"Animation, Adventure, Comedy, Family, Fantasy",417900,1990-07-13,"Hayao Miyazaki",9,2020-07-13
3,tt0347149,2025-10-11,2025-10-11,,"Howl's Moving Castle","Hauru no ugoku shiro",https://www.imdb.com/title/tt0347149/,Movie,8.2,119,2004,"Animation, Adventure, Family, Fantasy",495627,2005-06-17,"Hayao Miyazaki",9,2020-07-13
4,tt0097814,2025-10-11,2025-10-11,,"Kiki's Delivery Service","Majo no takkyûbin",https://www.imdb.com/title/tt0097814/,Movie,7.8,103,1989,"Animation, Family, Fantasy",181832,1990-12-20,"Hayao Miyazaki",,
5,tt0876563,2025-10-11,2025-10-11,,"Ponyo","Gake no ue no Ponyo",https://www.imdb.com/title/tt0876563/,Movie,7.6,101,2008,"Animation, Adventure, Comedy, Family, Fantasy",179536,2009-08-14,"Hayao Miyazaki",,
6,tt1568921,2025-10-11,2025-10-11,,"The Secret World of Arrietty","Karigurashi no Arietti",https://www.imdb.com/title/tt1568921/,Movie,7.6,94,2010,"Animation, Adventure, Drama, Family, Fantasy",113822,2012-02-17,"Hiromasa Yonebayashi",,
7,tt0092067,2025-10-11,2025-10-11,,"Castle in the Sky","Tenkû no shiro Rapyuta",https://www.imdb.com/title/tt0092067/,Movie,8.0,124,1986,"Animation, Adventure, Family, Fantasy",193920,1991-07-19,"Hayao Miyazaki",,
8,tt0113824,2025-10-11,2025-10-11,,"Whisper of the Heart","Mimi o sumaseba",https://www.imdb.com/title/tt0113824/,Movie,7.8,111,1995,"Animation, Drama, Family, Romance",80507,1996-12-13,"Yoshifumi Kondô",,
9,tt3398268,2025-10-11,2025-10-11,,"When Marnie Was There","Omoide no Mânî",https://www.imdb.com/title/tt3398268/,Movie,7.6,103,2014,"Animation, Drama, Family, Mystery",53298,2015-08-07,"Hiromasa Yonebayashi",,
10,tt0347618,2025-10-11,2025-10-11,,"The Cat Returns","Neko no ongaeshi",https://www.imdb.com/title/tt0347618/,Movie,7.1,75,2002,"Animation, Adventure, Comedy, Family, Fantasy, Romance",70344,2005-07-13,"Hiroyuki Morita",,
11,tt0102587,2025-10-11,2025-10-11,,"Only Yesterday","Omohide poro poro",https://www.imdb.com/title/tt0102587/,Movie,7.6,119,1991,"Animation, Drama, Romance",41004,2016-02-26,"Isao Takahata",,
12,tt12441478,2025-10-11,2025-10-11,,"Earwig and the Witch","Âya to majo",https://www.imdb.com/title/tt12441478/,TV Movie,4.7,82,2020,"Animation, Adventure, Family, Fantasy",6697,2020-12-30,"Gorô Miyazaki",,
13,tt0206013,2025-10-11,2025-10-11,,"My Neighbors the Yamadas","Hôhokekyo tonari no Yamada-kun",https://www.imdb.com/title/tt0206013/,Movie,7.1,104,1999,"Animation, Comedy, Family",17306,2000-12-22,"Isao Takahata",,
14,tt12079068,2025-10-11,2025-10-11,,"Sol Levante","Sol Levante",https://www.imdb.com/title/tt12079068/,Short,4.8,4,2020,"Animation, Short",730,2020-04-02,"Akira Saitou",,
15,tt19112110,2025-10-11,2025-10-11,,"LiSA Another Great Day","LiSA Another Great Day",https://www.imdb.com/title/tt19112110/,Movie,7.4,97,2022,"Documentary, Music",106,2022-10-18,"Taketoshi Sado",,
16,tt1037116,2025-10-11,2025-10-11,,"One Piece: Episode of Alabasta - The Desert Princess and the Pirates","Wan Pîsu Episôdo obu Arabasuta Sabaku no Ôjo to Kaizoku-tachi",https://www.imdb.com/title/tt1037116/,Movie,6.8,90,2007,"Animation, Action, Adventure, Comedy, Drama",2583,2007-03-03,"Takahiro Imamura",,
17,tt10675392,2025-10-11,2025-10-11,,"Saezuru Tori Wa Habatakanai: The Clouds Gather","Saezuru Tori Wa Habatakanai: The Clouds Gather",https://www.imdb.com/title/tt10675392/,Movie,6.8,85,2020,"Animation, Crime, Drama, Romance",1248,2020-12-11,"Kaori Makita",,
18,tt1753496,2025-10-11,2025-10-11,,"Resident Evil: Damnation","Baiohazâdo Damunêshon",https://www.imdb.com/title/tt1753496/,Movie,6.4,100,2012,"Animation, Action, Horror, Sci-Fi, Thriller",23392,2012-10-27,"Makoto Kamiya",,
19,tt1260507,2025-10-11,2025-10-11,,"Anpanman: The Secret of Fairy Rin-Rin","Soreike! Anpanman: Yousei Rinrin no himitsu",https://www.imdb.com/title/tt1260507/,Movie,,50,2008,"Animation, Adventure, Family, Fantasy",0,2008-07-12,"Akinori Nagaoka",,
20,tt27503384,2025-10-11,2025-10-11,,"Perfect Days","Perfect Days",https://www.imdb.com/title/tt27503384/,Movie,7.9,124,2023,"Drama",91989,2023-12-21,"Wim Wenders",9,2024-09-04
21,tt1685648,2025-10-11,2025-10-11,,"Soreike! Anpanman: Brakkunôzu to mahou no uta","Soreike! Anpanman: Brakkunôzu to mahou no uta",https://www.imdb.com/title/tt1685648/,Movie,5.9,52,2010,"Animation, Adventure, Family, Fantasy",21,2010,"Hiroyuki Yano",,
22,tt28717062,2025-10-11,2025-10-11,,"Evangelion: Death (True)²","Evangelion: Death (True)²",https://www.imdb.com/title/tt28717062/,Movie,6.5,69,1998,"Animation, Action, Drama, Sci-Fi",662,2019-06-21,"Ken Andô, Hideaki Anno, Naoyasu Habu, Hiroyuki Ishidô, Tsuyoshi Kaga, Masayuki, Shôichi Masuo, Seiji Mizushima, Tensai Okamura, Keiichi Sugiyama, Akira Takamura, Kazuya Tsurumaki, Tetsuya Watanabe, Minoru Ôhara, Masahiko Ôtsuka",,
23,tt9195844,2025-10-11,2025-10-11,,"Little Miss Sumo","Little Miss Sumo",https://www.imdb.com/title/tt9195844/,Short,6.5,19,2018,"Documentary, Short, Biography, Sport",701,2019-10-28,"Matt Kay",,
24,tt27192829,2025-10-11,2025-10-11,,"Cells at Work!","Hataraku saibou",https://www.imdb.com/title/tt27192829/,Movie,6.7,109,2024,"Action, Adventure, Comedy, Fantasy",1264,2024-12-13,"Hideki Takeuchi",,
25,tt25041020,2025-10-11,2025-10-11,,"Violet Evergarden: Recollections","Violet Evergarden: Recollections",https://www.imdb.com/title/tt25041020/,Movie,7.5,95,2021,"Animation, Drama, Fantasy",702,2022-12-15,"Haruka Fujita, Taichi Ishidate",,
26,tt1071815,2025-10-11,2025-10-11,,"Naruto the Movie 3: Guardians of the Crescent Moon Kingdom","Gekijô-ban Naruto: Daikôfun! Mikazukijima no animaru panikku dattebayo!",https://www.imdb.com/title/tt1071815/,Movie,6.3,95,2006,"Animation, Action, Adventure",5411,2008-11-08,"Toshiyuki Tsuru",,
27,tt10937312,2025-10-11,2025-10-11,,"The Modest Heroes of Studio Ponoc","The Modest Heroes of Studio Ponoc",https://www.imdb.com/title/tt10937312/,Short,6.5,21,2019,"Documentary, Short",120,2019-09-06,"Jorge Soto",,
28,tt15684228,2025-10-11,2025-10-11,,"Soreike! Anpanman: Hapî no Daibôken","Soreike! Anpanman: Hapî no Daibôken",https://www.imdb.com/title/tt15684228/,Movie,5.0,51,2005,"Animation, Adventure, Family, Fantasy",18,2005,"Hiroyuki Yano",,
29,tt15041652,2025-10-11,2025-10-11,,"Anpanman: Apple Boy and Everyone's Hope","Anpanman: Apple Boy and Everyone's Hope",https://www.imdb.com/title/tt15041652/,Movie,5.0,46,2014,"Animation, Adventure, Family, Fantasy",14,2021-04-16,,,
30,tt10443580,2025-10-11,2025-10-11,,"Anpanman: Shine! Kurun & The Star of Life","Anpanman: Shine! Kurun & The Star of Life",https://www.imdb.com/title/tt10443580/,Movie,5.2,62,2018,"Animation, Adventure, Family, Fantasy",12,2018-06-30,,,
31,tt0476680,2025-10-11,2025-10-11,,"Naruto the Movie: Ninja Clash in the Land of Snow","Gekijô-ban Naruto: Daikatsugeki! Yukihime ninpôchô dattebayo!!",https://www.imdb.com/title/tt0476680/,Movie,6.6,82,2004,"Animation, Action, Adventure",9088,2007-06-06,"Tensai Okamura",,
32,tt2290828,2025-10-11,2025-10-11,,"Road to Ninja - Naruto the Movie","Road to Ninja: Naruto the Movie",https://www.imdb.com/title/tt2290828/,Movie,7.6,109,2012,"Animation, Action, Adventure, Comedy, Fantasy",9204,2014-08-29,"Hayato Date",,
33,tt21825858,2025-10-11,2025-10-11,,"Call Me Chihiro","Chihiro-san",https://www.imdb.com/title/tt21825858/,Movie,6.9,131,2023,"Drama",4379,2023-02-23,"Rikiya Imaizumi",,
34,tt1703048,2025-10-11,2025-10-11,,"Naruto Shippûden: The Lost Tower","Gekijouban Naruto Shippuuden: Za rosuto tawâ",https://www.imdb.com/title/tt1703048/,Movie,6.8,85,2010,"Animation, Action, Adventure, Fantasy",4977,2013-09-17,"Masahiko Murata",,
35,tt0791188,2025-10-11,2025-10-11,,"Naruto the Movie 2: Legend of the Stone of Gelel","Gekijô-ban Naruto: Daigekitotsu! Maboroshi no chitei iseki dattebayo!",https://www.imdb.com/title/tt0791188/,Movie,6.3,97,2005,"Animation, Adventure, Comedy, Drama, Fantasy",5806,2005-08-06,"Hirotsugu Kawasaki",,
36,tt30832789,2025-10-11,2025-10-11,,"Fujii Kaze Love All Serve All Stadium Live","Fujii Kaze Love All Serve All Stadium Live",https://www.imdb.com/title/tt30832789/,Video,8.0,,2023,"Music",12,2023-07-12,"Kento Yamada",,
37,tt11991748,2025-10-11,2025-10-11,,"Rurouni Kenshin: Final Chapter Part II - The Beginning","Rurôni Kenshin: Sai shûshô - The Beginning",https://www.imdb.com/title/tt11991748/,Movie,7.4,137,2021,"Action, Adventure, Drama, History, Romance",11960,2021-06-04,"Keishi Otomo",,
38,tt18274178,2025-10-11,2025-10-11,,"Adam by Eve: A Live in Animation","Adam by Eve: A Live in Animation",https://www.imdb.com/title/tt18274178/,Movie,6.2,58,2022,"Animation, Music",628,2022-03-15,"Nobutaka Yoda, Yûichirô Saeki, Waboku, Hibiki Yoshizaki",,
39,tt1160524,2025-10-11,2025-10-11,,"Naruto Shippuden: The Movie - Bonds","Gekijô ban Naruto: Shippûden - Kizuna",https://www.imdb.com/title/tt1160524/,Movie,6.8,98,2008,"Animation, Action, Fantasy",5967,2011-10-25,"Hajime Kamegaki",,
40,tt15669576,2025-10-11,2025-10-11,,"Anpanman: Revive Banana Island!","Anpanman: Revive Banana Island!",https://www.imdb.com/title/tt15669576/,Movie,,46,2013,"Animation",0,2013,"Hiroyuki Yano",,
41,tt6587046,2025-10-11,2025-10-11,,"The Boy and the Heron","Kimi-tachi wa dô ikiru ka",https://www.imdb.com/title/tt6587046/,Movie,7.4,124,2023,"Animation, Adventure, Drama, Fantasy",102921,2023-12-08,"Hayao Miyazaki",9,2025-08-05
42,tt10621364,2025-10-11,2025-10-11,,"Let's Go! Anpanman: Sparkle! Princess Vanilla of the Land of Ice Cream","Let's Go! Anpanman: Sparkle! Princess Vanilla of the Land of Ice Cream",https://www.imdb.com/title/tt10621364/,Movie,5.9,62,2019,"Animation, Adventure, Family, Fantasy",14,2019-06-28,"Hiroyuki Yano",,
43,tt31078761,2025-10-11,2025-10-11,,"Drawing Closer","Yomei Ichinen to Senkoku Sareta Boku ga, Yomei Hantoshi no Kimi to Deatta Hanashi",https://www.imdb.com/title/tt31078761/,Movie,7.7,118,2024,"Drama, Romance",3130,2024-06-27,"Takahiro Miki",,
44,tt5914996,2025-10-11,2025-10-11,,"No Game No Life: Zero","Nôgêmu nôraifu: Zero",https://www.imdb.com/title/tt5914996/,Movie,7.3,110,2017,"Animation, Adventure, Drama, Fantasy, Romance",5149,2017-10-05,"Atsuko Ishizuka",,
45,tt31102181,2025-10-11,2025-10-11,,"The Parades","The Parades",https://www.imdb.com/title/tt31102181/,Movie,6.6,132,2024,"Drama",989,2024-02-29,"Michihito Fujii",,
46,tt10589914,2025-10-11,2025-10-11,,"The Forest of Love","Ai naki mori de sakebe",https://www.imdb.com/title/tt10589914/,Movie,6.2,151,2019,"Crime, Drama, Horror, Thriller",3153,2019-10-11,"Sion Sono",,
47,tt7476946,2025-10-11,2025-10-11,,"River's Edge","Ribâzu ejji",https://www.imdb.com/title/tt7476946/,Movie,6.2,118,2018,"Crime, Drama",1185,2018-02-16,"Isao Yukisada",,
48,tt33452974,2025-10-11,2025-10-11,,"Bullet Train Explosion","Shinkansen daibakuha",https://www.imdb.com/title/tt33452974/,Movie,6.2,134,2025,"Action, Crime, Drama, Thriller",8031,2025-04-23,"Shinji Higuchi",,
