Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Genres,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
1,Witness for the Prosecution,1957,9.531,0.749,8.4,116,"Crime, Drama, Mystery",Billy Wilder,9.799,1.031,1.6,True,False,True,0,0,0,1
2,Hotel Rwanda,2004,8.303,0.681,8.1,121,"Biography, Drama, History",Terry George,14.799,0.731,0.372,True,True,True,0,0,0,0
3,Hamilton,2020,8.147,0.677,8.3,160,"Biography, Drama, History",Thomas Kail,53.799,0.931,0.216,False,True,True,0,0,0,0
4,Downfall,2004,8.185,0.677,8.2,156,"Biography, Drama, History",Oliver Hirschbiegel,49.799,0.831,0.253,False,True,True,0,0,0,0
5,Maharaja,2024,8.285,0.662,8.4,141,"Action, Crime, Drama",Nithilan Swaminathan,34.799,1.031,0.353,False,False,True,0,0,0,0
6,American History X,1998,8.214,0.661,8.5,119,"Crime, Drama",Tony Kaye,12.799,1.131,0.283,True,False,True,0,0,0,0
7,The Hunt,2012,8.282,0.66,8.3,115,Drama,Thomas Vinterberg,8.799,0.931,0.35,True,True,True,0,0,0,0
8,Memento,2000,8.217,0.659,8.4,113,"Drama, Mystery, Thriller",Christopher Nolan,6.799,1.031,0.285,True,False,True,0,0,0,0
9,12th Fail,2023,8.077,0.658,8.7,147,"Biography, Drama",Vidhu Vinod Chopra,40.799,1.331,0.146,False,False,True,0,0,0,0
10,My Father and My Son,2005,8.267,0.657,8.2,112,"Drama, Family",Çağan Irmak,5.799,0.831,0.335,True,True,True,0,0,0,0
11,Shutter Island,2010,8.258,0.657,8.2,138,"Drama, Mystery, Thriller",Martin Scorsese,31.799,0.831,0.326,False,True,True,0,0,0,0
12,Casablanca,1942,8.113,0.656,8.5,102,"Drama, Romance, War",Michael Curtiz,-4.201,1.131,0.181,True,False,True,0,0,0,0
13,Gran Torino,2008,8.264,0.655,8.1,116,Drama,Clint Eastwood,9.799,0.731,0.333,True,True,True,0,0,0,0
14,To Kill a Mockingbird,1962,8.162,0.654,8.3,129,"Crime, Drama",Robert Mulligan,22.799,0.931,0.23,True,True,True,0,0,0,0
15,Like Stars on Earth,2007,8.158,0.654,8.3,162,"Drama, Family",Aamir Khan,55.799,0.931,0.226,False,True,True,0,0,0,0
16,Dangal,2016,8.158,0.654,8.3,161,"Action, Biography, Drama",Nitesh Tiwari,54.799,0.931,0.226,False,True,True,0,0,0,0
17,Scarface,1983,8.147,0.653,8.3,170,"Crime, Drama",Brian De Palma,63.799,0.931,0.216,False,True,True,0,0,0,0
18,Warrior,2011,8.224,0.653,8.1,140,"Action, Drama, Sport",Gavin O'Connor,33.799,0.731,0.292,False,True,True,0,0,0,0
19,Double Indemnity,1944,8.138,0.653,8.3,107,"Crime, Drama, Film-Noir",Billy Wilder,0.799,0.931,0.206,True,True,True,0,0,0,0
20,L.A. Confidential,1997,8.167,0.652,8.2,138,"Crime, Drama, Mystery",Curtis Hanson,31.799,0.831,0.236,False,True,True,0,0,0,0
21,Yojimbo,1961,8.165,0.652,8.2,110,"Action, Drama, Thriller",Akira Kurosawa,3.799,0.831,0.234,True,True,True,0,0,0,0
22,Children of Heaven,1997,8.162,0.652,8.2,89,"Drama, Family, Sport",Majid Majidi,-17.201,0.831,0.231,True,True,True,0,0,0,0
23,Judgment at Nuremberg,1961,8.12,0.652,8.3,179,"Drama, War",Stanley Kramer,72.799,0.931,0.189,False,True,True,0,0,0,0
24,For a Few Dollars More,1965,8.16,0.652,8.2,132,"Drama, Western",Sergio Leone,25.799,0.831,0.228,True,True,True,0,0,0,0
25,The Truman Show,1998,8.154,0.652,8.2,103,"Comedy, Drama",Peter Weir,-3.201,0.831,0.223,True,True,True,0,0,0,0
26,High and Low,1963,8.07,0.652,8.4,143,"Crime, Drama, Mystery",Akira Kurosawa,36.799,1.031,0.139,False,False,True,0,0,0,0
27,Das Boot,1981,8.067,0.651,8.4,149,"Drama, War",Wolfgang Petersen,42.799,1.031,0.135,False,False,True,0,0,0,0
28,The Great Dictator,1940,8.064,0.651,8.4,125,"Comedy, Drama, War",Charlie Chaplin,18.799,1.031,0.133,True,False,True,0,0,0,0
29,Rocky,1976,8.166,0.65,8.1,120,"Drama, Sport",John G. Avildsen,13.799,0.731,0.234,True,True,True,0,0,0,0
30,The Great Escape,1963,8.125,0.65,8.2,172,"Adventure, Drama, Thriller",John Sturges,65.799,0.831,0.194,False,True,True,0,0,0,0
31,The Battle of Algiers,1966,8.147,0.649,8.1,121,"Drama, War",Gillo Pontecorvo,14.799,0.731,0.216,True,True,True,0,0,0,0
32,The Sting,1973,8.105,0.649,8.2,129,"Comedy, Crime, Drama",George Roy Hill,22.799,0.831,0.173,True,True,True,0,0,0,0
33,The Father,2020,8.094,0.649,8.2,97,"Drama, Mystery",Florian Zeller,-9.201,0.831,0.163,True,True,True,0,0,0,0
34,The Grapes of Wrath,1940,8.133,0.649,8.1,129,Drama,John Ford,22.799,0.731,0.202,True,True,True,0,0,0,0
35,The Treasure of the Sierra Madre,1948,8.09,0.649,8.2,126,"Adventure, Drama, Western",John Huston,19.799,0.831,0.159,True,True,True,0,0,0,0
36,Before Sunset,2004,8.129,0.648,8.1,80,"Drama, Romance",Richard Linklater,-26.201,0.731,0.197,True,True,True,0,0,0,0
37,In the Name of the Father,1993,8.127,0.648,8.1,133,"Biography, Crime, Drama",Jim Sheridan,26.799,0.731,0.195,True,True,True,0,0,0,0
38,Stand by Me,1986,8.111,0.648,8.1,89,"Adventure, Comedy, Drama",Rob Reiner,-17.201,0.731,0.179,True,True,True,0,0,0,0
39,Ikiru,1952,8.028,0.647,8.3,143,Drama,Akira Kurosawa,36.799,0.931,0.096,False,True,True,0,0,0,0
40,Ford v Ferrari,2019,8.089,0.646,8.1,152,"Action, Biography, Drama",James Mangold,45.799,0.731,0.158,False,True,True,0,0,0,0
41,The Best Years of Our Lives,1946,8.046,0.644,8.1,170,"Drama, Romance, War",William Wyler,63.799,0.731,0.115,False,True,True,0,0,0,0
42,The Wages of Fear,1953,8.032,0.644,8.1,156,"Adventure, Drama, Thriller",Henri-Georges Clouzot,49.799,0.731,0.1,False,True,True,0,0,0,0
43,Mr. Smith Goes to Washington,1939,8.019,0.643,8.1,129,"Comedy, Drama",Frank Capra,22.799,0.731,0.087,True,True,True,0,0,0,0
44,The Kid,1921,7.947,0.641,8.2,68,"Comedy, Drama, Family",Charlie Chaplin,-38.201,0.831,0.016,False,True,True,0,0,0,0
45,The Gold Rush,1925,7.987,0.641,8.1,95,"Adventure, Comedy, Drama",Charlie Chaplin,-11.201,0.731,0.056,True,True,True,0,0,0,0
46,American Sniper,2014,8.15,0.633,7.3,133,"Action, Biography, Drama",Clint Eastwood,26.799,-0.069,0.218,True,True,True,0,0,0,0
47,American Sniper,2014,8.15,0.633,7.3,133,"Action, Biography, Drama",Clint Eastwood,26.799,-0.069,0.218,True,True,True,0,0,0,0
48,American Sniper,2014,8.15,0.633,7.3,133,"Action, Biography, Drama",Clint Eastwood,26.799,-0.069,0.218,True,True,True,0,0,0,0
49,American Sniper,2014,8.15,0.633,7.3,133,"Action, Biography, Drama",Clint Eastwood,26.799,-0.069,0.218,True,True,True,0,0,0,0
50,The Chaos Class Failed the Class,1975,7.839,0.62,8.9,95,Comedy,Ertem Eğilmez,-11.201,1.531,-0.092,True,False,True,0,0,0,0
51,Star Wars: Episode V - The Empire Strikes Back,1980,7.906,0.619,8.7,124,"Action, Adventure, Fantasy",Irvin Kershner,17.799,1.331,-0.026,True,False,True,0,0,0,0
52,Star Wars: Episode V - The Empire Strikes Back,1980,7.906,0.619,8.7,124,"Action, Adventure, Fantasy",Irvin Kershner,17.799,1.331,-0.026,True,False,True,0,0,0,0
53,Star Wars: Episode V - The Empire Strikes Back,1980,7.906,0.619,8.7,124,"Action, Adventure, Fantasy",Irvin Kershner,17.799,1.331,-0.026,True,False,True,0,0,0,0
54,Star Wars: Episode V - The Empire Strikes Back,1980,7.906,0.619,8.7,124,"Action, Adventure, Fantasy",Irvin Kershner,17.799,1.331,-0.026,True,False,True,0,0,0,0
55,Star Wars: Episode V - The Empire Strikes Back,1980,7.906,0.619,8.7,124,"Action, Adventure, Fantasy",Irvin Kershner,17.799,1.331,-0.026,True,False,True,0,0,0,0
56,Star Wars: Episode V - The Empire Strikes Back,1980,7.906,0.619,8.7,124,"Action, Adventure, Fantasy",Irvin Kershner,17.799,1.331,-0.026,True,False,True,0,0,0,0
57,Star Wars: Episode V - The Empire Strikes Back,1980,7.906,0.619,8.7,124,"Action, Adventure, Fantasy",Irvin Kershner,17.799,1.331,-0.026,True,False,True,0,0,0,0
58,Star Wars: Episode V - The Empire Strikes Back,1980,7.906,0.619,8.7,124,"Action, Adventure, Fantasy",Irvin Kershner,17.799,1.331,-0.026,True,False,True,0,0,0,0
59,Star Wars: Episode V - The Empire Strikes Back,1980,7.906,0.619,8.7,124,"Action, Adventure, Fantasy",Irvin Kershner,17.799,1.331,-0.026,True,False,True,0,0,0,0
60,Terminator 2: Judgment Day,1991,7.881,0.616,8.6,137,"Action, Adventure, Sci-Fi",James Cameron,30.799,1.231,-0.051,False,False,True,0,0,0,0
61,Terminator 2: Judgment Day,1991,7.881,0.616,8.6,137,"Action, Adventure, Sci-Fi",James Cameron,30.799,1.231,-0.051,False,False,True,0,0,0,0
62,Terminator 2: Judgment Day,1991,7.881,0.616,8.6,137,"Action, Adventure, Sci-Fi",James Cameron,30.799,1.231,-0.051,False,False,True,0,0,0,0
63,Terminator 2: Judgment Day,1991,7.881,0.616,8.6,137,"Action, Adventure, Sci-Fi",James Cameron,30.799,1.231,-0.051,False,False,True,0,0,0,0
64,Raiders of the Lost Ark,1981,7.946,0.615,8.4,115,"Action, Adventure",Steven Spielberg,8.799,1.031,0.015,True,False,True,0,0,0,0
65,Back to the Future,1985,7.886,0.614,8.5,116,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,9.799,1.131,-0.045,True,False,True,0,0,0,0
