Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Genres,Director,Plot,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Has_Female_Strength,Has_Male_Gaze,Has_Oscar,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance
1,American Sniper,2014,8.15,0.633,7.3,133,"Action, Biography, Drama",Clint Eastwood,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave b...",0,0,0,0,0,0,1,3,1,0,0,0,0
2,Star Wars: Episode V - The Empire Strikes Back,1980,7.906,0.619,8.7,124,"Action, Adventure, Fantasy",Irvin Kershner,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",0,0,0,0,1,0,1,3,0,0,0,0,0
3,Terminator 2: Judgment Day,1991,7.881,0.616,8.6,137,"Action, Adventure, Sci-Fi",James Cameron,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",0,0,0,0,1,0,1,3,0,0,0,0,0
4,Skyfall,2012,8.044,0.608,7.8,143,"Action, Adventure, Thriller",Sam Mendes,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",0,0,0,0,1,0,1,3,0,0,0,0,0
5,Jaws,1975,7.865,0.605,8.1,124,"Adventure, Horror, Thriller",Steven Spielberg,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",0,0,0,0,0,0,1,3,0,0,0,0,0
6,E.T. the Extra-Terrestrial,1982,7.863,0.601,7.9,115,"Adventure, Family, Sci-Fi",Steven Spielberg,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,0,0,0,0,0,0,1,3,0,0,0,0,0
7,Aladdin,1992,7.809,0.6,8.0,90,"Animation, Adventure, Comedy","Ron Clements, John Musker",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,0,0,0,0,0,0,1,3,0,1,0,0,0
8,King Kong,2005,7.627,0.575,7.2,187,"Action, Adventure, Romance",Peter Jackson,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",0,0,0,0,0,0,1,3,0,0,0,0,1
9,Tarzan,1999,7.522,0.572,7.3,88,"Animation, Adventure, Comedy","Chris Buck, Kevin Lima",A man raised by gorillas must decide where he really belongs when he discovers he is a human.,0,0,0,0,1,0,1,3,0,1,0,0,0
10,Spectre,2015,7.7,0.561,6.8,148,"Action, Adventure, Thriller",Sam Mendes,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his mos...",0,0,0,0,0,1,1,3,0,0,0,0,0
11,Suicide Squad,2016,6.858,0.501,5.9,123,"Action, Adventure, Fantasy",David Ayer,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,0,0,0,0,0,1,1,3,0,0,0,0,0
