Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
1,Akira,1988,5.96,0.378,0,124,17.799,-7.369,-1.971,True,False,False,0,0,0,0
2,Alcarràs,2022,7.13,0.436,0,120,13.799,-7.369,-0.801,True,False,False,0,0,0,0
3,April,1998,5.33,0.316,0,78,-28.201,-7.369,-2.601,True,False,False,0,0,0,0
4,Bear Story,2014,5.99,0.35,0,11,-95.201,-7.369,-1.941,False,False,False,0,0,0,0
5,Beast,2022,6.969,0.428,0,93,-13.201,-7.369,-0.963,True,False,False,0,0,0,0
6,Beating Hearts,2024,7.09,0.434,0,166,59.799,-7.369,-0.841,False,False,False,0,0,0,0
7,Blackbird Blackbird Blackberry,2023,7.06,0.457,0,110,3.799,-7.369,-0.871,True,False,False,0,0,0,1
8,Blue Velvet,1986,6.02,0.381,0,120,13.799,-7.369,-1.911,True,False,False,0,0,0,0
9,Bring Them Down,2024,7.03,0.432,0,106,-0.201,-7.369,-0.901,True,False,False,0,0,0,0
10,Crossing,2024,7.03,0.432,0,106,-0.201,-7.369,-0.901,True,False,False,0,0,0,0
11,Crossing the Bridge: The Sound of Istanbul,2005,5.13,0.33,0,90,-16.201,-7.369,-2.801,True,False,False,0,0,0,0
12,Dahomey,2024,6.29,0.364,0,68,-38.201,-7.369,-1.641,False,False,False,0,0,0,0
13,Desire Pie,1977,5.32,0.316,0,5,-101.201,-7.369,-2.611,False,False,False,0,0,0,0
14,Dogville,2003,5.91,0.375,0,171,64.799,-7.369,-2.021,False,False,False,0,0,0,0
15,Don't Let Them Shoot the Kite,1989,5.919,0.376,0,85,-21.201,-7.369,-2.013,True,False,False,0,0,0,0
16,Fallen Angels,1995,5.92,0.376,0,99,-7.201,-7.369,-2.011,True,False,False,0,0,0,0
17,Fallen Leaves,2023,7.009,0.43,0,81,-25.201,-7.369,-0.923,True,False,False,0,0,0,0
18,Faya Dayi,2021,7.101,0.435,0,120,13.799,-7.369,-0.83,True,False,False,0,0,0,0
19,Four Days in September,1997,5.88,0.398,0,110,3.799,-7.369,-2.051,True,False,False,0,0,0,0
20,Fruits of Passion,1981,5.909,0.375,0,83,-23.201,-7.369,-2.023,True,False,False,0,0,0,0
