Rank,Title,Year,Predicted_Rating,Recommendation_Score,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Award_Count,Awards,Writer,Actors,Plot,Language,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
1,Akira,1988,5.96,0.378,R,R,16 Jul 1988,124 min,124,"Animation, Action, Drama",Animation,Action,0,8.0,220198,68,1,1 win total,"Katsuhiro Ôtomo, Izô Hashimoto","Mitsuo Iwata, Nozomu Sasaki, Mami Koyama","2019. 31 years after being destroyed during World War 3, Tokyo (now 'Neo-Tokyo') has been rebuilt and is a thriving metropolis. Shotaro Kaneda is the leader of a biker gang. His friend Tetsuo is injured in an accident and taken to a top-secret government facility. He develops telekinetic powers but decides to use them for evil rather than good. He has the same powers as Akira, the force that destroyed Tokyo in 1988, and now it appears that history will repeat itself.",Japanese,tt0094625,movie,N/A,"$553,171",N/A,"emotional, exciting",slow,intimate,friendship,male,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,1,0,0,0,0,1,0,0
2,Alcarràs,2022,7.13,0.436,N/A,N/A,24 Feb 2023,120 min,120,Drama,Drama,Unknown,0,7.0,8473,85,2,21 wins & 56 nominations total,"Carla Simón, Arnau Vilaró","Josep Abad, Jordi Pujol Dolcet, Anna Otin","The life of a family of peach farmers in a small village in Catalonia changes when the owner of their large estate dies and his lifetime heir decides to sell the land, suddenly threatening their livelihood.","Catalan, Spanish, English",tt11930126,movie,N/A,"$41,093",N/A,emotional,medium,intimate,family,male,linear,neutral,redemption,original,low,minimal,medium,0,0,0,0,0,1,0,0,0,0,0,0,0
3,April,1998,5.33,0.316,Unrated,Unrated,27 Mar 1998,78 min,78,"Biography, Comedy",Biography,Comedy,0,6.9,3701,0,2,2 wins & 10 nominations,Nanni Moretti,"Nanni Moretti, Silvio Orlando, Silvia Nono","Nanni, a renowned director, is working on a musical when suddenly he has a change of heart and cancels the film on the first shooting day. He has a new idea, making a documentary about the Italian national elections, but work isn't going very fast, much to the frustration of the crew. Nanni can't stop thinking, worrying and getting excited about the birth and early days of life of his newborn son, yet is torn by his sense of obligation to make the documentary.","Italian, English, French",tt0118635,movie,N/A,N/A,N/A,funny,fast,conventional,love,male,linear,neutral,redemption,original,low,minimal,medium,0,0,0,0,0,0,1,0,0,0,0,0,0
4,Bear Story,2014,5.99,0.35,G,G,23 Feb 2016,11 min,11,"Animation, Short, Adventure",Animation,Short,0,7.7,3713,0,1,Won 1 Oscar. 7 wins total,"Daniel Castro, Gabriel Osorio Vargas",N/A,"Every day, a melancholy old bear takes a mechanical diorama that he has created out to his street corner. For a coin, passersby can look into the peephole of his invention, which tells the story of a circus bear who longs to escape and return to the family from which he was taken.",None,tt3829254,movie,N/A,N/A,N/A,exciting,fast,conventional,family,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Beast,2022,6.969,0.428,R,R,19 Aug 2022,93 min,93,"Action, Adventure, Drama",Action,Adventure,0,5.6,46925,54,1,2 nominations total,"Jaime Primak Sullivan, Ryan Engle","Liyabuya Gongo, Martin Munro, Daniel Hadebe",A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the savanna has but one apex predator.,English,tt13223398,movie,N/A,"$31,846,530",N/A,"emotional, exciting",fast,intimate,general,male,linear,neutral,self-discovery,original,medium,CGI_heavy,high,0,0,0,0,0,1,0,0,0,0,1,1,0
6,Beating Hearts,2024,7.09,0.434,N/A,N/A,16 Oct 2024,166 min,166,"Crime, Drama, Romance",Crime,Drama,0,7.0,6717,50,2,2 wins & 16 nominations total,"Gilles Lellouche, Ahmed Hamidi, Audrey Diwan","Adèle Exarchopoulos, François Civil, Malik Frikah","Local rebellious teenager Clotaire falls for his schoolmate Jackie, but gang violence leads him to a darker destructive path. After years apart, the star-crossed lovers discover that every path they've taken leads them back together.","French, English",tt27490099,movie,N/A,N/A,N/A,"dark, emotional",epic,intimate,"coming-of-age, love",male,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,1,0,1,0,1,0,0,0
7,Blackbird Blackbird Blackberry,2023,7.06,0.457,N/A,N/A,14 May 2024,110 min,110,Drama,Drama,Unknown,0,7.0,1387,0,2,14 wins & 8 nominations total,"Nikoloz Mdivani, Tamta Melashvili, Elene Naveriani","Eka Chavleishvili, Temiko Chichinadze, Lia Abuladze","Etero, 48, single in a Georgian village, encounters gossip. She unexpectedly falls for a man, caught between a relationship or independence. She navigates her emotions while grappling with societal norms, searching for happiness.",Georgian,tt27737950,movie,N/A,N/A,N/A,emotional,medium,intimate,love,female,linear,neutral,minimal,original,low,minimal,medium,0,0,0,1,0,1,0,0,0,0,0,0,0
8,Blue Velvet,1986,6.02,0.381,R,R,23 Oct 1986,120 min,120,"Crime, Drama, Mystery",Crime,Drama,0,7.7,234565,75,2,Nominated for 1 Oscar. 18 wins & 18 nominations total,David Lynch,"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper","College student Jeffrey Beaumont returns to his idyllic hometown of Lumberton to manage his father's hardware store while his father is hospitalized. Walking though a grassy meadow near the family home, Jeffrey finds a severed human ear. After an initial investigation, lead police Detective John Williams advises Jeffrey not to speak to anyone about the case as they investigate further. Detective Williams also tells Jeffrey that he cannot divulge any information about what the police know. Detective Williams' high school aged daughter, Sandy Williams, tells Jeffrey what she knows about the case from overhearing her father's private conversations on the matter: that it has to do with a nightclub singer named Dorothy Vallens, who lives in an older apartment building near the Beaumont home. His curiosity getting the better of him, Jeffrey, with Sandy's help, decides to find out more about the woman at the center of the case by breaking into Dorothy's apartment while he knows she's at work. What Jeffrey finds is a world unfamiliar to him, one that he doesn't truly understand but one that he is unable to deny the lure of despite the inherent dangers of being associated with a possible murder. Still, he is torn between this world and the prospect of a relationship with Sandy, the two who are falling for each other, despite Sandy already being in a relationship with Mike, the school's star football player.",English,tt0090756,movie,N/A,"$8,551,228",N/A,"dark, suspenseful, emotional",medium,"intimate, surreal","family, love",female,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1,0,1,0,0,0,0,0
9,Bring Them Down,2024,7.03,0.432,R,R,28 Mar 2025,106 min,106,"Drama, Thriller",Drama,Thriller,0,6.5,2608,63,2,4 wins & 4 nominations total,"Chris Andrews, Jonathan Hourigan","Christopher Abbott, Barry Keoghan, Colm Meaney","An Irish shepherding family thrust into battle on several fronts: internal strife, hostility within the family, rivalry with another farmer. Paternalism, heritage, and the generational trauma cycle through the cultural prism of Ir...","English, Irish Gaelic",tt14186876,movie,N/A,"$336,339",N/A,"suspenseful, emotional",fast,intimate,family,unknown,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Crossing,2024,7.03,0.432,N/A,N/A,19 Jul 2024,106 min,106,Drama,Drama,Unknown,0,7.5,3415,83,2,7 wins & 8 nominations total,Levan Akin,"Mzia Arabuli, Lucas Kankava, Deniz Dumanli","Lia, a retired teacher, has promised to find her long-lost niece, Tekla. Her search takes her to Istanbul where she meets Evrim, a lawyer fighting for trans rights, and Tekla starts to feel closer than ever.","Georgian, Turkish, English",tt27417166,movie,N/A,"$74,604",N/A,emotional,medium,intimate,justice,female,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1,0,0,0,0,0,0,0
