Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
1,200 Meters,2020,8.031,0.626,7.2,96.0,Ameen Nayfeh,-10.201,-0.169,0.099,True,True,True,0,0,0,0
2,"4 Months, 3 Weeks and 2 Days",2007,8.254,0.651,7.9,113.0,Cristian Mungiu,6.799,0.531,0.323,True,True,True,0,0,0,0
3,A Useful Life,2010,7.837,0.6,6.4,67.0,Federico Veiroj,-39.201,-0.969,-0.094,False,True,False,0,0,0,0
4,Adam,2019,8.065,0.627,7.2,98.0,Maryam Touzani,-8.201,-0.169,0.133,True,True,True,0,0,0,0
5,Alba,2016,7.997,0.614,6.7,98.0,Ana Cristina Barragán,-8.201,-0.669,0.065,True,True,True,0,0,0,0
6,Alsino and the Condor,1982,7.456,0.577,6.2,89.0,Miguel Littin,-17.201,-1.169,-0.475,True,False,False,0,0,0,0
7,Antes que cante el gallo,2016,8.047,0.628,7.3,98.0,Ari Maniel Cruz,-8.201,-0.069,0.115,True,True,True,0,0,0,0
8,Beauty and the Dogs,2017,8.125,0.628,7.1,100.0,Kaouther Ben Hania,-6.201,-0.269,0.193,True,True,True,0,0,0,0
9,Birds of Passage,2018,8.238,0.642,7.5,125.0,"Cristina Gallego, Ciro Guerra",18.799,0.131,0.306,True,True,True,0,0,0,0
10,Black November,2012,7.374,0.555,5.3,95.0,Jeta Amata,-11.201,-2.069,-0.557,True,False,False,0,0,0,0
11,Bread and Salt,2022,8.405,0.636,6.8,100.0,Damian Kocur,-6.201,-0.569,0.473,True,True,True,0,0,0,0
12,Cairo 678,2010,8.181,0.637,7.4,100.0,Mohamed Diab,-6.201,0.031,0.249,True,True,True,0,0,0,0
13,Children of Nature,1991,7.806,0.614,7.2,82.0,Friðrik Þór Friðriksson,-24.201,-0.169,-0.126,True,True,True,0,0,0,0
