Rank,Title,Year,Predicted_Rating,Recommendation_Score,Keywords_From_CSV,Female_Critiques_From_CSV,Hours_Themes_Alignment_From_CSV,Awards_From_CSV,Narrative_Type_From_CSV,Director,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Has_Oscar,Award_Count,Awards,Writer,Actors,Plot,Language,Country,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
1,200 Meters,2020,8.031,0.626,,,,,,Ameen Nayfeh,N/A,N/A,18 Nov 2022,96 min,96.0,"Adventure, Drama",Adventure,Drama,7.2,7.2,2380,0.0,0.0,2.0,19 wins & 6 nominations total,Ameen Nayfeh,"Ali Suliman, Anna Unterberger, Motaz Malhees","Mustafa and his wife Salwa come from two Palestinian villages that are only 200 meters apart, but separated by the wall. Their unusual living situation is starting to affect their otherwise happy marriage, but the couple does what they can to make it work. Every night, Mustafa flashes a light from his balcony to wish his children on the other side a goodnight, and they signal him back. One day Mustafa gets a call that every parent dreads: his son has been in an accident. He rushes to the checkpoint where he must agonizingly wait in line only to find out there is a problem with his fingerprints and is denied entry. Desperate, Mustafa resorts to hiring a smuggler to bring him across. His once 200-meter journey becomes a 200-kilometer odyssey.","Arabic, English, Hebrew","Occupied Palestinian Territory, Italy, Turkey, Sweden, Jordan",tt12246266,movie,N/A,N/A,N/A,"emotional, exciting",medium,intimate,family,male,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,"4 Months, 3 Weeks and 2 Days",2007,8.254,0.651,"Communist Romania, Abortion, Friendship, Oppression","A harrowing, feminist masterpiece exposing the horrors of controlling female bodies.","Complex Female Narrative: A harrowing, real-time look at female solidarity and the brutal realities of controlling female bodies. The narrative is entirely driven by the women's actions and suffering. Anguish: The core of the film is pure, visceral anguish—fear, pain, and moral compromise under oppression. Artistic Expression: Cristian Mungiu's unflinching long takes and minimalist style create an immersive, almost unbearable intimacy.",Palme d'Or (Cannes),Female (Two friends seeking an abortion),Cristian Mungiu,Not Rated,Not Rated,14 Sep 2007,113 min,113.0,Drama,Drama,Unknown,7.9,7.9,64762,97.0,0.0,2.0,41 wins & 59 nominations total,Cristian Mungiu,"Anamaria Marinca, Laura Vasiliu, Vlad Ivanov","Romania, 1987, the brutal Ceausescu communist regime is in place; birth control is illegal and abortion is a crime punishable by death. Gabita (Laura Vasliu) is almost five months into an unwanted pregnancy and in meek desperation turns to her friend and roommate, Otilia (Anamaria Marinca) for help in organizing an illegal termination. Unfortunate circumstances force the two women to use an unwanted male abortionist, Bebe (Vlad Ivanov). The bleakness of the storyline expresses a dark socio-political critique in the twilight years of a repressive dictatorship.",Romanian,"Romania, Netherlands",tt1032846,movie,N/A,"$1,198,208",N/A,"emotional, dark",medium,intimate,friendship,ensemble,linear,tragic,minimal,original,low,minimal,medium,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A Useful Life,2010,7.837,0.6,"Cinematheque, Midlife Crisis, Cinema's Decline, Quiet",N/A (Primarily male-centric narrative),"Limited Alignment: A charming, low-key character study of a male cinematheque programmer.","Toronto, Gijón",Male,Federico Veiroj,Unrated,Unrated,14 Jan 2011,67 min,67.0,Drama,Drama,Unknown,6.4,6.4,1042,0.0,0.0,2.0,8 wins & 6 nominations,"Inés Bortagaray, Gonzalo Delgado, Arauco Hernández Holz","Felipe Arocena, Gonzalo Delgado, Jorge Jellinek",A movie-theater employee adjusts to a new life after the cinema he worked at for over 25 years is forced to shut down.,Spanish,"Uruguay, Spain",tt1719497,movie,N/A,N/A,N/A,emotional,fast,intimate,general,male,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Adam,2019,8.065,0.627,,,,,,Maryam Touzani,Not Rated,Not Rated,05 Mar 2021,98 min,98.0,Drama,Drama,Unknown,7.2,7.2,2092,74.0,0.0,2.0,11 wins & 20 nominations total,Maryam Touzani,"Lubna Azabal, Nisrin Erradi, Douae Belkhaouda","Abla runs a modest local bakery from her home in Casablanca where she lives alone with her 8-year-old daughter, Warda. When Samia, a young pregnant woman knocks on their door, Abla is far from imagining that her life will change forever.",Arabic,"Morocco, France, Belgium, Qatar",tt10199664,movie,N/A,N/A,N/A,emotional,medium,intimate,general,female,linear,neutral,redemption,original,low,minimal,high,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alba,2016,7.997,0.614,"Adolescence, Shyness, Family Dysfunction, Coming-of-age","A quiet, observant look at a young girl's internal world.","Alignment: Focuses on the complex interiority and emotional depth of a silent, observant adolescent girl.",San Sebastian (New Directors),Female,Ana Cristina Barragán,Not Rated,Not Rated,28 Oct 2016,98 min,98.0,"Drama, Family",Drama,Family,6.7,6.7,478,0.0,0.0,2.0,3 wins & 7 nominations,Ana Cristina Barragán,"Macarena Arias, Pablo Aguirre Andrade, Amaia Merino","Alba, 11 years old, passes her days in silence. She loves little animals. She has learned to cope with her mother's illness, helping her to use the bathroom. Alba plays silently so that her mother can rest during the day. One night Alba's mother gets worse, and has to be taken to the hospital. With no one else to take care of her, Alba is sent to live with her father, who she hasn't seen since she was three years old. Living with her father is almost unbearable. Embarrassment, her first kiss, visits to mother in the hospital, Edgar's tender efforts to get close to her, and bullying at school; these are some of the experiences that pave Alba's journey to puberty and to self-acceptance.",Spanish,"Ecuador, Mexico, Greece",tt4572682,movie,N/A,N/A,N/A,emotional,medium,intimate,love,female,linear,neutral,growth,original,low,minimal,high,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Alsino and the Condor,1982,7.456,0.577,"Nicaraguan Revolution, Boy, War, Dreams, Flying",N/A (Primarily male-centric narrative),Limited Alignment: An allegorical war story seen through the eyes of a young boy.,Oscar Nominee,Male,Miguel Littin,R,R,N/A,89 min,89.0,"Drama, War",Drama,War,6.2,6.2,354,0.0,1.0,2.0,Nominated for 1 Oscar. 1 win & 1 nomination total,"Isidora Aguirre, Miguel Littin, Pedro Prado","Dean Stockwell, Alan Esquivel, Carmen Bunster","Alsino, a boy of 10 or 12, lives with his grandmother in a remote area of Nicaragua. He's engulfed in the war between rebels and government troops when a US advisor orders the army to open a staging area by the boy's hamlet. Alsino tries to be a child, climbing trees with a girl, looking through his grandfather's trunk of mementos and trying to fly; he goes to town to sell a saddle, has his first drink and is taken to a brothel. But the war surrounds him. The US advisor takes Alsino on a chopper flight, but he's unimpressed. The soldiers' cruelties awake rebel sympathies in Alsino, and after an army assault backfires, the lad is fully baptized into the conflict.","Spanish, English","Nicaragua, Cuba, Mexico, Costa Rica",tt0083543,movie,N/A,N/A,N/A,emotional,fast,"epic, intimate",family,male,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Antes que cante el gallo,2016,8.047,0.628,,,,,,Ari Maniel Cruz,N/A,N/A,08 Sep 2016,98 min,98.0,Drama,Drama,Unknown,7.3,7.3,223,0.0,0.0,0.0,N/A,Kisha Tikina Burgos,"Cordelia González, Miranda Purcell, Kisha Tikina Burgos","Teenager Carmín's dream of moving to the city with her mother Doris vanishes when she moves to the US with her new husband. Now she grows and lives in Barranquitas, a mountainous village in the center of Puerto Rico, with her grandmother, a tough and conservative woman. The arrival of her father Rubén after long years in prison eases her profound sadness. The relationship with him, however, brings its own ambiguousness and complexities. Now she must learn to live between abandonment and carefulness; amidst absence, desire and love.",Spanish,Puerto Rico,tt5354386,movie,N/A,N/A,N/A,emotional,medium,intimate,"love, coming-of-age",female,surreal,ambiguous,growth,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Beauty and the Dogs,2017,8.125,0.628,"Sexual Assault, Police Corruption, One Night, Real-Time","A harrowing, real-time account of a woman fighting for justice.","Anguish & Female Narrative: A visceral, claustrophobic film about the aftermath of trauma. The protagonist's relentless fight to author her own story against a hostile system is profoundly aligned with The Hours.",Cannes (Un Certain Regard),Female,Kaouther Ben Hania,TV-MA,TV-MA,18 Oct 2017,100 min,100.0,"Crime, Drama, Thriller",Crime,Drama,7.1,7.1,2802,65.0,0.0,2.0,1 win & 5 nominations total,"Kaouther Ben Hania, Meriem Ben Mohamed, Ava Djamshidi","Mariam Al Ferjani, Ghanem Zrelli, Noomen Hamda","During a student party, Mariam, a young Tunisian woman, meets the mysterious Youssef and leaves with him. A long night will begin, during which she'll have to fight for her rights and her dignity. But how can Justice be made when it lies on the side of the tormentors?",Arabic,"Tunisia, France, Sweden, Norway, Lebanon, Qatar, Switzerland",tt6776572,movie,N/A,"$8,915",N/A,"emotional, suspenseful, dark",fast,intimate,justice,female,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,Birds of Passage,2018,8.238,0.642,"Indigenous, Drug Trade, Tradition, Family, Greed",Co-directed by a woman; focuses on matriarchal power within a clan.,,Cannes Directors' Fortnight,Balanced (Clan's downfall in drug trade),"Cristina Gallego, Ciro Guerra",Not Rated,Not Rated,13 Feb 2019,125 min,125.0,"Crime, Drama",Crime,Drama,7.5,7.5,13373,85.0,0.0,2.0,30 wins & 42 nominations,"Maria Camila Arias, Jacques Toulemonde Vidal, Cristina Gallego","Carmiña Martínez, José Acosta, Natalia Reyes","In the 70s, as the American youth embraces hippie culture, marijuana bonanza hits Colombia, quickly turning farmers into seasoned businessmen. In the Guajira desert, a Wayuu indigenous family takes a leading role in this new venture, and discovers the perks of wealth and power. But when greed, passion, and honor blend together, a fratricidal war breaks out and will soon put their family, their lives and their ancestral traditions at stake.","Wayuu, Spanish, English","Colombia, Denmark, Mexico, Germany, Switzerland, France",tt6386748,movie,N/A,"$507,259",N/A,"emotional, dark",slow,intimate,family,unknown,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,Black November,2012,7.374,0.555,,,,,,Jeta Amata,TV-14,TV-14,09 Jan 2015,95 min,95.0,"Action, Crime, Drama",Action,Crime,5.3,5.3,735,31.0,0.0,2.0,3 wins & 3 nominations total,Jeta Amata,"Mbong Amata, Enyinna Nwigwe, Hakeem Kae-Kazim","A volatile, oil-rich Nigerian community wages war against their corrupt government and a multi-national oil corporation to protect their land from being destroyed by excessive drilling and spills. To seek justice, a rebel organization kidnaps an American oil executive and demands that his corporation end the destruction and pollution. Inspired by true events, Black November is the gripping story of how a community rises up and takes drastic measures to make sure their voices are heard.",English,"Nigeria, United States",tt2147225,movie,N/A,"$5,782",N/A,"emotional, exciting, dark",fast,intimate,justice,male,linear,neutral,tragedy,original,low,CGI_heavy,medium,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
