Rank,Title,Year,Predicted_Rating,Recommendation_Score,Keywords_From_CSV,Female_Critiques_From_CSV,Hours_Themes_Alignment_From_CSV,Awards_From_CSV,Narrative_Type_From_CSV,Director,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Has_Oscar,Award_Count,Awards,Writer,Actors,Plot,Language,Country,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
1,18225,0.0,5.31,0.315,,,,,,Wong Kar-Wai,N/A,,12,0 min,0,,,,0.0,0.0,0,,,,,,,"Drama, Family",,,7.6,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,19525,0.0,5.31,0.315,,,,,,Walter Salles,N/A,,15,0 min,0,,,,0.0,0.0,0,,,,,,,"Comedy, Crime, Drama",,,7.1,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,2003,2021.0,7.01,0.43,,,,,,Harris Dickinson,N/A,N/A,N/A,13 min,13,"Short, Drama",Short,Drama,0.0,0.0,72,0.0,0.0,0.0,N/A,Harris Dickinson,"Patrick Gibson, Andrew Tiernan, Olivia Brady","Before embarking on his first tour of duty, a young soldier and his father must face up to the painful realities that have long gone unspoken between them.",English,United Kingdom,tt14045378,movie,N/A,N/A,N/A,emotional,fast,intimate,general,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20092,0.0,5.31,0.315,,,,,,Haifaa Al-Mansour,N/A,,10,0 min,0,,,,0.0,0.0,0,,,,,,,Drama,,,7.9,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,26,2005.0,5.19,0.388,,,,,,Stephanie Faust,N/A,N/A,13 May 2005,12 min,12,"Short, Action, Musical",Short,Action,3.9,3.9,17,0.0,0.0,0.0,N/A,Stephanie Faust,"Sarmarie Klein, Kevin Lucero Less, Randall Stanton","Three flappers plan to steal their boss's cash, but teamwork is a deadly game.",English,United States,tt1243920,movie,N/A,N/A,N/A,exciting,fast,conventional,general,unknown,linear,neutral,minimal,original,low,CGI_heavy,low,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,29306,0.0,5.31,0.315,,,,,,Ingmar Bergman,N/A,,3,0 min,0,,,,0.0,0.0,0,,,,,,,"Comedy, Drama, Mystery, Sci-Fi, Thriller",,,7.0,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,30188,0.0,5.31,0.315,,,,,,Pedro Almodóvar,N/A,,11,0 min,0,,,,0.0,0.0,0,,,,,,,Drama,,,7.8,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,34034,0.0,5.31,0.315,,,,,,Park Chan-wook,N/A,,9,0 min,0,,,,0.0,0.0,0,,,,,,,Drama,,,8.0,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,39154,0.0,5.31,0.315,,,,,,Alfred Hitchcock,N/A,,2,0 min,0,,,,0.0,0.0,0,,,,,,,"Crime, Drama, Romance",,,7.4,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,48830,0.0,5.31,0.315,,,,,,Volker Schlöndorff,N/A,,16,0 min,0,,,,0.0,0.0,0,,,,,,,Drama,,,7.9,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,8640,0.0,5.31,0.315,,,,,,"Alexey Chupov, Natasha Merkulova",N/A,,13,0 min,0,,,,0.0,0.0,0,,,,,,,"Crime, Drama, Mystery",,,6.7,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,92502,0.0,5.31,0.315,,,,,,Jean-Luc Godard,N/A,,14,0 min,0,,,,0.0,0.0,0,,,,,,,"Crime, Drama, Thriller",,,7.9,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,9384,0.0,5.31,0.315,,,,,,Sabrina Chemloul,N/A,,17,0 min,0,,,,0.0,0.0,0,,,,,,,"Drama, Romance",,,7.5,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
