Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
1,12,2007,5.28,0.314,0.0,0,Nikita Mikhalkov,-106.201,-7.369,-2.651,False,False,False,0,0,0,0
2,1987: When the Day Comes,2017,6.09,0.354,0.0,0,Jang Joon-hwan,-106.201,-7.369,-1.841,False,False,False,0,0,0,0
3,200 Pounds Beauty,2006,5.26,0.313,0.0,0,Kim Yong-hwa,-106.201,-7.369,-2.671,False,False,False,0,0,0,0
4,23,1998,5.38,0.319,0.0,0,Hans-Christian Schmid,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
5,3 Faces,2018,6.18,0.359,0.0,0,Jafar Panahi,-106.201,-7.369,-1.751,False,False,False,0,0,0,0
6,3-Iron,2004,5.29,0.314,0.0,0,Kim Ki-duk,-106.201,-7.369,-2.641,False,False,False,0,0,0,0
7,71 Fragments of a Chronology of Chance,1994,5.33,0.316,0.0,0,Michael Haneke,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
8,92 Legendary La Rose Noire,1992,5.33,0.316,0.0,0,Jeffrey Lau,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
9,A Better Tomorrow,1986,5.32,0.316,0.0,0,John Woo,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
10,A Bittersweet Life,2005,5.25,0.312,0.0,0,Kim Jee-woon,-106.201,-7.369,-2.681,False,False,False,0,0,0,0
11,A Chinese Ghost Story,1987,5.32,0.316,0.0,0,Siu-Tung Ching,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
12,A Chinese Odyssey: Part One - Pandora's Box,1995,5.33,0.316,0.0,0,Jeffrey Lau,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
13,A Christmas Tale,2008,5.31,0.315,0.0,0,Arnaud Desplechin,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
14,A City of Sadness,1989,5.32,0.316,0.0,0,Hsiao-Hsien Hou,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
15,A Cruel Romance,1984,5.32,0.316,0.0,0,Eldar Ryazanov,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
16,A Cube of Sugar,2011,5.85,0.342,0.0,0,Reza Mirkarimi,-106.201,-7.369,-2.081,False,False,False,0,0,0,0
17,A Dragon Arrives!,2016,5.99,0.35,0.0,0,Mani Haghighi,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
18,A Few Cubic Meters of Love,2014,6.03,0.352,0.0,0,Jamshid Mahmoudi,-106.201,-7.369,-1.901,False,False,False,0,0,0,0
19,A Few Days from the Life of I.I. Oblomov,1980,5.32,0.316,0.0,0,Nikita Mikhalkov,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
20,A Flood in Baath Country,2005,7.307,0.565,7.5,46,Omar Amiralay,-60.201,0.131,-0.624,False,True,False,0,0,0,0
21,A Fugitive from the Past,1965,5.33,0.316,0.0,0,Tomu Uchida,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
22,A Geisha,1953,5.31,0.315,0.0,0,Kenji Mizoguchi,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
23,A Girl Walks Home Alone at Night,2014,6.03,0.352,0.0,0,Ana Lily Amirpour,-106.201,-7.369,-1.901,False,False,False,0,0,0,0
24,A Hard Day,2014,6.03,0.352,0.0,0,Kim Seong-hun,-106.201,-7.369,-1.901,False,False,False,0,0,0,0
25,A House Built on Water,2002,5.34,0.317,0.0,0,Bahman Farmanara,-106.201,-7.369,-2.591,False,False,False,0,0,0,0
26,A Man from Boulevard des Capucines,1987,5.32,0.316,0.0,0,Alla Surikova,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
27,A Man of Integrity,2017,6.09,0.354,0.0,0,Mohammad Rasoulof,-106.201,-7.369,-1.841,False,False,False,0,0,0,0
28,A Moment of Innocence,1996,5.33,0.316,0.0,0,Mohsen Makhmalbaf,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
29,A Prophet,2009,5.43,0.321,0.0,0,Jacques Audiard,-106.201,-7.369,-2.501,False,False,False,0,0,0,0
30,A Railway Station for Two,1983,5.32,0.316,0.0,0,Eldar Ryazanov,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
31,A Room in Town,1982,5.32,0.316,0.0,0,Jacques Demy,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
32,A Scene at the Sea,1991,5.32,0.316,0.0,0,Takeshi Kitano,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
33,A Short Film About Love,1988,5.32,0.316,0.0,0,Krzysztof Kieslowski,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
34,A Story from Chikamatsu,1954,5.31,0.315,0.0,0,Kenji Mizoguchi,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
35,A Suit for Wedding,1976,5.32,0.316,0.0,0,Abbas Kiarostami,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
