Rank,Title,Year,Predicted_Rating,Recommendation_Score,Keywords_From_CSV,Female_Critiques_From_CSV,Hours_Themes_Alignment_From_CSV,Awards_From_CSV,Narrative_Type_From_CSV,Director,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Has_Oscar,Award_Count,Awards,Writer,Actors,Plot,Language,Country,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
1,12,2007,5.28,0.314,,,,,,Nikita Mikhalkov,N/A,,2007-09-20,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0488478,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,1987: When the Day Comes,2017,6.09,0.354,,,,,,Jang Joon-hwan,N/A,,2018-01-12,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt6493286,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,200 Pounds Beauty,2006,5.26,0.313,,,,,,Kim Yong-hwa,N/A,,2006-12-14,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0940642,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,23,1998,5.38,0.319,,,,,,Hans-Christian Schmid,N/A,,1999-01-14,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0126765,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,3 Faces,2018,6.18,0.359,,,,,,Jafar Panahi,N/A,,2019-03-08,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt8269552,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,3-Iron,2004,5.29,0.314,,,,,,Kim Ki-duk,N/A,,2004-10-15,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0423866,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,71 Fragments of a Chronology of Chance,1994,5.33,0.316,,,,,,Michael Haneke,N/A,,1995-10-26,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0109020,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,92 Legendary La Rose Noire,1992,5.33,0.316,,,,,,Jeffrey Lau,N/A,,1992-07-02,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0103602,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,A Better Tomorrow,1986,5.32,0.316,,,,,,John Woo,N/A,,2025-07-08,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0092263,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,A Bittersweet Life,2005,5.25,0.312,,,,,,Kim Jee-woon,N/A,,2005-04-01,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0456912,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,A Chinese Ghost Story,1987,5.32,0.316,,,,,,Siu-Tung Ching,N/A,,1987-07-18,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0093978,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,A Chinese Odyssey: Part One - Pandora's Box,1995,5.33,0.316,,,,,,Jeffrey Lau,N/A,,1995-01-21,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0112778,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,A Christmas Tale,2008,5.31,0.315,,,,,,Arnaud Desplechin,N/A,,2008-11-21,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0993789,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,A City of Sadness,1989,5.32,0.316,,,,,,Hsiao-Hsien Hou,N/A,,1989-10-21,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0096908,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,A Cruel Romance,1984,5.32,0.316,,,,,,Eldar Ryazanov,N/A,,1985-09-18,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0090368,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
