Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
1,92 Legendary La Rose Noire,1992,7.396,0.552,6.6,100,Jeffrey Lau,-6.201,-0.769,-0.535,True,True,False,0,0,0,0
2,A Better Tomorrow,1986,8.136,0.635,7.4,95,John Woo,-11.201,0.031,0.204,True,True,True,0,0,0,0
3,A Chinese Ghost Story,1987,7.451,0.569,7.3,98,Siu-Tung Ching,-8.201,-0.069,-0.48,True,True,False,0,0,0,0
4,A Chinese Odyssey: Part One - Pandora's Box,1995,7.462,0.573,7.5,87,Jeffrey Lau,-19.201,0.131,-0.469,True,True,False,0,0,0,0
5,A City of Sadness,1989,8.275,0.674,7.8,157,Hsiao-Hsien Hou,50.799,0.431,0.344,False,True,True,0,0,0,0
6,A Time to Live and a Time to Die,1985,8.202,0.64,7.5,138,Hsiao-Hsien Hou,31.799,0.131,0.27,False,True,True,0,0,0,0
7,A Touch of Zen,1971,8.146,0.637,7.5,200,King Hu,93.799,0.131,0.215,False,True,True,0,0,0,0
8,Ah Ying,1983,7.853,0.611,6.9,110,Allen Fong,3.799,-0.469,-0.078,True,True,True,0,0,0,0
9,An Autumn's Tale,1987,8.14,0.637,7.5,98,Mabel Cheung,-8.201,0.131,0.209,True,True,True,0,0,0,0
10,As Tears Go By,1988,7.757,0.608,7.0,102,Wong Kar-Wai,-4.201,-0.369,-0.175,True,True,True,0,0,0,0
11,Ashes of Time,1994,7.731,0.607,7.0,100,Wong Kar-Wai,-6.201,-0.369,-0.2,True,True,True,0,0,0,0
12,Beautiful Duckling,1965,5.33,0.316,0.0,0,Hsing Lee,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
13,Blind Shaft,2003,8.095,0.635,7.5,92,Yang Li,-14.201,0.131,0.163,True,True,True,0,0,0,0
14,Boat People,1982,8.242,0.644,7.6,109,Ann Hui,2.799,0.231,0.311,True,True,True,0,0,0,0
