Rank,Title,Year,Predicted_Rating,Recommendation_Score,Keywords_From_CSV,Female_Critiques_From_CSV,Hours_Themes_Alignment_From_CSV,Awards_From_CSV,Narrative_Type_From_CSV,Director,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Has_Oscar,Award_Count,Awards,Writer,Actors,Plot,Language,Country,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
1,92 Legendary La Rose Noire,1992,7.396,0.552,,,,,,Jeffrey Lau,N/A,N/A,02 Jul 1992,100 min,100,"Action, Comedy, Musical",Action,Comedy,6.6,6.6,450,0.0,0.0,2.0,2 wins & 7 nominations,Jeffrey Lau,"Maggie Siu, Tony Ka Fai Leung, Wan-Si Wong","The film is about a movie hero of the 60s called Black Rose, but she was actually real, and a woman in the 90s is mistaken for her because she's in the wrong place at the wrong time and somebody is doing crimes as Black Rose, who isn't the real Black Rose",Cantonese,Hong Kong,tt0103602,movie,N/A,N/A,N/A,"exciting, funny",fast,conventional,general,female,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2,A Better Tomorrow,1986,8.136,0.635,,,,,,John Woo,Not Rated,Not Rated,08 Jul 2025,95 min,95,"Action, Crime, Drama",Action,Crime,7.4,7.4,27455,78.0,0.0,2.0,6 wins & 14 nominations total,"Hing-Ka Chan, Suk-Wah Leung, John Woo","Lung Ti, Leslie Cheung, Chow Yun-Fat","This story is the tale of two brothers: one a successful counterfeiter and the younger a fledgling graduate of the HK police academy. The plot revolves around the split when the younger brother learns the other is a criminal and the efforts of the criminal brother to reform. Along the way are plenty of heists, double-crosses, and shoot outs.","Cantonese, Mandarin, English",Hong Kong,tt0092263,movie,N/A,N/A,N/A,"dark, exciting, uplifting, emotional",fast,intimate,general,unknown,linear,happy,growth,original,low,practical_effects,low,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,A Chinese Ghost Story,1987,7.451,0.569,,,,,,Siu-Tung Ching,Unrated,Unrated,18 Jul 1987,98 min,98,"Action, Fantasy, Horror",Action,Fantasy,7.3,7.3,11916,0.0,0.0,2.0,12 wins & 15 nominations total,"Songling Pu, Kai-Chi Yuen","Leslie Cheung, Joey Wang, Wu Ma","Ning Tsai-Shen, a humble tax collector, arrives in a small town to carry out his work. Unsurprisingly, no-one is willing to give him shelter for the night, so he ends up spending the night in the haunted Lan Ro temple. There, he meets Taoist Swordsman Yen Che-Hsia, who warns him to stay out of trouble, and the beautiful Nieh Hsiao-Tsing, with whom he falls in love. Unfortunately, Hsiao-Tsing is a ghost, bound for all eternity by a hideous tree spirit with an incredibly long tongue that wraps itself round its victims and sucks out their life essence (or 'yang element')...",Cantonese,Hong Kong,tt0093978,movie,N/A,N/A,N/A,"suspenseful, exciting",fast,surreal,love,male,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,A Chinese Odyssey: Part One - Pandora's Box,1995,7.462,0.573,,,,,,Jeffrey Lau,N/A,N/A,21 Jan 1995,87 min,87,"Action, Adventure, Comedy",Action,Adventure,7.5,7.5,9189,0.0,0.0,2.0,3 wins & 1 nomination total,"Jeffrey Lau, Cheng'en Wu","Stephen Chow, Man-Tat Ng, Kar-Ying Law","Fantasy adventure about the arrival of Buddhism in China. When the Goddess of Happiness tosses the Longevity Monk and his disciples out of heaven (because the Monkey King tried to attain immortality), the Monkey King is reincarnated as the Joker. He now spends his time chasing two jealous women. When one of them is dying, the Joker goes back in time in an attempt to save her.",Cantonese,"Hong Kong, China",tt0112778,movie,N/A,N/A,N/A,"exciting, funny",fast,conventional,general,male,surreal,neutral,minimal,original,low,practical_effects,medium,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5,A City of Sadness,1989,8.275,0.674,,,,,,Hsiao-Hsien Hou,N/A,N/A,21 Oct 1989,157 min,157,"Comedy, Drama, History",Comedy,Drama,7.8,7.8,6631,0.0,0.0,2.0,8 wins & 6 nominations total,"T'ien-wen Chu, Nien-Jen Wu","Tony Leung Chiu-wai, Shu-Fen Hsin, Sung-Young Chen","The story of a family embroiled in the ""White Terror"" that was wrought on the Taiwanese people by the Kuomintang government after their arrival from mainland China in the late 1940s.","Mandarin, Min Nan, Japanese, Cantonese, Shanghainese",Taiwan,tt0096908,movie,N/A,N/A,N/A,"funny, emotional",epic,intimate,family,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6,A Time to Live and a Time to Die,1985,8.202,0.64,,,,,,Hsiao-Hsien Hou,Not Rated,Not Rated,N/A,138 min,138,"Biography, Drama",Biography,Drama,7.5,7.5,3772,0.0,0.0,2.0,8 wins & 5 nominations total,"T'ien-wen Chu, Hsiao-Hsien Hou","Yu An-Shun, Chia-bao Chang, Neng Chang","This depiction of childhood and adolescence draws heavily from the filmmaker's own boyhood. Like many of their compatriots, Hou's family moved from the mainland to Taiwan in 1948 and was unable ever to return. The film focuses on the widening generation gap in a family cut off from its cultural heritage.","Mandarin, Hakka, Min Nan",Taiwan,tt0090185,movie,N/A,N/A,N/A,emotional,slow,intimate,family,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A Touch of Zen,1971,8.146,0.637,,,,,,King Hu,Not Rated,Not Rated,18 Nov 1971,200 min,200,"Action, Adventure, Drama",Action,Adventure,7.5,7.5,7822,0.0,0.0,2.0,2 wins & 1 nomination total,"Songling Pu, King Hu","Feng Hsu, Chun Shih, Ying Bai","An artist, Ku, lives with his mother near an abandoned fort, reputed to be haunted. One night, investigating strange noises, he meets the beautiful Yang who is living there. She is being pursued by agents of an Imperial noble who have murdered her family. Ku finds himself caught up in her struggle to survive, and many fierce battles take place before all is resolved. Action adventure with a lyrical feel, this is a kung fu film with a strong spiritual element.",Mandarin,"Taiwan, Hong Kong",tt0064451,movie,N/A,N/A,N/A,"dark, exciting, emotional",epic,intimate,"family, survival",ensemble,linear,neutral,minimal,original,low,practical_effects,medium,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,Ah Ying,1983,7.853,0.611,,,,,,Allen Fong,N/A,N/A,25 Nov 1983,110 min,110,Drama,Drama,Unknown,6.9,6.9,164,0.0,0.0,2.0,5 wins & 8 nominations,"Yeung-Ping Sze, Peter Wang","Kwok-Lam Cha, Chi-Hung Chang, Ming-Cheung Chin","When romance starts to cool, Ah Ying applies for a job in a film centre. Instead of paying her for her work, the centre lets her attend its classes for free. She is later drawn into a relationship with her teacher. Based on the life of its leading actress, Hui So Ying, and using non-professionals, the film is a realistic portrayal of contemporary Hong Kong life.","Mandarin, Cantonese, English",Hong Kong,tt0085144,movie,N/A,N/A,N/A,emotional,medium,intimate,love,female,linear,neutral,minimal,based_on,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,An Autumn's Tale,1987,8.14,0.637,,,,,,Mabel Cheung,N/A,N/A,16 Jul 1987,98 min,98,"Drama, Romance",Drama,Romance,7.5,7.5,2588,0.0,0.0,2.0,4 wins & 9 nominations total,"Alex Law, Chi-Yeuh Low","Chow Yun-Fat, Cherie Chung, Danny Bak-Keung Chan","Filmed in New York, story of naive young woman from Hong Kong who goes to New York to study. Street-wise cabbie cousin takes care of her in the big city.","Cantonese, English, Japanese",Hong Kong,tt0093426,movie,N/A,N/A,N/A,emotional,medium,intimate,general,female,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,As Tears Go By,1988,7.757,0.608,,,,,,Wong Kar-Wai,Not Rated,Not Rated,02 May 2008,102 min,102,"Crime, Drama, Romance",Crime,Drama,7.0,7.0,13703,67.0,0.0,2.0,2 wins & 10 nominations total,"Wong Kar-Wai, Jeffrey Lau","Andy Lau, Maggie Cheung, Jacky Cheung","A low-level triad ""big brother"" has a hot-tempered ""little brother"" who can't keep out of trouble, and consequently is in constant need of being bailed out by his protector. The ""big brother"" is super cool, but lacks the ambition to rise in the ranks of the triad societies - and once he meets his cousin from Kowloon and falls in love with her, he even thinks about leaving ""the life"".",Cantonese,Hong Kong,tt0096461,movie,N/A,"$9,436",N/A,"dark, emotional",medium,intimate,love,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
