Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
1,12,2007,8.184,0.639,7.5,159,Nikita Mikhalkov,52.799,0.131,0.252,False,True,True,0,0,0,0
2,A Cruel Romance,1984,8.089,0.642,7.9,142,Eldar Ryazanov,35.799,0.531,0.158,False,True,True,0,0,0,0
3,A Few Days from the Life of I.I. Oblomov,1980,7.965,0.654,7.6,140,Nikita Mikhalkov,33.799,0.231,0.033,False,True,True,0,0,0,0
4,A Man from Boulevard des Capucines,1987,7.474,0.576,7.6,98,Alla Surikova,-8.201,0.231,-0.458,True,True,False,0,0,0,0
5,A Railway Station for Two,1983,8.18,0.645,7.8,141,Eldar Ryazanov,34.799,0.431,0.248,False,True,True,0,0,0,0
6,Afonya,1975,8.081,0.638,7.7,92,Georgiy Daneliya,-14.201,0.331,0.149,True,True,True,0,0,0,0
7,Alexander Nevsky,1938,7.951,0.628,7.5,112,"Sergei Eisenstein, Dmitriy Vasilev",5.799,0.131,0.019,True,True,True,0,0,0,0
8,An Ordinary Miracle,1979,7.859,0.603,8.0,138,Mark Zakharov,31.799,0.631,-0.072,False,True,True,0,0,0,0
9,Andrei Rublev,1966,8.183,0.673,8.0,189,Andrei Tarkovsky,82.799,0.631,0.252,False,True,True,0,0,0,0
10,Assa,1987,8.008,0.656,7.6,153,Sergey Solovyov,46.799,0.231,0.076,False,True,True,0,0,0,0
11,"At Home Among Strangers, a Stranger Among His Own",1974,8.134,0.635,7.4,97,Nikita Mikhalkov,-9.201,0.031,0.203,True,True,True,0,0,0,0
12,Autumn Marathon,1979,8.079,0.64,7.8,90,Georgiy Daneliya,-16.201,0.431,0.148,True,True,True,0,0,0,0
13,Ballad of a Soldier,1959,8.094,0.649,8.2,88,Grigoriy Chukhray,-18.201,0.831,0.163,True,True,True,0,0,0,0
14,Battleship Potemkin,1925,7.874,0.656,7.9,66,Sergei Eisenstein,-40.201,0.531,-0.058,False,True,True,0,0,0,0
15,Bootleggers,1962,7.972,0.607,7.9,19,Leonid Gaidai,-87.201,0.531,0.041,False,True,True,0,0,0,0
16,Close to Eden,1991,8.221,0.643,7.6,119,Nikita Mikhalkov,12.799,0.231,0.29,True,True,True,0,0,0,0
17,Courier,1986,8.072,0.64,7.8,88,Karen Shakhnazarov,-18.201,0.431,0.14,True,True,True,0,0,0,0
18,D'artagnan and Three Musketeers,1979,5.32,0.316,0.0,0,,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
19,Dark Eyes,1987,5.32,0.316,0.0,0,Nikita Mikhalkov,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
20,Dead Man's Letters,1986,8.066,0.633,7.5,87,Konstantin Lopushanskiy,-19.201,0.131,0.135,True,True,True,0,0,0,0
21,Gentlemen of Fortune,1971,8.146,0.653,8.3,88,Aleksandr Seryy,-18.201,0.931,0.215,True,True,True,0,0,0,0
22,Guest from the Future,1984,5.32,0.316,0.0,0,,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
