Rank,Title,Year,Predicted_Rating,Recommendation_Score,Keywords_From_CSV,Female_Critiques_From_CSV,Hours_Themes_Alignment_From_CSV,Awards_From_CSV,Narrative_Type_From_CSV,Director,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Has_Oscar,Award_Count,Awards,Writer,Actors,Plot,Language,Country,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
1,12,2007,8.184,0.639,,,,,,Nikita Mikhalkov,PG-13,PG-13,20 Sep 2007,159 min,159,"Crime, Drama, Thriller",Crime,Drama,7.5,7.5,15806,72.0,1.0,2.0,Nominated for 1 Oscar. 10 wins & 9 nominations total,"Nikita Mikhalkov, Aleksandr Novototskiy-Vlasov, Vladimir Moiseenko","Sergey Makovetskiy, Sergey Garmash, Apti Magamaev","A loose remake of 12 Angry Men (1957), set in a Russian school. 12 jurors are struggling to decide the fate of a Chechen teenager who allegedly killed his Russian stepfather who took the teenager to live with him in Moscow during the Chechen War in which teenager lost his parents. The jurors: a racist taxi-driver, a suspicious doctor, a vacillating TV producer, a Holocaust survivor, a flamboyant musician, a cemetery manager, and others represent the fragmented society of modern day Russia. A stray bird (a touch of New Age cinema) is flying above the jurors' heads, alluding to tolerance.","Russian, Chechen",Russia,tt0488478,movie,N/A,"$125,120",N/A,"emotional, dark, suspenseful",epic,intimate,"family, coming-of-age",male,linear,neutral,minimal,remake,low,minimal,low,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,A Cruel Romance,1984,8.089,0.642,,,,,,Eldar Ryazanov,N/A,N/A,18 Sep 1985,142 min,142,"Drama, Romance",Drama,Romance,7.9,7.9,4122,0.0,0.0,0.0,N/A,"Aleksandr Ostrovskiy, Eldar Ryazanov","Alisa Freyndlikh, Larisa Guzeeva, Nikita Mikhalkov","Cinematographic adaptation of classical Russian play ""Dowry-less"" by A. Ostrovsky. Noble but poor widow seeks to arrange marriage for her three daughters. She maintains ""open house"" or provincial form of salon hoping to attract gentlemen well-off enough to marry for love to a dowry-less.",Russian,Soviet Union,tt0090368,movie,N/A,N/A,N/A,emotional,slow,intimate,love,female,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,A Few Days from the Life of I.I. Oblomov,1980,7.965,0.654,,,,,,Nikita Mikhalkov,Unrated,Unrated,08 Sep 1980,140 min,140,"Comedy, Drama, History",Comedy,Drama,7.6,7.6,2589,0.0,0.0,2.0,2 wins & 2 nominations,"Aleksandr Adabashyan, Ivan Goncharov, Nikita Mikhalkov","Oleg Tabakov, Yuriy Bogatyryov, Elena Solovey","St. Petersburg, mid 19th century: the indolent, middle-aged Oblomov lives in a flat with his older servant, Zakhar. He sleeps much of the day, dreaming of his childhood on his parents' estate. His boyhood companion, Stoltz, now an energetic and successful businessman, adds Oblomov to his circle whenever he's in the city, and Oblomov's life changes when Stoltz introduces him to Olga, lovely and cultured. When Stoltz leaves for several months, Oblomov takes a country house near Olga's, and she determines to change him: to turn him into a man of society, action, and culture. Soon, Olga and Oblomov are in love; but where, in the triangle, does that leave Stoltz?",Russian,Soviet Union,tt0079619,movie,N/A,N/A,N/A,"emotional, uplifting, funny",slow,intimate,"love, friendship, family",male,surreal,happy,redemption,original,low,minimal,low,0,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,A Man from Boulevard des Capucines,1987,7.474,0.576,,,,,,Alla Surikova,PG-13,PG-13,23 Jun 1987,98 min,98,"Comedy, Musical, Romance",Comedy,Musical,7.6,7.6,3674,0.0,0.0,1.0,2 nominations,Eduard Akopov,"Andrey Mironov, Alexandra Yakovleva, Mikhail Boyarskiy",Mr Jonny First arrives to the Wild West to present the art of the Cinematograph.,Russian,Soviet Union,tt0092745,movie,N/A,N/A,N/A,"emotional, funny",fast,intimate,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5,A Railway Station for Two,1983,8.18,0.645,,,,,,Eldar Ryazanov,N/A,N/A,11 Feb 1983,141 min,141,"Comedy, Drama, Romance",Comedy,Drama,7.8,7.8,3743,0.0,0.0,2.0,2 wins & 1 nomination,"Emil Braginskiy, Eldar Ryazanov","Lyudmila Gurchenko, Oleg Basilashvili, Nikita Mikhalkov","Platon Ryabinin, a pianist, is traveling by train to a distant town of Griboedov to visit his father. He gets off to have lunch during a twenty minute stop at Zastupinsk railway station. He meets Vera, a waitress, after he refuses to pay her for the disgusting food he doesn't even touch and misses his train due to police investigation of the incident. His passport is then accidentally taken away from him by Andrei, Vera's fiancé, and his money is stolen as he waits for the next train to Griboedov. Vera learns that Platon is about to get sentenced and sent to prison in the Far East for a car accident he isn't guilty for. During the few days that Platon has to spend in Zastupinsk he and Vera develop feelings for each other...",Russian,Soviet Union,tt0084873,movie,N/A,N/A,N/A,"emotional, funny",slow,intimate,general,male,linear,neutral,growth,original,low,minimal,low,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Afonya,1975,8.081,0.638,,,,,,Georgiy Daneliya,PG,PG,13 Oct 1975,92 min,92,"Comedy, Drama, Romance",Comedy,Drama,7.7,7.7,5439,0.0,0.0,0.0,N/A,Aleksandr Borodyanskiy,"Leonid Kuravlyov, Evgeniya Simonova, Evgeniy Leonov","The 1975 film by Georgi Daneliya ""Afonya"" was an unexpected commercial hit in USSR. The main character Borshev A.N. is a Plumber who spends his free time, as well as working hours, drinking with his buddies whom he even doesn't recognize the next day after another heavy drink. His girlfriend leaves him, his boss places him on probation, his whole life is falling a part but he doesn't realize it. There is only one person who can save him - a nurse by the name Katya whom he met at a disco and didn't pay much attention to... Daneliya manages to balance in the film satire and drama, quotes from the film gained a cult status in Russia and other former countries of USSR.",Russian,Soviet Union,tt0072613,movie,N/A,N/A,N/A,"emotional, funny",fast,intimate,friendship,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Alexander Nevsky,1938,7.951,0.628,,,,,,"Sergei Eisenstein, Dmitriy Vasilev",Not Rated,Not Rated,22 Mar 1939,112 min,112,"Action, Biography, Drama",Action,Biography,7.5,7.5,12505,0.0,0.0,1.0,2 wins,"Sergei Eisenstein, Pyotr Pavlenko","Nikolay Cherkasov, Nikolai Okhlopkov, Andrei Abrikosov","It is the 13th century, and Russia is overrun by foreign invaders. A Russian knyaz', or prince, Alexander Nevsky, rallies the people to form a ragtag army to drive back an invasion by the Teutonic knights. This is a true story based on the actual battle at a lake near Novgorod.",Russian,Soviet Union,tt0029850,movie,N/A,N/A,N/A,"emotional, exciting",fast,intimate,general,unknown,linear,neutral,minimal,based_on,low,practical_effects,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,An Ordinary Miracle,1979,7.859,0.603,,,,,,Mark Zakharov,N/A,N/A,01 Jan 1979,138 min,138,"Comedy, Fantasy, Musical",Comedy,Fantasy,8.0,8.0,3519,0.0,0.0,0.0,N/A,"Evgeniy Shvarts, Mark Zakharov","Oleg Yankovskiy, Irina Kupchenko, Evgeniy Leonov","A wizard invents characters who all come to life and start to arrive at his house: a King, his servants, a princes, a bear trapped in a man's body - the usual lot. The Plot mainly rotates around the bear, who the wizard had turned into a man. The Bear, who wishes to be a bear once again, can turn into his old self if he were to kiss a princess. It gets complicated when he falls in love with that princess, that arrived at the wizard's house. For how can they be together, if a single kiss will destroy their love?",Russian,Soviet Union,tt0186408,movie,N/A,N/A,N/A,funny,slow,surreal,love,male,linear,bittersweet,minimal,original,low,practical_effects,low,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Andrei Rublev,1966,8.183,0.673,,,,,,Andrei Tarkovsky,R,R,01 Oct 1973,189 min,189,"Biography, Drama, History",Biography,Drama,8.0,8.0,58379,0.0,0.0,2.0,4 wins & 1 nomination total,"Andrei Konchalovsky, Andrei Tarkovsky","Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko","Andreiv Rublev charts the life of the great icon painter through a turbulent period of 15th Century Russian history, a period marked by endless fighting between rival Princes and by Tatar invasions.","Russian, Italian, Tatar",Soviet Union,tt0060107,movie,N/A,"$124,189",N/A,emotional,epic,intimate,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,Assa,1987,8.008,0.656,,,,,,Sergey Solovyov,N/A,N/A,16 Sep 1988,153 min,153,"Crime, Drama, History",Crime,Drama,7.6,7.6,3287,0.0,0.0,2.0,1 win & 2 nominations total,"Sergey Livnev, Sergey Solovyov","Natan Eidelman, Anatoly Slivnikov, German Shorr",ASSA is set in Crimea during the winter in the mid eighties. A young musician (Bananan) falls for mobster's (Krymov) young mistress (Alika). The parallel story line involves an 18th century assassination plot.,"Russian, French",Soviet Union,tt0094683,movie,N/A,N/A,N/A,"emotional, dark",epic,intimate,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
